time,x,y,z
15:15:11:7,-0.00,-0.03,0.03
15:15:11:7,-0.00,-0.02,0.03
15:15:11:7,-0.00,-0.00,0.02
15:15:11:7,-0.01,0.01,0.01
15:15:11:7,-0.01,0.02,0.00
15:15:11:8,-0.02,0.03,-0.00
15:15:11:8,-0.02,0.04,-0.00
15:15:11:8,-0.02,0.04,-0.00
15:15:11:8,-0.02,0.04,0.00
15:15:11:8,-0.01,0.04,0.01
15:15:11:8,-0.01,0.03,0.01
15:15:11:8,-0.01,0.03,0.01
15:15:11:8,-0.00,0.02,0.01
15:15:11:8,-0.00,0.01,0.01
15:15:11:8,-0.00,0.01,0.01
15:15:11:8,0.00,0.01,0.01
15:15:11:8,0.00,0.01,0.01
15:15:11:8,0.00,0.01,0.01
15:15:11:8,0.00,0.01,0.01
15:15:11:8,-0.00,0.02,0.00
15:15:11:8,-0.00,0.02,0.01
15:15:11:8,-0.00,0.03,0.00
15:15:11:8,-0.01,0.03,0.01
15:15:11:8,-0.01,0.04,0.01
15:15:11:8,-0.01,0.04,0.01
15:15:11:9,-0.01,0.03,0.01
15:15:11:9,-0.01,0.03,0.02
15:15:11:9,-0.01,0.03,0.02
15:15:11:9,-0.01,0.02,0.02
15:15:11:9,-0.01,0.02,0.01
15:15:11:9,-0.01,0.02,0.02
15:15:11:9,-0.01,0.02,0.01
15:15:11:9,-0.00,0.01,0.01
15:15:11:9,-0.00,0.01,0.01
15:15:11:9,-0.00,0.01,0.02
15:15:11:9,-0.00,0.01,0.02
15:15:11:9,-0.01,0.01,0.02
15:15:11:9,-0.01,0.01,0.02
15:15:11:9,-0.01,0.01,0.02
15:15:11:9,-0.01,0.01,0.02
15:15:11:9,-0.01,0.01,0.02
15:15:11:9,-0.01,0.00,0.02
15:15:11:9,-0.01,0.00,0.02
15:15:11:9,-0.01,-0.00,0.02
15:15:11:9,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.01,0.01
15:15:12:0,-0.01,-0.00,0.01
15:15:12:0,-0.02,0.00,0.01
15:15:12:0,-0.01,0.01,0.01
15:15:12:0,-0.02,0.01,0.02
15:15:12:0,-0.02,0.01,0.01
15:15:12:0,-0.02,0.02,0.01
15:15:12:0,-0.02,0.02,0.01
15:15:12:0,-0.02,0.02,0.02
15:15:12:0,-0.02,0.02,0.01
15:15:12:0,-0.02,0.02,0.01
15:15:12:0,-0.02,0.02,0.01
15:15:12:0,-0.02,0.02,0.01
15:15:12:1,-0.02,0.01,0.01
15:15:12:1,-0.02,0.01,0.01
15:15:12:1,-0.01,0.00,0.01
