Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.000000,-0.029224,,,,,,,,,,-0.012963,,,,,,,,,,0.014346,,,,,,,,,,0.002084,,,,,,,,,,0.004920,,,,,,,,,,-0.005582,,,,,,,,,,0.000000,,,,,,,,,,0.008344,,,,,,,,,,0.023467,,,,,,,,,,
0.020833,-0.027253,,,,,,,,,,-0.012488,,,,,,,,,,0.021622,,,,,,,,,,0.011189,,,,,,,,,,-0.005091,,,,,,,,,,-0.014965,,,,,,,,,,0.000000,,,,,,,,,,0.008316,,,,,,,,,,0.023166,,,,,,,,,,
0.041667,-0.026242,,,,,,,,,,-0.011567,,,,,,,,,,0.026738,,,,,,,,,,0.024434,,,,,,,,,,-0.004492,,,,,,,,,,-0.022931,,,,,,,,,,0.000000,,,,,,,,,,0.008221,,,,,,,,,,0.022354,,,,,,,,,,
0.062500,-0.025103,,,,,,,,,,-0.008735,,,,,,,,,,0.028352,,,,,,,,,,0.042231,,,,,,,,,,-0.011081,,,,,,,,,,-0.026295,,,,,,,,,,0.000000,,,,,,,,,,0.006607,,,,,,,,,,0.020137,,,,,,,,,,
0.083333,-0.021967,,,,,,,,,,-0.004613,,,,,,,,,,0.024106,,,,,,,,,,0.062649,,,,,,,,,,-0.019466,,,,,,,,,,-0.027180,,,,,,,,,,0.000000,,,,,,,,,,0.004453,,,,,,,,,,0.015596,,,,,,,,,,
0.104167,-0.015798,,,,,,,,,,0.002249,,,,,,,,,,0.016051,,,,,,,,,,0.081136,,,,,,,,,,-0.028194,,,,,,,,,,-0.026826,,,,,,,,,,0.000000,,,,,,,,,,-0.000967,,,,,,,,,,0.008524,,,,,,,,,,
0.125000,-0.006575,,,,,,,,,,0.011907,,,,,,,,,,0.004587,,,,,,,,,,0.091897,,,,,,,,,,-0.033156,,,,,,,,,,-0.024879,,,,,,,,,,0.000000,,,,,,,,,,-0.010292,,,,,,,,,,0.000873,,,,,,,,,,
0.145833,0.004458,,,,,,,,,,0.021420,,,,,,,,,,-0.003379,,,,,,,,,,0.092587,,,,,,,,,,-0.036665,,,,,,,,,,-0.019745,,,,,,,,,,0.000000,,,,,,,,,,-0.020863,,,,,,,,,,-0.006283,,,,,,,,,,
0.166667,0.015521,,,,,,,,,,0.030637,,,,,,,,,,-0.010687,,,,,,,,,,0.087483,,,,,,,,,,-0.039232,,,,,,,,,,-0.013195,,,,,,,,,,0.000000,,,,,,,,,,-0.031050,,,,,,,,,,-0.013587,,,,,,,,,,
0.177778,0.023993,,,,,,,,,,0.039427,,,,,,,,,,-0.025901,,,,,,,,,,0.072583,,,,,,,,,,-0.027851,,,,,,,,,,0.000260,,,,,,,,,,0.000000,,,,,,,,,,-0.039928,,,,,,,,,,-0.021602,,,,,,,,,,
