Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,
0.000000,-0.828081,,,,,,,,-0.646818,,,,,,,,0.578022,,,,,,,,0.000463,,,,,,,,0.091806,,,,,,,,-0.167461,,,,,,,,0.000000,,,,,,,,0.576795,,,,,,,,0.780098,,,,,,,,
0.100000,-0.818155,,,,,,,,-0.634779,,,,,,,,0.723530,,,,,,,,0.088845,,,,,,,,0.064399,,,,,,,,-0.178802,,,,,,,,0.000000,,,,,,,,0.565730,,,,,,,,0.771587,,,,,,,,
0.200000,-0.790280,,,,,,,,-0.596677,,,,,,,,1.006477,,,,,,,,0.477726,,,,,,,,-0.012341,,,,,,,,-0.212826,,,,,,,,0.000000,,,,,,,,0.551453,,,,,,,,0.760098,,,,,,,,
0.300000,-0.760202,,,,,,,,-0.519874,,,,,,,,1.204039,,,,,,,,1.162687,,,,,,,,-0.105526,,,,,,,,-0.224167,,,,,,,,0.000000,,,,,,,,0.515974,,,,,,,,0.714829,,,,,,,,
0.400000,-0.717536,,,,,,,,-0.375257,,,,,,,,1.109948,,,,,,,,1.966964,,,,,,,,-0.231600,,,,,,,,-0.207155,,,,,,,,0.000000,,,,,,,,0.425587,,,,,,,,0.629620,,,,,,,,
0.500000,-0.669395,,,,,,,,-0.124101,,,,,,,,0.835422,,,,,,,,2.616573,,,,,,,,-0.437155,,,,,,,,-0.110754,,,,,,,,0.000000,,,,,,,,0.237632,,,,,,,,0.524504,,,,,,,,
0.600000,-0.499897,,,,,,,,0.246048,,,,,,,,0.481319,,,,,,,,2.894976,,,,,,,,-0.689303,,,,,,,,0.014000,,,,,,,,0.000000,,,,,,,,-0.060906,,,,,,,,0.433722,,,,,,,,
0.700000,-0.298070,,,,,,,,0.576188,,,,,,,,0.098552,,,,,,,,2.815432,,,,,,,,-0.755080,,,,,,,,0.150095,,,,,,,,0.000000,,,,,,,,-0.375097,,,,,,,,0.288449,,,,,,,,
0.800000,-0.010844,,,,,,,,0.874366,,,,,,,,-0.210445,,,,,,,,2.607734,,,,,,,,-1.029153,,,,,,,,0.297532,,,,,,,,0.000000,,,,,,,,-0.697802,,,,,,,,0.068270,,,,,,,,
0.900000,0.274314,,,,,,,,1.146488,,,,,,,,-0.616493,,,,,,,,2.201177,,,,,,,,-1.108635,,,,,,,,0.450639,,,,,,,,0.000000,,,,,,,,-0.993076,,,,,,,,-0.214745,,,,,,,,
