Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,
0.000000,0.030865,,,,,,,,,,,,0.051398,,,,,,,,,,,,0.144546,,,,,,,,,,,,-0.004262,,,,,,,,,,,,-0.004338,,,,,,,,,,,,-0.003174,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.098631,,,,,,,,,,,,0.088901,,,,,,,,,,,,
0.026316,0.030724,,,,,,,,,,,,0.050919,,,,,,,,,,,,0.145258,,,,,,,,,,,,-0.003711,,,,,,,,,,,,-0.004863,,,,,,,,,,,,-0.000153,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.099007,,,,,,,,,,,,0.088917,,,,,,,,,,,,
0.052632,0.031569,,,,,,,,,,,,0.050709,,,,,,,,,,,,0.146035,,,,,,,,,,,,-0.005997,,,,,,,,,,,,-0.006216,,,,,,,,,,,,0.003421,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.099317,,,,,,,,,,,,0.090048,,,,,,,,,,,,
0.078947,0.032767,,,,,,,,,,,,0.050583,,,,,,,,,,,,0.146071,,,,,,,,,,,,-0.007849,,,,,,,,,,,,-0.008514,,,,,,,,,,,,0.006987,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.100106,,,,,,,,,,,,0.089391,,,,,,,,,,,,
0.105263,0.033979,,,,,,,,,,,,0.050013,,,,,,,,,,,,0.145498,,,,,,,,,,,,-0.010057,,,,,,,,,,,,-0.010482,,,,,,,,,,,,0.015308,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.101315,,,,,,,,,,,,0.089212,,,,,,,,,,,,
0.131579,0.035760,,,,,,,,,,,,0.049495,,,,,,,,,,,,0.146284,,,,,,,,,,,,-0.012678,,,,,,,,,,,,-0.013049,,,,,,,,,,,,0.032126,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.102696,,,,,,,,,,,,0.089320,,,,,,,,,,,,
0.157895,0.038056,,,,,,,,,,,,0.047821,,,,,,,,,,,,0.146849,,,,,,,,,,,,-0.015437,,,,,,,,,,,,-0.014846,,,,,,,,,,,,0.054787,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.104832,,,,,,,,,,,,0.088452,,,,,,,,,,,,
0.184211,0.040757,,,,,,,,,,,,0.045494,,,,,,,,,,,,0.145102,,,,,,,,,,,,-0.017369,,,,,,,,,,,,-0.018012,,,,,,,,,,,,0.083997,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.107575,,,,,,,,,,,,0.086665,,,,,,,,,,,,
0.210526,0.045881,,,,,,,,,,,,0.041652,,,,,,,,,,,,0.143605,,,,,,,,,,,,-0.020680,,,,,,,,,,,,-0.022632,,,,,,,,,,,,0.114447,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.111857,,,,,,,,,,,,0.083232,,,,,,,,,,,,
0.236842,0.051787,,,,,,,,,,,,0.036717,,,,,,,,,,,,0.145835,,,,,,,,,,,,-0.025233,,,,,,,,,,,,-0.025456,,,,,,,,,,,,0.142419,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.116718,,,,,,,,,,,,0.077595,,,,,,,,,,,,
0.263158,0.056898,,,,,,,,,,,,0.030191,,,,,,,,,,,,0.144622,,,,,,,,,,,,-0.023025,,,,,,,,,,,,-0.025798,,,,,,,,,,,,0.167204,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.122169,,,,,,,,,,,,0.060594,,,,,,,,,,,,
0.289474,0.061856,,,,,,,,,,,,0.023273,,,,,,,,,,,,0.141063,,,,,,,,,,,,-0.021232,,,,,,,,,,,,-0.028108,,,,,,,,,,,,0.191811,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.111470,,,,,,,,,,,,0.025647,,,,,,,,,,,,
0.315789,0.067487,,,,,,,,,,,,0.015584,,,,,,,,,,,,0.139978,,,,,,,,,,,,-0.020128,,,,,,,,,,,,-0.031360,,,,,,,,,,,,0.213056,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.083325,,,,,,,,,,,,0.002131,,,,,,,,,,,,
0.342105,0.071754,,,,,,,,,,,,0.007098,,,,,,,,,,,,0.136119,,,,,,,,,,,,-0.017645,,,,,,,,,,,,-0.029135,,,,,,,,,,,,0.225448,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.055028,,,,,,,,,,,,-0.015247,,,,,,,,,,,,
0.368421,0.074799,,,,,,,,,,,,-0.001149,,,,,,,,,,,,0.129728,,,,,,,,,,,,-0.013644,,,,,,,,,,,,-0.029477,,,,,,,,,,,,0.228812,,,,,,,,,,,,0.000000,,,,,,,,,,,,-0.026632,,,,,,,,,,,,-0.028823,,,,,,,,,,,,
0.394737,0.076594,,,,,,,,,,,,-0.009712,,,,,,,,,,,,0.125914,,,,,,,,,,,,-0.010885,,,,,,,,,,,,-0.028964,,,,,,,,,,,,0.224386,,,,,,,,,,,,0.000000,,,,,,,,,,,,0.001702,,,,,,,,,,,,-0.036691,,,,,,,,,,,,
0.421053,0.075707,,,,,,,,,,,,-0.016893,,,,,,,,,,,,0.119908,,,,,,,,,,,,-0.006608,,,,,,,,,,,,-0.024514,,,,,,,,,,,,0.218898,,,,,,,,,,,,0.000000,,,,,,,,,,,,0.030498,,,,,,,,,,,,-0.042848,,,,,,,,,,,,
0.447368,0.072137,,,,,,,,,,,,-0.023316,,,,,,,,,,,,0.109476,,,,,,,,,,,,-0.002883,,,,,,,,,,,,-0.021092,,,,,,,,,,,,0.213941,,,,,,,,,,,,0.000000,,,,,,,,,,,,0.059402,,,,,,,,,,,,-0.045494,,,,,,,,,,,,
