Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,
0.000000,-0.855695,,,,,,,,-1.702488,,,,,,,,0.965024,,,,,,,,0.029114,,,,,,,,0.057815,,,,,,,,-0.108681,,,,,,,,0.000000,,,,,,,,1.554946,,,,,,,,1.168251,,,,,,,,
0.020000,-0.846662,,,,,,,,-1.687417,,,,,,,,1.109695,,,,,,,,0.094784,,,,,,,,0.037183,,,,,,,,-0.128562,,,,,,,,0.000000,,,,,,,,1.540546,,,,,,,,1.159889,,,,,,,,
0.040000,-0.821294,,,,,,,,-1.639720,,,,,,,,1.391017,,,,,,,,0.383733,,,,,,,,-0.020586,,,,,,,,-0.188204,,,,,,,,0.000000,,,,,,,,1.521967,,,,,,,,1.148600,,,,,,,,
0.060000,-0.793920,,,,,,,,-1.543578,,,,,,,,1.587442,,,,,,,,0.892678,,,,,,,,-0.090734,,,,,,,,-0.208085,,,,,,,,0.000000,,,,,,,,1.475795,,,,,,,,1.104119,,,,,,,,
0.080000,-0.755090,,,,,,,,-1.362544,,,,,,,,1.493893,,,,,,,,1.490277,,,,,,,,-0.185641,,,,,,,,-0.178264,,,,,,,,0.000000,,,,,,,,1.358168,,,,,,,,1.020393,,,,,,,,
0.100000,-0.711279,,,,,,,,-1.048143,,,,,,,,1.220944,,,,,,,,1.972953,,,,,,,,-0.340380,,,,,,,,-0.009278,,,,,,,,0.000000,,,,,,,,1.113569,,,,,,,,0.917107,,,,,,,,
0.120000,-0.557022,,,,,,,,-0.584784,,,,,,,,0.868877,,,,,,,,2.179815,,,,,,,,-0.530193,,,,,,,,0.209410,,,,,,,,0.000000,,,,,,,,0.725061,,,,,,,,0.827906,,,,,,,,
0.140000,-0.373344,,,,,,,,-0.171509,,,,,,,,0.488310,,,,,,,,2.120711,,,,,,,,-0.579709,,,,,,,,0.447978,,,,,,,,0.000000,,,,,,,,0.316183,,,,,,,,0.685162,,,,,,,,
0.160000,-0.111946,,,,,,,,0.201755,,,,,,,,0.181089,,,,,,,,1.966386,,,,,,,,-0.786028,,,,,,,,0.706427,,,,,,,,0.000000,,,,,,,,-0.103776,,,,,,,,0.468816,,,,,,,,
0.180000,0.147571,,,,,,,,0.542401,,,,,,,,-0.222624,,,,,,,,1.664303,,,,,,,,-0.845860,,,,,,,,0.974817,,,,,,,,0.000000,,,,,,,,-0.488037,,,,,,,,0.190727,,,,,,,,
