Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,
0.000000,-0.638445,,,,,,,,-0.818266,,,,,,,,-0.881531,,,,,,,,0.051939,,,,,,,,-0.148230,,,,,,,,-0.137016,,,,,,,,0.000000,,,,,,,,-0.878394,,,,,,,,0.816152,,,,,,,,
0.100000,-0.727906,,,,,,,,-0.790551,,,,,,,,-0.738458,,,,,,,,0.415546,,,,,,,,-0.601306,,,,,,,,0.297861,,,,,,,,0.000000,,,,,,,,-0.880691,,,,,,,,0.818199,,,,,,,,
0.200000,-0.812877,,,,,,,,-0.756623,,,,,,,,-0.586982,,,,,,,,0.785316,,,,,,,,-1.070482,,,,,,,,0.726781,,,,,,,,0.000000,,,,,,,,-0.883668,,,,,,,,0.815203,,,,,,,,
0.300000,-0.899494,,,,,,,,-0.716939,,,,,,,,-0.427597,,,,,,,,1.130434,,,,,,,,-1.438462,,,,,,,,1.161657,,,,,,,,0.000000,,,,,,,,-0.887398,,,,,,,,0.797669,,,,,,,,
0.500000,-0.982467,,,,,,,,-0.664166,,,,,,,,-0.267667,,,,,,,,1.477607,,,,,,,,-1.820242,,,,,,,,1.596534,,,,,,,,0.000000,,,,,,,,-0.892783,,,,,,,,0.780138,,,,,,,,
0.600000,-1.060778,,,,,,,,-0.608250,,,,,,,,-0.091338,,,,,,,,1.826834,,,,,,,,-2.215821,,,,,,,,2.034389,,,,,,,,0.000000,,,,,,,,-0.898377,,,,,,,,0.741849,,,,,,,,
0.700000,-1.129844,,,,,,,,-0.529526,,,,,,,,0.134163,,,,,,,,2.180170,,,,,,,,-2.629800,,,,,,,,2.469266,,,,,,,,0.000000,,,,,,,,-0.602887,,,,,,,,0.645015,,,,,,,,
0.800000,-1.112438,,,,,,,,-0.363646,,,,,,,,0.415733,,,,,,,,2.537614,,,,,,,,-3.055277,,,,,,,,2.904143,,,,,,,,0.000000,,,,,,,,-0.323433,,,,,,,,0.441297,,,,,,,,
0.900000,-1.218688,,,,,,,,-0.235116,,,,,,,,0.867245,,,,,,,,2.839079,,,,,,,,-3.353974,,,,,,,,3.235513,,,,,,,,0.000000,,,,,,,,0.082270,,,,,,,,0.240859,,,,,,,,
1.000000,-1.146195,,,,,,,,-0.142046,,,,,,,,1.036765,,,,,,,,2.975175,,,,,,,,-3.480755,,,,,,,,3.199025,,,,,,,,0.000000,,,,,,,,0.565930,,,,,,,,0.010059,,,,,,,,
1.100000,-0.872929,,,,,,,,0.132847,,,,,,,,1.146137,,,,,,,,2.605405,,,,,,,,-3.006980,,,,,,,,2.737341,,,,,,,,0.000000,,,,,,,,0.849458,,,,,,,,-0.219351,,,,,,,,
1.200000,-0.559501,,,,,,,,0.404749,,,,,,,,1.214399,,,,,,,,2.235635,,,,,,,,-2.710295,,,,,,,,2.272678,,,,,,,,0.000000,,,,,,,,1.133385,,,,,,,,-0.426160,,,,,,,,
1.300000,-0.175703,,,,,,,,0.650957,,,,,,,,1.293524,,,,,,,,1.851486,,,,,,,,-2.330815,,,,,,,,1.808015,,,,,,,,0.000000,,,,,,,,1.419252,,,,,,,,-0.662202,,,,,,,,
1.500000,0.145929,,,,,,,,0.908421,,,,,,,,1.353677,,,,,,,,1.471444,,,,,,,,-1.995033,,,,,,,,1.322502,,,,,,,,0.000000,,,,,,,,1.704624,,,,,,,,-0.867410,,,,,,,,
