time,x,y,z
19:53:53:623,0.00,-0.02,-0.00
19:53:53:624,-0.01,-0.01,-0.01
19:53:53:633,-0.02,0.02,-0.02
19:53:53:634,-0.02,0.04,-0.02
19:53:53:649,-0.02,0.07,-0.02
19:53:53:650,-0.02,0.09,-0.02
19:53:53:668,-0.01,0.10,-0.01
19:53:53:669,-0.01,0.10,-0.00
19:53:53:670,-0.01,0.10,0.01
19:53:53:671,-0.01,0.09,0.01
19:53:53:706,-0.01,0.07,0.01
19:53:53:707,-0.01,0.05,0.01
19:53:53:708,-0.01,0.03,0.00
19:53:53:709,-0.01,0.00,-0.01
19:53:53:710,-0.02,-0.02,-0.01
19:53:53:711,-0.02,-0.04,-0.02
19:53:53:712,-0.02,-0.05,-0.02
19:53:53:717,-0.02,-0.06,-0.01
19:53:53:719,-0.01,-0.06,-0.00
19:53:53:720,-0.01,-0.06,0.00
19:53:53:745,-0.01,-0.05,0.01
19:53:53:746,-0.01,-0.03,0.01
19:53:53:747,-0.01,-0.02,0.00
19:53:53:747,-0.01,-0.00,-0.00
19:53:53:748,-0.01,0.01,-0.01
19:53:53:762,-0.01,0.02,-0.01
19:53:53:763,-0.01,0.03,-0.01
19:53:53:763,-0.01,0.04,-0.01
19:53:53:764,-0.01,0.04,-0.01
19:53:53:793,-0.01,0.03,-0.01
19:53:53:794,-0.01,0.02,-0.00
19:53:53:795,-0.01,0.01,0.00
19:53:53:795,-0.01,0.00,0.00
19:53:53:796,-0.01,-0.01,0.01
19:53:53:796,-0.01,-0.02,0.01
19:53:53:803,-0.01,-0.02,0.01
19:53:53:803,-0.01,-0.03,0.01
19:53:53:813,-0.01,-0.03,0.01
19:53:53:814,-0.01,-0.03,0.01
19:53:53:822,-0.01,-0.03,0.01
19:53:53:823,-0.01,-0.02,0.01
19:53:53:832,-0.01,-0.01,0.01
19:53:53:834,-0.01,-0.00,0.01
19:53:53:842,-0.01,0.01,0.00
19:53:53:843,-0.01,0.02,0.00
19:53:53:852,-0.00,0.02,0.00
19:53:53:853,-0.00,0.03,0.01
19:53:53:862,-0.00,0.03,0.01
19:53:53:863,-0.00,0.03,0.01
19:53:53:872,-0.00,0.02,0.01
19:53:53:873,-0.00,0.02,0.01
19:53:53:897,-0.00,0.01,0.01
19:53:53:898,-0.00,0.01,0.01
19:53:53:898,-0.00,0.00,0.01
19:53:53:899,-0.00,-0.00,0.01
19:53:53:902,-0.00,-0.01,0.01
19:53:53:902,-0.00,-0.02,0.01
19:53:53:911,-0.00,-0.02,0.01
19:53:53:912,-0.01,-0.02,0.01
19:53:53:921,-0.01,-0.02,0.01
19:53:53:922,-0.01,-0.01,0.01
19:53:53:931,-0.00,-0.01,0.01
19:53:53:932,-0.00,-0.00,0.01
19:53:53:941,-0.00,0.00,0.01
19:53:53:942,-0.01,0.01,0.01
19:53:53:951,-0.01,0.02,0.01
19:53:53:952,-0.00,0.02,0.01
19:53:53:961,-0.00,0.02,0.01
19:53:53:962,-0.00,0.03,0.00
19:53:53:971,-0.00,0.03,0.00
19:53:53:971,-0.00,0.03,0.00
19:53:53:981,-0.00,0.02,0.00
19:53:53:982,-0.00,0.02,0.00
19:53:53:991,-0.00,0.02,0.00
19:53:53:992,-0.00,0.01,-0.00
19:53:54:11,-0.00,0.01,-0.00
19:53:54:12,-0.00,0.01,0.00
19:53:54:13,-0.00,0.00,-0.00
19:53:54:13,-0.00,0.00,-0.00
19:53:54:21,-0.00,0.00,0.00
19:53:54:22,-0.00,0.00,-0.00
19:53:54:31,-0.00,0.00,0.00
19:53:54:32,0.00,0.01,-0.00
19:53:54:42,-0.00,0.01,0.00
19:53:54:43,0.00,0.01,0.00
19:53:54:51,-0.00,0.01,0.00
19:53:54:52,-0.00,0.01,0.00
