Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.000000,-0.018841,,,,,,,,,,-0.038026,,,,,,,,,,-0.026474,,,,,,,,,,0.015413,,,,,,,,,,-0.022559,,,,,,,,,,0.000761,,,,,,,,,,0.000000,,,,,,,,,,-0.036948,,,,,,,,,,0.026044,,,,,,,,,,
0.015873,-0.014933,,,,,,,,,,-0.033762,,,,,,,,,,-0.013862,,,,,,,,,,0.027567,,,,,,,,,,-0.030390,,,,,,,,,,0.000000,,,,,,,,,,0.000000,,,,,,,,,,-0.037172,,,,,,,,,,0.018238,,,,,,,,,,
0.031746,-0.010490,,,,,,,,,,-0.028936,,,,,,,,,,-0.000691,,,,,,,,,,0.038059,,,,,,,,,,-0.042137,,,,,,,,,,-0.003930,,,,,,,,,,0.000000,,,,,,,,,,-0.037486,,,,,,,,,,0.009479,,,,,,,,,,
0.047619,-0.003792,,,,,,,,,,-0.022652,,,,,,,,,,0.015272,,,,,,,,,,0.046716,,,,,,,,,,-0.048793,,,,,,,,,,-0.007860,,,,,,,,,,0.000000,,,,,,,,,,-0.025178,,,,,,,,,,-0.004610,,,,,,,,,,
0.079365,0.000509,,,,,,,,,,-0.017817,,,,,,,,,,0.027613,,,,,,,,,,0.053536,,,,,,,,,,-0.051828,,,,,,,,,,-0.012297,,,,,,,,,,0.000000,,,,,,,,,,-0.025451,,,,,,,,,,-0.011790,,,,,,,,,,
0.095238,0.004340,,,,,,,,,,-0.012849,,,,,,,,,,0.039941,,,,,,,,,,0.061842,,,,,,,,,,-0.054569,,,,,,,,,,-0.013565,,,,,,,,,,0.000000,,,,,,,,,,-0.025838,,,,,,,,,,-0.019446,,,,,,,,,,
0.111111,0.012237,,,,,,,,,,-0.004648,,,,,,,,,,0.055224,,,,,,,,,,0.073733,,,,,,,,,,-0.064651,,,,,,,,,,-0.012044,,,,,,,,,,0.000000,,,,,,,,,,-0.013790,,,,,,,,,,-0.033311,,,,,,,,,,
0.126984,0.021969,,,,,,,,,,0.005159,,,,,,,,,,0.057903,,,,,,,,,,0.075394,,,,,,,,,,-0.067196,,,,,,,,,,-0.015087,,,,,,,,,,0.000000,,,,,,,,,,-0.001667,,,,,,,,,,-0.043052,,,,,,,,,,
0.142857,0.033503,,,,,,,,,,0.017698,,,,,,,,,,0.084521,,,,,,,,,,0.098510,,,,,,,,,,-0.083617,,,,,,,,,,-0.016037,,,,,,,,,,0.000000,,,,,,,,,,0.016807,,,,,,,,,,-0.063588,,,,,,,,,,
0.158730,0.035345,,,,,,,,,,0.019603,,,,,,,,,,0.086501,,,,,,,,,,0.100314,,,,,,,,,,-0.083642,,,,,,,,,,-0.014453,,,,,,,,,,0.000000,,,,,,,,,,0.036148,,,,,,,,,,-0.066561,,,,,,,,,,
0.174603,0.042553,,,,,,,,,,0.027462,,,,,,,,,,0.084558,,,,,,,,,,0.090608,,,,,,,,,,-0.069839,,,,,,,,,,-0.010523,,,,,,,,,,0.000000,,,,,,,,,,0.048465,,,,,,,,,,-0.070281,,,,,,,,,,
0.190476,0.047340,,,,,,,,,,0.033617,,,,,,,,,,0.081072,,,,,,,,,,0.082127,,,,,,,,,,-0.060736,,,,,,,,,,-0.007480,,,,,,,,,,0.000000,,,,,,,,,,0.048193,,,,,,,,,,-0.068547,,,,,,,,,,
0.206349,0.054322,,,,,,,,,,0.041720,,,,,,,,,,0.080268,,,,,,,,,,0.075919,,,,,,,,,,-0.056037,,,,,,,,,,-0.002536,,,,,,,,,,0.000000,,,,,,,,,,0.060439,,,,,,,,,,-0.073420,,,,,,,,,,
0.238095,0.061303,,,,,,,,,,0.049507,,,,,,,,,,0.079621,,,,,,,,,,0.064727,,,,,,,,,,-0.043605,,,,,,,,,,-0.004437,,,,,,,,,,0.000000,,,,,,,,,,0.072737,,,,,,,,,,-0.076826,,,,,,,,,,
0.253968,0.064858,,,,,,,,,,0.054059,,,,,,,,,,0.076300,,,,,,,,,,0.053623,,,,,,,,,,-0.029998,,,,,,,,,,-0.006466,,,,,,,,,,0.000000,,,,,,,,,,0.072595,,,,,,,,,,-0.076369,,,,,,,,,,
0.269841,0.064740,,,,,,,,,,0.055004,,,,,,,,,,0.077172,,,,,,,,,,0.042606,,,,,,,,,,-0.016587,,,,,,,,,,-0.008367,,,,,,,,,,0.000000,,,,,,,,,,0.072541,,,,,,,,,,-0.075095,,,,,,,,,,
0.285714,0.070340,,,,,,,,,,0.061628,,,,,,,,,,0.074403,,,,,,,,,,0.031152,,,,,,,,,,-0.005330,,,,,,,,,,-0.009001,,,,,,,,,,0.000000,,,,,,,,,,0.071914,,,,,,,,,,-0.077070,,,,,,,,,,
0.301587,0.081283,,,,,,,,,,0.073866,,,,,,,,,,0.070101,,,,,,,,,,0.007818,,,,,,,,,,0.016046,,,,,,,,,,-0.009477,,,,,,,,,,0.000000,,,,,,,,,,0.070827,,,,,,,,,,-0.081162,,,,,,,,,,
0.317460,0.082701,,,,,,,,,,0.074210,,,,,,,,,,0.070695,,,,,,,,,,0.007981,,,,,,,,,,0.016108,,,,,,,,,,-0.009635,,,,,,,,,,0.000000,,,,,,,,,,0.070611,,,,,,,,,,-0.084458,,,,,,,,,,
0.333333,0.086842,,,,,,,,,,0.074651,,,,,,,,,,0.071709,,,,,,,,,,0.007369,,,,,,,,,,0.018163,,,,,,,,,,-0.009762,,,,,,,,,,0.000000,,,,,,,,,,0.070455,,,,,,,,,,-0.087109,,,,,,,,,,
0.349206,0.088996,,,,,,,,,,0.074527,,,,,,,,,,0.072903,,,,,,,,,,0.004047,,,,,,,,,,0.020317,,,,,,,,,,-0.001014,,,,,,,,,,0.000000,,,,,,,,,,0.070393,,,,,,,,,,-0.087725,,,,,,,,,,
