time,x,y,z,MF,
56444.8,-34.08,-12.54,-20.77,41.84,
56444.8,-34.62,-12.87,-20.88,42.43,
56444.8,-33.81,-12.99,-20.99,41.86,
56444.9,-33.42,-13.04,-21.04,41.59,
56444.9,-32.93,-13.20,-20.88,41.17,
56444.9,-32.89,-13.04,-20.83,41.06,
56444.9,-32.74,-11.33,-20.37,40.19,
56444.9,-32.87,-11.33,-20.37,40.29,
56444.9,-33.08,-11.33,-20.37,40.47,
56445.0,-32.32,-12.75,-21.55,40.88,
56445.0,-31.88,-13.55,-22.22,41.16,
56445.0,-33.44,-12.62,-21.00,41.45,
56445.0,-33.53,-12.49,-20.89,41.43,
56445.0,-32.23,-11.84,-21.21,40.36,
56445.0,-32.17,-12.12,-21.48,40.53,
56445.1,-32.05,-12.70,-22.05,40.92,
56445.1,-32.86,-12.90,-21.65,41.42,
56445.1,-33.42,-13.04,-21.38,41.76,
56445.1,-32.39,-12.89,-20.94,40.67,
56445.1,-32.23,-12.87,-20.88,40.49,
56445.2,-31.71,-12.36,-23.05,41.11,
56445.2,-31.81,-12.08,-22.42,40.74,
56445.2,-32.05,-11.33,-20.71,39.81,
56445.2,-31.96,-12.35,-21.34,40.37,
56445.2,-31.88,-13.21,-21.88,40.86,
56445.2,-33.00,-12.37,-20.79,40.92,
56445.3,-33.25,-12.18,-20.54,40.94,
56445.3,-33.08,-12.36,-22.72,41.99,
56445.3,-32.93,-12.28,-22.28,41.61,
56445.3,-32.40,-12.01,-20.71,40.28,
56445.3,-33.16,-11.42,-21.45,41.11,
56445.3,-33.94,-10.82,-22.22,41.98,
56445.3,-32.62,-12.39,-21.96,41.23,
56445.4,-32.23,-12.87,-21.88,41.02,
56445.4,-34.28,-12.18,-21.21,42.11,
56445.4,-33.95,-12.04,-21.30,41.85,
56445.4,-32.40,-11.33,-21.71,40.61,
56445.4,-32.70,-11.94,-21.56,40.95,
56445.4,-33.08,-12.70,-21.38,41.38,
56445.5,-32.84,-12.45,-22.34,41.62,
56445.5,-32.74,-12.36,-22.72,41.72,
56445.5,-31.89,-12.19,-21.56,40.38,
56445.5,-31.88,-12.31,-21.46,40.36,
56445.5,-31.88,-13.21,-20.88,40.33,
56445.6,-31.61,-12.53,-21.54,40.25,
56445.6,-31.20,-11.50,-22.55,40.18,
56445.6,-33.26,-11.96,-21.43,41.34,
56445.6,-34.28,-12.18,-20.88,41.94,
56445.6,-32.02,-11.86,-21.82,40.53,
56445.6,-31.88,-11.79,-21.85,40.41,
56445.7,-31.88,-11.16,-21.55,40.07,
56445.7,-32.30,-11.22,-21.84,40.58,
56445.7,-33.08,-11.33,-22.38,41.52,
56445.7,-32.87,-10.90,-22.59,41.35,
56445.7,-32.74,-10.64,-22.72,41.25,
56445.7,-32.13,-11.87,-22.42,40.93,
56445.8,-32.09,-12.00,-22.41,40.94,
56445.8,-33.08,-11.67,-23.05,41.98,
56445.8,-33.08,-11.57,-22.65,41.73,
56445.8,-33.08,-11.33,-21.71,41.16,
56445.8,-32.88,-11.13,-22.10,41.15,
56445.8,-32.74,-10.99,-22.38,41.15,
56445.8,-34.34,-9.39,-22.24,41.98,
56445.9,-34.62,-9.10,-22.22,42.13,
56445.9,-32.91,-10.82,-20.88,40.45,
56445.9,-32.95,-10.68,-21.18,40.60,
56445.9,-33.08,-10.30,-22.05,41.07,
56445.9,-33.35,-10.39,-21.60,41.08,
56446.0,-33.59,-10.47,-21.21,41.09,
56446.0,-33.73,-9.24,-21.35,40.97,
56446.0,-33.77,-8.93,-21.38,40.95,
56446.0,-33.42,-10.64,-23.05,41.98,
56446.0,-33.57,-10.50,-22.98,42.02,
56446.0,-34.11,-9.96,-22.72,42.17,
56446.1,-33.53,-10.87,-22.31,41.71,
56446.1,-32.91,-11.84,-21.88,41.26,
56446.1,-32.91,-10.29,-21.12,40.43,
56446.1,-32.91,-9.79,-20.88,40.18,
56446.1,-33.08,-9.28,-22.72,41.19,
56446.1,-33.25,-9.39,-22.61,41.29,
56446.2,-34.11,-9.96,-22.05,41.82,
56446.2,-33.81,-9.21,-21.75,41.25,
56446.2,-33.42,-8.25,-21.38,40.52,
56446.2,-32.94,-9.22,-21.86,40.59,
56446.2,-32.74,-9.62,-22.05,40.63,
56446.2,-33.75,-8.27,-21.39,40.80,
56446.3,-33.93,-8.29,-21.46,41.00,
56446.3,-35.13,-8.59,-22.05,42.36,
56446.3,-34.80,-8.93,-21.59,41.91,
56446.3,-34.28,-9.45,-20.88,41.23,
56446.3,-34.05,-9.90,-21.99,41.73,
56446.3,-33.94,-10.13,-22.55,41.99,
56446.3,-32.66,-8.85,-22.24,40.49,
56446.4,-32.58,-8.85,-22.20,40.41,
56446.4,-32.74,-9.96,-22.05,40.71,
56446.4,-33.15,-10.02,-21.76,40.90,
56446.4,-33.94,-10.13,-21.21,41.28,
56446.4,-33.20,-9.39,-21.73,40.77,
56446.5,-32.74,-8.93,-22.05,40.47,
56446.5,-32.44,-10.15,-20.56,39.72,
56446.5,-32.43,-10.27,-20.42,39.68,
56446.5,-33.59,-9.10,-22.22,41.29,
56446.5,-33.95,-9.36,-22.17,41.61,
56446.5,-34.79,-9.96,-22.05,42.38,
56446.6,-34.99,-9.76,-21.66,42.30,
56446.6,-35.13,-9.62,-21.38,42.24,
56446.6,-33.84,-10.05,-22.37,41.79,
56446.6,-33.59,-10.13,-22.55,41.71,
56446.6,-33.14,-9.90,-21.88,40.92,
56446.6,-33.17,-10.05,-21.55,40.81,
56446.7,-33.94,-10.82,-21.55,41.63,
56446.7,-33.49,-10.37,-21.63,41.19,
56446.7,-33.08,-9.96,-21.71,40.80,
56446.7,-33.22,-9.55,-21.85,40.89,
56446.7,-33.25,-9.45,-21.88,40.91,
56446.7,-33.42,-8.59,-21.38,40.59,
56446.8,-33.35,-8.73,-21.79,40.79,
56446.8,-33.08,-9.28,-23.39,41.56,
56446.8,-33.33,-10.18,-22.99,41.75,
56446.8,-33.59,-11.16,-22.55,41.97,
56446.8,-32.95,-9.75,-22.17,40.90,
56446.8,-32.74,-9.28,-22.05,40.55,
56446.9,-33.77,-11.33,-22.72,42.24,
56446.9,-33.58,-11.14,-22.74,42.06,
56446.9,-32.57,-10.13,-22.89,41.07,
56446.9,-33.16,-9.98,-22.89,41.51,
56446.9,-33.94,-9.79,-22.89,42.09,
56446.9,-34.78,-10.39,-22.06,42.48,
56447.0,-35.13,-10.64,-21.71,42.65,
56447.0,-32.13,-10.64,-23.02,40.94,
56447.0,-32.26,-10.51,-23.11,41.06,
56447.0,-33.94,-9.45,-23.56,42.38,
56447.0,-33.87,-9.91,-22.98,42.11,
56447.0,-33.77,-10.64,-22.05,41.71,
56447.1,-34.55,-9.86,-21.72,41.98,
56447.1,-34.96,-9.45,-21.55,42.14,
56447.1,-34.33,-11.35,-22.48,42.57,
56447.1,-34.24,-11.39,-22.49,42.51,
