time,mr,mtheta,mphi,gx,gy,gz,ax,ay,az,
56450.4,42.433083790834715,3.3995885748699086,2.1467349221703618,0.02,-0.01,-0.23,0.01,0.00,0.93,
56450.4,40.925489612220886,3.4052594063273753,2.1493904819672194,0.01,0.01,-0.26,0.02,0.01,0.93,
56450.4,40.903076901377474,3.398677262820923,2.157655056130655,0.01,0.02,-0.26,0.01,0.01,0.94,
56450.5,43.730556822432526,3.37666534891363,2.164930651915859,-0.34,-0.15,0.23,0.11,-0.02,0.96,
56450.5,43.48439835159272,3.372985013431115,2.1637598831157923,-0.32,-0.17,0.09,0.09,-0.01,1.00,
56450.5,39.906073472593114,3.342725204101685,2.1412548825295934,-0.25,-0.18,-0.05,0.06,-0.01,1.02,
56450.6,41.11377506383962,3.4062963627337703,2.1435053924199177,-0.08,-0.05,-0.10,-0.04,-0.02,0.97,
56450.6,40.73826824989005,3.4113637347327668,2.147702087049143,-0.05,-0.05,-0.13,-0.06,-0.02,0.96,
56450.6,40.85195099380199,3.3601029448561497,2.1502741328547588,-0.05,-0.04,-0.14,-0.07,-0.02,0.97,
56450.7,42.04556575906667,3.3941825730027753,2.1558666361118393,0.08,-0.18,-0.05,-0.04,-0.05,1.00,
56450.7,42.02630247832897,3.4052001302920654,2.1507559405764463,0.08,-0.18,-0.05,-0.05,-0.06,1.01,
56450.7,42.01402384918636,3.41314724957258,2.1469684869132495,0.09,-0.19,-0.05,-0.06,-0.07,1.01,
56450.8,42.437164137109825,3.3747656499880367,2.139944176979296,0.24,-0.18,0.03,-0.06,-0.05,0.96,
56450.8,41.60036538301076,3.391781031031411,2.1246361592092624,0.25,-0.20,0.04,-0.06,-0.06,0.96,
56450.8,42.04566089384254,3.415440734048623,2.1231210465212103,0.26,-0.22,0.04,-0.06,-0.06,0.96,
56450.9,42.37546105943863,3.3881622997958867,2.0996422779307444,0.32,-0.23,0.12,-0.07,-0.06,0.91,
56450.9,42.20474617859939,3.3905012238814036,2.1009087484528184,0.33,-0.24,0.13,-0.07,-0.07,0.90,
56450.9,41.60791391069732,3.398631986814481,2.1057007247003874,0.33,-0.24,0.14,-0.07,-0.06,0.89,
56451.0,42.261956887962484,3.3644750993498755,2.0965555145685375,0.26,-0.21,0.32,-0.10,0.02,0.97,
56451.0,42.41274572578389,3.358308187913375,2.098309831008071,0.27,-0.18,0.33,-0.11,0.00,0.97,
56451.0,43.19475546869087,3.3278998517697014,2.1065376534959572,0.28,-0.15,0.36,-0.11,-0.01,0.96,
56451.1,41.92780819456223,3.3247828028764657,2.074298463248324,0.28,-0.02,0.53,0.02,0.04,0.88,
56451.1,42.09859380074351,3.309849669128694,2.066925972803162,0.28,-0.01,0.53,0.02,0.04,0.87,
56451.1,42.85581757474707,3.2803244463252743,2.074624546090131,0.28,-0.00,0.53,0.02,0.03,0.86,
56451.2,43.80206958580838,3.2634879469672238,2.0762720145789784,0.20,0.09,0.37,-0.06,0.14,0.85,
56451.2,43.10741699522253,3.260310168479356,2.091084531860273,0.19,0.03,0.36,-0.05,0.13,0.85,
56451.2,42.75122805253669,3.2585906404159353,2.09911166555046,0.18,-0.03,0.35,-0.05,0.12,0.84,
