time,r,theta,phi,
56444.8,41.834087775401535,3.494175044703316,2.0903411440407176,
56444.8,42.42824177361112,3.497511349465235,2.085325498198956,
56444.8,41.86211055357816,3.5084096843784343,2.0960217645186376,
56444.9,41.58869557944803,3.5136097429775797,2.1012291146871616,
56444.9,41.16551104990681,3.5228318230336977,2.1027531304133475,
56444.9,41.057065165449906,3.5190549000747984,2.102894614080652,
56444.9,40.18971759044843,3.4747530277600656,2.1023184568838458,
56444.9,40.29569083661428,3.473530230516047,2.1007728789952917,
56444.9,40.46717435156549,3.4715731026666083,2.098291933727779,
56445.0,40.884561878537966,3.5173422520419226,2.125973442268066,
56445.0,41.15416503830445,3.543489869393964,2.1411396368716415,
56445.0,41.45477053367923,3.5024590703500076,2.102005433102209,
56445.0,41.43251259578641,3.4981717078605965,2.0992440468518425,
56445.0,40.358674408359846,3.493648126191074,2.124143188685113,
56445.0,40.5363256845018,3.5018953940221316,2.129273183499069,
56445.1,40.92303752166987,3.5188671539933343,2.139827700460722,
56445.1,41.41149719582715,3.5156814438993362,2.1209305732646353,
56445.1,41.76173368048793,3.5136097429775797,2.10825186908996,
56445.1,40.66629808576138,3.5203411888010283,2.1117137998644884,
56445.1,40.50165675623652,3.5215104492515845,2.1124276025052584,
56445.2,41.10469802832762,3.513259843661631,2.166103546172588,
56445.2,40.74872881452868,3.5045253801797256,2.153401509280801,
56445.2,39.80547072953666,3.481391117910128,2.1179754002645144,
56445.2,40.365327943669676,3.5103380553784738,2.127831070611149,
56445.2,40.8604074869549,3.534422161039993,2.1358743224798777,
56445.2,40.91749014785731,3.500230482042542,2.1037686902720756,
56445.3,40.93661563930267,3.4927281182292935,2.0964185094801273,
56445.3,41.99112287138795,3.4991701652061007,2.1425013697094695,
56445.3,41.6122782361168,3.4985317020908626,2.135799971448209,
56445.3,40.28528515475595,3.4965696896527705,2.110735116743845,
56445.3,41.11088055490906,3.473261728529073,2.119708689920679,
56445.3,41.984811539412675,3.450204759474383,2.1284997445327116,
56445.3,41.228850335656944,3.5045896429092585,2.132509283714109,
56445.4,41.02614044728068,3.5215104492515845,2.1333150450807317,
56445.4,42.11098312792044,3.482989436687619,2.09863699451404,
56445.4,41.84798800420398,3.4823943754462423,2.104801586700477,
56445.4,40.61345836049917,3.477992487076479,2.1347737354145337,
56445.4,40.947371099986384,3.491688939861209,2.125309553007824,
56445.4,41.384547840951456,3.5081586340160857,2.1136925451976776,
56445.5,41.62383571945286,3.5039624685153217,2.1373314224105124,
56445.5,41.723801360853976,3.502570678134843,2.1466289321778076,
56445.5,40.378234235785996,3.506705588576108,2.1340629663685298,
56445.5,40.35346453527875,3.5100900438527307,2.131521757496535,
56445.5,40.33376873043232,3.534422161039993,2.1149338403403175,
56445.6,40.25126830299885,3.5189861577902306,2.135467918158356,
56445.6,40.17701457301177,3.494731563619681,2.166711226485884,
56445.6,41.33417593227183,3.486786200837662,2.115842031084582,
56445.6,41.94574114257608,3.482989436687619,2.091840402319683,
56445.6,40.522245742308016,3.4963186485834186,2.139416268480662,
56445.6,40.407437434215005,3.4958180571345996,2.1421153148130574,
56445.7,40.06597683821025,3.478323360753805,2.138696290814031,
56445.7,40.57294665167912,3.475921160998718,2.1392027351262435,
56445.7,41.515294771927124,3.4715731026666083,2.140138885598402,
56445.7,41.3467652906488,3.4617908395868193,2.148802051087101,
56445.7,41.24700716415677,3.4558107397562914,2.154152122240168,
56445.7,40.937637938698906,3.4954769796986795,2.1503640196248384,
56445.8,40.938688303364096,3.4994409409571507,2.150055314991635,
56445.8,41.97353690124291,3.4807429485533534,2.152149761758994,
56445.8,41.72737470773833,3.478052010880984,2.1445746113772266,
56445.8,41.15798100004421,3.4715731026666083,2.1264275980192533,
56445.8,41.15071445309304,3.4679892527201543,2.137732657296314,
56445.8,41.15278969887704,3.465449239118704,2.1457870964482835,
56445.8,41.97648508391335,3.4085098747250973,2.1291851659811223,
56445.9,42.131731509635344,3.398631986814481,2.1263260852082517,
56445.9,40.44891716721227,3.459235517716885,2.113212252116174,
56445.9,40.59996674875486,3.455035173084652,2.1196097836482166,
56445.9,41.06797901041637,3.443444428906216,2.1375719713464623,
56445.9,41.06987460414263,3.4436065461795398,2.124607968973815,
56446.0,41.08251574575248,3.4437484490340404,2.113295589225429,
56446.0,40.97454087601226,3.4089732289074,2.118883168253388,
56446.0,40.954391705896455,3.4001112155763464,2.120042160610015,
56446.0,41.96913747028881,3.4498183338856694,2.1522186445556217,
56446.0,42.0151793998312,3.4447319230989932,2.1495072095952508,
56446.0,42.176914301546525,3.4256906936276117,2.139669838208916,
56446.1,41.71515192349178,3.4550893132466802,2.135088265656657,
56446.1,41.25515846533618,3.486943781408323,2.129819023540157,
56446.1,40.43521485042462,3.44463322861218,2.1203621075998837,
56446.1,40.18565166822606,3.430734056216798,2.117165519779843,
56446.1,41.18984340829666,3.4150946522999734,2.1550683209459915,
56446.1,41.291000230074346,3.416831057099727,2.1502620437283717,
56446.2,41.81980631232048,3.4256906936276117,2.1261715039686786,
56446.2,41.24321398727311,3.407544357352543,2.1262860851893306,
56446.2,40.5223802361115,3.3836121201124083,2.1265805836042304,
56446.2,40.59447745691524,3.414511270644587,2.139448584473186,
56446.2,40.62824756250262,3.4273794925481877,2.1444754479953874,
56446.2,40.804258356205914,3.3818948658485537,2.122583489358551,
56446.3,40.99390930370023,3.3812245167560286,2.1217410565142663,
56446.3,42.356906166527324,3.381407389711909,2.1183220679199533,
56446.3,41.91554604201166,3.3927819976796747,2.111901218734987,
