Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.000000,0.561670,,,,,,,,,,-0.976399,,,,,,,,,,0.724287,,,,,,,,,,-0.015221,,,,,,,,,,-0.010717,,,,,,,,,,-0.059473,,,,,,,,,,0.000000,,,,,,,,,,-1.685653,,,,,,,,,,-1.073245,,,,,,,,,,
0.100000,0.565318,,,,,,,,,,-0.975444,,,,,,,,,,0.727095,,,,,,,,,,0.005693,,,,,,,,,,0.035609,,,,,,,,,,-0.087743,,,,,,,,,,0.000000,,,,,,,,,,-1.311856,,,,,,,,,,-1.073178,,,,,,,,,,
0.200000,0.556218,,,,,,,,,,-0.974090,,,,,,,,,,0.737338,,,,,,,,,,0.016150,,,,,,,,,,0.058772,,,,,,,,,,-0.120053,,,,,,,,,,0.000000,,,,,,,,,,-0.941484,,,,,,,,,,-1.069301,,,,,,,,,,
0.300000,0.537073,,,,,,,,,,-0.960653,,,,,,,,,,0.749697,,,,,,,,,,0.023121,,,,,,,,,,0.035609,,,,,,,,,,-0.132169,,,,,,,,,,0.000000,,,,,,,,,,-0.581425,,,,,,,,,,-1.060681,,,,,,,,,,
0.400000,0.531327,,,,,,,,,,-0.947149,,,,,,,,,,0.735972,,,,,,,,,,0.030093,,,,,,,,,,-0.000790,,,,,,,,,,-0.124092,,,,,,,,,,0.000000,,,,,,,,,,-0.222364,,,,,,,,,,-1.066616,,,,,,,,,,
0.500000,0.513578,,,,,,,,,,-0.935273,,,,,,,,,,0.739012,,,,,,,,,,0.033579,,,,,,,,,,-0.030571,,,,,,,,,,-0.116014,,,,,,,,,,0.000000,,,,,,,,,,0.139231,,,,,,,,,,-1.058460,,,,,,,,,,
0.600000,0.512492,,,,,,,,,,-0.931931,,,,,,,,,,0.742692,,,,,,,,,,0.040550,,,,,,,,,,-0.050425,,,,,,,,,,-0.109956,,,,,,,,,,0.000000,,,,,,,,,,0.138059,,,,,,,,,,-1.057795,,,,,,,,,,
0.700000,0.513584,,,,,,,,,,-0.912128,,,,,,,,,,0.741958,,,,,,,,,,0.044036,,,,,,,,,,-0.093442,,,,,,,,,,-0.105918,,,,,,,,,,0.000000,,,,,,,,,,0.491050,,,,,,,,,,-1.059999,,,,,,,,,,
0.000000,,0.680494,,,,,,,,,,-0.795535,,,,,,,,,,0.745371,,,,,,,,,,0.089350,,,,,,,,,,-0.143077,,,,,,,,,,-0.156401,,,,,,,,,,0.000000,,,,,,,,,,1.126653,,,,,,,,,,-1.039264,,,,,,,,,
0.100000,,0.745476,,,,,,,,,,-0.787719,,,,,,,,,,0.770425,,,,,,,,,,0.155578,,,,,,,,,,0.177896,,,,,,,,,,-0.291698,,,,,,,,,,0.000000,,,,,,,,,,1.120825,,,,,,,,,,-1.035475,,,,,,,,,
