time,x,y,z
15:40:50:4,0.02,-0.01,-0.23
15:40:50:4,0.01,0.01,-0.26
15:40:50:4,0.01,0.02,-0.26
15:40:50:4,0.00,0.04,-0.23
15:40:50:4,-0.01,0.06,-0.18
15:40:50:4,-0.04,0.07,-0.10
15:40:50:4,-0.08,0.07,0.00
15:40:50:4,-0.11,0.05,0.12
15:40:50:4,-0.14,0.03,0.23
15:40:50:4,-0.16,0.00,0.33
15:40:50:4,-0.17,-0.03,0.41
15:40:50:4,-0.18,-0.06,0.47
15:40:50:4,-0.19,-0.09,0.50
15:40:50:4,-0.20,-0.12,0.51
15:40:50:4,-0.23,-0.14,0.49
15:40:50:4,-0.25,-0.16,0.45
15:40:50:4,-0.31,-0.15,0.36
15:40:50:5,-0.34,-0.15,0.23
15:40:50:5,-0.32,-0.17,0.09
15:40:50:5,-0.25,-0.18,-0.05
15:40:50:5,-0.16,-0.17,-0.17
15:40:50:5,-0.08,-0.14,-0.26
15:40:50:5,-0.02,-0.11,-0.32
15:40:50:5,0.00,-0.09,-0.35
15:40:50:5,0.01,-0.08,-0.33
15:40:50:5,0.02,-0.08,-0.27
15:40:50:5,0.01,-0.08,-0.19
15:40:50:5,-0.01,-0.08,-0.10
15:40:50:5,-0.05,-0.07,-0.02
15:40:50:5,-0.10,-0.06,0.04
15:40:50:5,-0.14,-0.06,0.07
15:40:50:5,-0.17,-0.05,0.08
15:40:50:5,-0.18,-0.05,0.07
15:40:50:5,-0.18,-0.04,0.04
15:40:50:5,-0.17,-0.04,0.00
15:40:50:5,-0.14,-0.05,-0.04
15:40:50:5,-0.11,-0.06,-0.07
15:40:50:6,-0.08,-0.05,-0.10
15:40:50:6,-0.05,-0.05,-0.13
15:40:50:6,-0.05,-0.04,-0.14
15:40:50:6,-0.05,-0.04,-0.14
15:40:50:6,-0.05,-0.04,-0.14
15:40:50:6,-0.05,-0.04,-0.13
15:40:50:6,-0.04,-0.05,-0.11
15:40:50:6,-0.03,-0.06,-0.08
15:40:50:6,-0.02,-0.07,-0.06
15:40:50:6,-0.01,-0.08,-0.04
15:40:50:6,-0.01,-0.09,-0.01
15:40:50:6,-0.00,-0.10,0.01
15:40:50:6,0.00,-0.12,0.01
15:40:50:6,0.01,-0.13,0.02
15:40:50:6,0.03,-0.14,0.02
15:40:50:6,0.04,-0.16,0.01
15:40:50:6,0.05,-0.16,0.00
15:40:50:6,0.05,-0.17,-0.01
15:40:50:6,0.06,-0.17,-0.02
15:40:50:6,0.06,-0.17,-0.04
15:40:50:6,0.07,-0.18,-0.05
15:40:50:7,0.08,-0.18,-0.05
15:40:50:7,0.08,-0.18,-0.05
15:40:50:7,0.09,-0.19,-0.05
15:40:50:7,0.09,-0.19,-0.05
15:40:50:7,0.10,-0.19,-0.04
15:40:50:7,0.12,-0.19,-0.03
15:40:50:7,0.13,-0.19,-0.02
15:40:50:7,0.15,-0.19,-0.01
15:40:50:7,0.17,-0.18,0.00
15:40:50:7,0.18,-0.18,0.01
15:40:50:7,0.19,-0.17,0.02
15:40:50:7,0.20,-0.16,0.03
15:40:50:7,0.21,-0.16,0.03
15:40:50:7,0.22,-0.15,0.03
15:40:50:7,0.22,-0.15,0.03
15:40:50:7,0.22,-0.15,0.03
15:40:50:7,0.22,-0.15,0.03
15:40:50:7,0.23,-0.15,0.03
15:40:50:7,0.23,-0.16,0.03
15:40:50:7,0.24,-0.17,0.03
15:40:50:8,0.24,-0.18,0.03
15:40:50:8,0.25,-0.20,0.04
15:40:50:8,0.26,-0.22,0.04
15:40:50:8,0.27,-0.24,0.06
15:40:50:8,0.28,-0.25,0.07
15:40:50:8,0.28,-0.27,0.08
15:40:50:8,0.29,-0.28,0.09
15:40:50:8,0.30,-0.29,0.10
15:40:50:8,0.30,-0.29,0.11
15:40:50:8,0.31,-0.29,0.11
15:40:50:8,0.31,-0.29,0.12
15:40:50:8,0.30,-0.28,0.11
15:40:50:8,0.30,-0.28,0.11
15:40:50:8,0.29,-0.27,0.11
15:40:50:8,0.29,-0.25,0.10
15:40:50:8,0.29,-0.24,0.10
15:40:50:8,0.29,-0.23,0.10
15:40:50:8,0.30,-0.22,0.10
15:40:50:8,0.31,-0.22,0.10
15:40:50:8,0.31,-0.22,0.11
15:40:50:9,0.32,-0.23,0.12
15:40:50:9,0.33,-0.24,0.13
15:40:50:9,0.33,-0.24,0.14
15:40:50:9,0.33,-0.25,0.15
15:40:50:9,0.33,-0.25,0.17
15:40:50:9,0.34,-0.26,0.18
15:40:50:9,0.34,-0.26,0.19
15:40:50:9,0.34,-0.26,0.20
15:40:50:9,0.35,-0.25,0.21
15:40:50:9,0.35,-0.25,0.23
15:40:50:9,0.35,-0.25,0.23
15:40:50:9,0.35,-0.25,0.24
15:40:50:9,0.35,-0.25,0.25
15:40:50:9,0.35,-0.26,0.25
15:40:50:9,0.34,-0.26,0.26
15:40:50:9,0.33,-0.27,0.26
15:40:50:9,0.32,-0.28,0.26
15:40:50:9,0.30,-0.28,0.27
15:40:50:9,0.28,-0.28,0.27
15:40:50:9,0.27,-0.26,0.29
15:40:50:9,0.26,-0.24,0.30
15:40:51:0,0.26,-0.21,0.32
15:40:51:0,0.27,-0.18,0.33
15:40:51:0,0.28,-0.15,0.36
15:40:51:0,0.29,-0.13,0.38
15:40:51:0,0.30,-0.11,0.41
15:40:51:0,0.31,-0.10,0.44
15:40:51:0,0.32,-0.10,0.47
15:40:51:0,0.32,-0.11,0.50
15:40:51:0,0.33,-0.13,0.52
15:40:51:0,0.33,-0.15,0.54
15:40:51:0,0.33,-0.17,0.56
15:40:51:0,0.33,-0.18,0.57
15:40:51:0,0.33,-0.18,0.58
15:40:51:0,0.32,-0.18,0.58
15:40:51:0,0.31,-0.17,0.58
15:40:51:0,0.30,-0.15,0.57
15:40:51:0,0.30,-0.13,0.57
15:40:51:0,0.29,-0.11,0.56
15:40:51:0,0.29,-0.08,0.55
15:40:51:0,0.29,-0.05,0.54
15:40:51:1,0.28,-0.02,0.53
15:40:51:1,0.28,-0.01,0.53
15:40:51:1,0.28,-0.00,0.53
15:40:51:1,0.28,-0.01,0.53
15:40:51:1,0.28,-0.00,0.53
15:40:51:1,0.27,0.01,0.53
15:40:51:1,0.27,0.03,0.54
15:40:51:1,0.26,0.06,0.54
15:40:51:1,0.26,0.09,0.54
15:40:51:1,0.27,0.12,0.54
15:40:51:1,0.28,0.16,0.54
15:40:51:1,0.28,0.20,0.53
15:40:51:1,0.28,0.25,0.51
15:40:51:1,0.28,0.28,0.50
15:40:51:1,0.27,0.29,0.48
15:40:51:1,0.26,0.29,0.46
15:40:51:1,0.25,0.27,0.44
15:40:51:1,0.23,0.25,0.42
15:40:51:1,0.22,0.21,0.41
15:40:51:1,0.21,0.16,0.39
15:40:51:2,0.20,0.09,0.37
15:40:51:2,0.19,0.03,0.36
15:40:51:2,0.18,-0.03,0.35
15:40:51:2,0.17,-0.10,0.34
15:40:51:2,0.15,-0.16,0.34
15:40:51:2,0.15,-0.21,0.34
15:40:51:2,0.14,-0.25,0.34
15:40:51:2,0.14,-0.26,0.34
15:40:51:2,0.13,-0.26,0.33
15:40:51:2,0.13,-0.25,0.33
15:40:51:2,0.13,-0.21,0.32
15:40:51:2,0.14,-0.18,0.31
15:40:51:2,0.14,-0.14,0.29
15:40:51:2,0.14,-0.09,0.27
15:40:51:2,0.14,-0.05,0.25
15:40:51:2,0.14,-0.00,0.24
15:40:51:2,0.14,0.03,0.22
15:40:51:2,0.14,0.05,0.20
15:40:51:2,0.15,0.08,0.18
15:40:51:2,0.16,0.10,0.17
15:40:51:3,0.16,0.12,0.16
15:40:51:3,0.16,0.14,0.15
15:40:51:3,0.16,0.15,0.14
15:40:51:3,0.16,0.17,0.13
15:40:51:3,0.16,0.19,0.13
15:40:51:3,0.15,0.22,0.12
15:40:51:3,0.14,0.24,0.11
15:40:51:3,0.13,0.27,0.10
15:40:51:3,0.12,0.29,0.09
15:40:51:3,0.11,0.31,0.07
