Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.207547,,-0.038269,,,,,,,,,,0.029633,,,,,,,,,,-0.014292,,,,,,,,,,0.034496,,,,,,,,,,0.047606,,,,,,,,,,-0.036071,,,,,,,,,,0.000000,,,,,,,,,,0.025076,,,,,,,,,,0.040930,,,,,,,,,
0.226415,,-0.046596,,,,,,,,,,0.031790,,,,,,,,,,-0.016368,,,,,,,,,,0.019196,,,,,,,,,,0.057432,,,,,,,,,,-0.019647,,,,,,,,,,0.000000,,,,,,,,,,0.025125,,,,,,,,,,0.042746,,,,,,,,,
0.245283,,-0.052095,,,,,,,,,,0.033027,,,,,,,,,,-0.015277,,,,,,,,,,0.008846,,,,,,,,,,0.053160,,,,,,,,,,-0.003810,,,,,,,,,,0.000000,,,,,,,,,,0.025187,,,,,,,,,,0.042219,,,,,,,,,
0.264151,,-0.056056,,,,,,,,,,0.032309,,,,,,,,,,-0.014580,,,,,,,,,,0.009409,,,,,,,,,,0.055509,,,,,,,,,,0.012614,,,,,,,,,,0.000000,,,,,,,,,,0.025134,,,,,,,,,,0.041487,,,,,,,,,
0.283019,,-0.055641,,,,,,,,,,0.033364,,,,,,,,,,-0.014516,,,,,,,,,,0.016496,,,,,,,,,,0.032868,,,,,,,,,,0.027409,,,,,,,,,,0.000000,,,,,,,,,,0.025052,,,,,,,,,,0.040270,,,,,,,,,
0.301887,,-0.052201,,,,,,,,,,0.035021,,,,,,,,,,-0.015974,,,,,,,,,,0.028196,,,,,,,,,,0.010120,,,,,,,,,,0.041291,,,,,,,,,,0.000000,,,,,,,,,,0.024868,,,,,,,,,,0.040773,,,,,,,,,
0.320755,,-0.042980,,,,,,,,,,0.038441,,,,,,,,,,-0.019688,,,,,,,,,,0.038996,,,,,,,,,,-0.007822,,,,,,,,,,0.051393,,,,,,,,,,0.000000,,,,,,,,,,0.024193,,,,,,,,,,0.043495,,,,,,,,,
0.339623,,-0.029866,,,,,,,,,,0.041945,,,,,,,,,,-0.027991,,,,,,,,,,0.047659,,,,,,,,,,-0.029929,,,,,,,,,,0.057585,,,,,,,,,,0.000000,,,,,,,,,,0.017840,,,,,,,,,,0.045806,,,,,,,,,
0.358491,,-0.013176,,,,,,,,,,0.044443,,,,,,,,,,-0.037821,,,,,,,,,,0.050584,,,,,,,,,,-0.051395,,,,,,,,,,0.058823,,,,,,,,,,0.000000,,,,,,,,,,0.011392,,,,,,,,,,0.047194,,,,,,,,,
0.377358,,0.005101,,,,,,,,,,0.046561,,,,,,,,,,-0.046141,,,,,,,,,,0.053059,,,,,,,,,,-0.064211,,,,,,,,,,0.055369,,,,,,,,,,0.000000,,,,,,,,,,0.004931,,,,,,,,,,0.048361,,,,,,,,,
