Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,aclx 15,aclx 16,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,acly 15,acly 16,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,aclz 15,aclz 16,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyrx 15,gyrx 16,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyry 15,gyry 16,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,gyrz 15,gyrz 16,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magr 15,magr 16,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magphi 15,magphi 16,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,magtheta 15,magtheta 16,
0.000000,0.688512,,,,,,,,,,,,,,,,0.599195,,,,,,,,,,,,,,,,-1.022848,,,,,,,,,,,,,,,,-0.435092,,,,,,,,,,,,,,,,0.217230,,,,,,,,,,,,,,,,-0.535784,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.466242,,,,,,,,,,,,,,,,0.769041,,,,,,,,,,,,,,,,
0.100000,0.605906,,,,,,,,,,,,,,,,0.581540,,,,,,,,,,,,,,,,-0.898343,,,,,,,,,,,,,,,,-0.525330,,,,,,,,,,,,,,,,0.581247,,,,,,,,,,,,,,,,-0.561226,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.471218,,,,,,,,,,,,,,,,0.688644,,,,,,,,,,,,,,,,
0.200000,0.527341,,,,,,,,,,,,,,,,0.540535,,,,,,,,,,,,,,,,-0.659289,,,,,,,,,,,,,,,,-0.709907,,,,,,,,,,,,,,,,0.577532,,,,,,,,,,,,,,,,-0.450980,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.479067,,,,,,,,,,,,,,,,0.578182,,,,,,,,,,,,,,,,
0.300000,0.430640,,,,,,,,,,,,,,,,0.479695,,,,,,,,,,,,,,,,-0.377119,,,,,,,,,,,,,,,,-0.865772,,,,,,,,,,,,,,,,0.618391,,,,,,,,,,,,,,,,-0.281371,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.487558,,,,,,,,,,,,,,,,0.444554,,,,,,,,,,,,,,,,
0.400000,0.360956,,,,,,,,,,,,,,,,0.426141,,,,,,,,,,,,,,,,-0.145797,,,,,,,,,,,,,,,,-0.824755,,,,,,,,,,,,,,,,0.443812,,,,,,,,,,,,,,,,-0.099042,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.494116,,,,,,,,,,,,,,,,0.328933,,,,,,,,,,,,,,,,
0.500000,0.328013,,,,,,,,,,,,,,,,0.368508,,,,,,,,,,,,,,,,0.087964,,,,,,,,,,,,,,,,-0.796043,,,,,,,,,,,,,,,,0.161514,,,,,,,,,,,,,,,,0.087528,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.500794,,,,,,,,,,,,,,,,0.204330,,,,,,,,,,,,,,,,
0.600000,0.338505,,,,,,,,,,,,,,,,0.309398,,,,,,,,,,,,,,,,0.265819,,,,,,,,,,,,,,,,-0.677094,,,,,,,,,,,,,,,,0.016650,,,,,,,,,,,,,,,,0.308020,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.505213,,,,,,,,,,,,,,,,0.084144,,,,,,,,,,,,,,,,
0.700000,0.364534,,,,,,,,,,,,,,,,0.244701,,,,,,,,,,,,,,,,0.528147,,,,,,,,,,,,,,,,-0.496618,,,,,,,,,,,,,,,,-0.224790,,,,,,,,,,,,,,,,0.604835,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.508694,,,,,,,,,,,,,,,,-0.069618,,,,,,,,,,,,,,,,
0.800000,0.414021,,,,,,,,,,,,,,,,0.203056,,,,,,,,,,,,,,,,0.626110,,,,,,,,,,,,,,,,-0.320244,,,,,,,,,,,,,,,,-0.295364,,,,,,,,,,,,,,,,0.918611,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.508082,,,,,,,,,,,,,,,,-0.181152,,,,,,,,,,,,,,,,
0.900000,0.496181,,,,,,,,,,,,,,,,0.165254,,,,,,,,,,,,,,,,0.711163,,,,,,,,,,,,,,,,-0.139769,,,,,,,,,,,,,,,,-0.406798,,,,,,,,,,,,,,,,1.143343,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.505772,,,,,,,,,,,,,,,,-0.299352,,,,,,,,,,,,,,,,
