Samples per Trial
2
Column,Signature Length,Signature...
2,1,
Time,aclx (mu), aclx (sigma),acly (mu), acly (sigma),aclz (mu), aclz (sigma),gyrx (mu), gyrx (sigma),gyry (mu), gyry (sigma),gyrz (mu), gyrz (sigma),magr (mu), magr (sigma),magphi (mu), magphi (sigma),magtheta (mu), magtheta (sigma),
0.000000,2.794861,9.602010,6.833987,22.221312,-5.162437,16.969665,-3.244897,10.677143,1.988469,6.644744,-6.975136,22.608312,0.000000,0.000000,-0.074140,4.146090,6.302592,20.729037,
0.500000,-4.428697,14.675861,-6.405920,20.737786,2.856947,10.172924,1.492781,5.989837,0.157290,3.172653,3.605815,11.841620,0.000000,0.000000,4.509856,14.780707,-4.471251,14.560336,
