Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,
0.000000,-0.286621,,,,,,,,,,,,,,1.475712,,,,,,,,,,,,,,-2.404740,,,,,,,,,,,,,,-0.844348,,,,,,,,,,,,,,0.113190,,,,,,,,,,,,,,-1.433613,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.153255,,,,,,,,,,,,,,2.032629,,,,,,,,,,,,,,
0.050000,-0.526167,,,,,,,,,,,,,,1.371385,,,,,,,,,,,,,,-2.149008,,,,,,,,,,,,,,-0.950127,,,,,,,,,,,,,,0.769054,,,,,,,,,,,,,,-1.470223,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.277954,,,,,,,,,,,,,,1.836485,,,,,,,,,,,,,,
0.100000,-0.753995,,,,,,,,,,,,,,1.129085,,,,,,,,,,,,,,-1.657994,,,,,,,,,,,,,,-1.166492,,,,,,,,,,,,,,0.762362,,,,,,,,,,,,,,-1.311581,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.474651,,,,,,,,,,,,,,1.566995,,,,,,,,,,,,,,
0.150000,-1.034418,,,,,,,,,,,,,,0.769576,,,,,,,,,,,,,,-1.078422,,,,,,,,,,,,,,-1.349201,,,,,,,,,,,,,,0.835979,,,,,,,,,,,,,,-1.067516,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.687427,,,,,,,,,,,,,,1.240986,,,,,,,,,,,,,,
0.200000,-1.236492,,,,,,,,,,,,,,0.453118,,,,,,,,,,,,,,-0.603292,,,,,,,,,,,,,,-1.301120,,,,,,,,,,,,,,0.521432,,,,,,,,,,,,,,-0.805147,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.851750,,,,,,,,,,,,,,0.958908,,,,,,,,,,,,,,
0.250000,-1.332020,,,,,,,,,,,,,,0.112560,,,,,,,,,,,,,,-0.123149,,,,,,,,,,,,,,-1.267463,,,,,,,,,,,,,,0.012803,,,,,,,,,,,,,,-0.536676,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.019101,,,,,,,,,,,,,,0.654915,,,,,,,,,,,,,,
0.300000,-1.301595,,,,,,,,,,,,,,-0.236728,,,,,,,,,,,,,,0.242162,,,,,,,,,,,,,,-1.128027,,,,,,,,,,,,,,-0.248204,,,,,,,,,,,,,,-0.219393,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.129829,,,,,,,,,,,,,,0.361700,,,,,,,,,,,,,,
0.350000,-1.226116,,,,,,,,,,,,,,-0.619028,,,,,,,,,,,,,,0.780978,,,,,,,,,,,,,,-0.916470,,,,,,,,,,,,,,-0.683216,,,,,,,,,,,,,,0.207720,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.217054,,,,,,,,,,,,,,-0.013430,,,,,,,,,,,,,,
0.400000,-1.082609,,,,,,,,,,,,,,-0.865110,,,,,,,,,,,,,,0.982192,,,,,,,,,,,,,,-0.709721,,,,,,,,,,,,,,-0.810373,,,,,,,,,,,,,,0.659239,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.201724,,,,,,,,,,,,,,-0.285536,,,,,,,,,,,,,,
0.450000,-0.844358,,,,,,,,,,,,,,-1.088488,,,,,,,,,,,,,,1.156889,,,,,,,,,,,,,,-0.498163,,,,,,,,,,,,,,-1.011148,,,,,,,,,,,,,,0.982624,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.143849,,,,,,,,,,,,,,-0.573906,,,,,,,,,,,,,,
