Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,
0.000000,-0.028442,,,,,,,,,,,,,,0.006226,,,,,,,,,,,,,,0.032756,,,,,,,,,,,,,,-0.011510,,,,,,,,,,,,,,-0.015014,,,,,,,,,,,,,,0.023226,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.016078,,,,,,,,,,,,,,0.005106,,,,,,,,,,,,,,
0.076923,-0.025417,,,,,,,,,,,,,,0.005544,,,,,,,,,,,,,,0.033890,,,,,,,,,,,,,,-0.013345,,,,,,,,,,,,,,-0.018006,,,,,,,,,,,,,,0.025756,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.015958,,,,,,,,,,,,,,0.002576,,,,,,,,,,,,,,
0.153846,-0.021794,,,,,,,,,,,,,,0.004470,,,,,,,,,,,,,,0.034943,,,,,,,,,,,,,,-0.011877,,,,,,,,,,,,,,-0.022991,,,,,,,,,,,,,,0.030309,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.015841,,,,,,,,,,,,,,0.000041,,,,,,,,,,,,,,
0.230769,-0.017622,,,,,,,,,,,,,,0.003896,,,,,,,,,,,,,,0.036658,,,,,,,,,,,,,,-0.005025,,,,,,,,,,,,,,-0.028531,,,,,,,,,,,,,,0.036000,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.015675,,,,,,,,,,,,,,-0.002437,,,,,,,,,,,,,,
0.307692,-0.012567,,,,,,,,,,,,,,0.003919,,,,,,,,,,,,,,0.037178,,,,,,,,,,,,,,0.001459,,,,,,,,,,,,,,-0.032741,,,,,,,,,,,,,,0.042197,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.015457,,,,,,,,,,,,,,-0.004566,,,,,,,,,,,,,,
0.384615,-0.007600,,,,,,,,,,,,,,0.004193,,,,,,,,,,,,,,0.037681,,,,,,,,,,,,,,0.006842,,,,,,,,,,,,,,-0.036951,,,,,,,,,,,,,,0.047762,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.015107,,,,,,,,,,,,,,-0.006659,,,,,,,,,,,,,,
0.461538,-0.002121,,,,,,,,,,,,,,0.004934,,,,,,,,,,,,,,0.036882,,,,,,,,,,,,,,0.010512,,,,,,,,,,,,,,-0.042934,,,,,,,,,,,,,,0.047889,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.014734,,,,,,,,,,,,,,-0.007962,,,,,,,,,,,,,,
0.538462,0.004663,,,,,,,,,,,,,,0.005834,,,,,,,,,,,,,,0.037755,,,,,,,,,,,,,,0.012347,,,,,,,,,,,,,,-0.046701,,,,,,,,,,,,,,0.043715,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.014266,,,,,,,,,,,,,,-0.009605,,,,,,,,,,,,,,
0.615385,0.012315,,,,,,,,,,,,,,0.006854,,,,,,,,,,,,,,0.037196,,,,,,,,,,,,,,0.015284,,,,,,,,,,,,,,-0.043710,,,,,,,,,,,,,,0.039162,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.013767,,,,,,,,,,,,,,-0.010754,,,,,,,,,,,,,,
0.692308,0.018537,,,,,,,,,,,,,,0.007960,,,,,,,,,,,,,,0.034711,,,,,,,,,,,,,,0.018832,,,,,,,,,,,,,,-0.036065,,,,,,,,,,,,,,0.034230,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.013319,,,,,,,,,,,,,,-0.010845,,,,,,,,,,,,,,
0.769231,0.023765,,,,,,,,,,,,,,0.009176,,,,,,,,,,,,,,0.030846,,,,,,,,,,,,,,0.019076,,,,,,,,,,,,,,-0.029196,,,,,,,,,,,,,,0.027653,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.012895,,,,,,,,,,,,,,-0.010854,,,,,,,,,,,,,,
0.846154,0.028333,,,,,,,,,,,,,,0.010017,,,,,,,,,,,,,,0.026527,,,,,,,,,,,,,,0.014305,,,,,,,,,,,,,,-0.024321,,,,,,,,,,,,,,0.021961,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.012497,,,,,,,,,,,,,,-0.009757,,,,,,,,,,,,,,
0.923077,0.031452,,,,,,,,,,,,,,0.010429,,,,,,,,,,,,,,0.023029,,,,,,,,,,,,,,0.008555,,,,,,,,,,,,,,-0.017784,,,,,,,,,,,,,,0.011338,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.012182,,,,,,,,,,,,,,-0.009425,,,,,,,,,,,,,,
1.000000,0.034643,,,,,,,,,,,,,,0.010568,,,,,,,,,,,,,,0.020528,,,,,,,,,,,,,,0.005374,,,,,,,,,,,,,,-0.011137,,,,,,,,,,,,,,0.001599,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.012011,,,,,,,,,,,,,,-0.009299,,,,,,,,,,,,,,
