Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,aclx 15,aclx 16,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,acly 15,acly 16,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,aclz 15,aclz 16,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyrx 15,gyrx 16,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyry 15,gyry 16,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,gyrz 15,gyrz 16,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magr 15,magr 16,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magphi 15,magphi 16,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,magtheta 15,magtheta 16,
0.000000,-0.034362,,,,,,,,,,,,,,,,0.017609,,,,,,,,,,,,,,,,-0.024249,,,,,,,,,,,,,,,,-0.000499,,,,,,,,,,,,,,,,-0.039056,,,,,,,,,,,,,,,,0.013361,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.014742,,,,,,,,,,,,,,,,0.034755,,,,,,,,,,,,,,,,
0.008333,-0.028680,,,,,,,,,,,,,,,,0.018352,,,,,,,,,,,,,,,,-0.025629,,,,,,,,,,,,,,,,-0.000376,,,,,,,,,,,,,,,,-0.046147,,,,,,,,,,,,,,,,0.019179,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.014503,,,,,,,,,,,,,,,,0.035429,,,,,,,,,,,,,,,,
0.016667,-0.023256,,,,,,,,,,,,,,,,0.019229,,,,,,,,,,,,,,,,-0.028593,,,,,,,,,,,,,,,,-0.000499,,,,,,,,,,,,,,,,-0.050468,,,,,,,,,,,,,,,,0.023606,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.014233,,,,,,,,,,,,,,,,0.036506,,,,,,,,,,,,,,,,
0.025000,-0.017312,,,,,,,,,,,,,,,,0.020168,,,,,,,,,,,,,,,,-0.031887,,,,,,,,,,,,,,,,-0.000499,,,,,,,,,,,,,,,,-0.052573,,,,,,,,,,,,,,,,0.022847,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.013907,,,,,,,,,,,,,,,,0.037445,,,,,,,,,,,,,,,,
0.033333,-0.010878,,,,,,,,,,,,,,,,0.020735,,,,,,,,,,,,,,,,-0.034132,,,,,,,,,,,,,,,,-0.000621,,,,,,,,,,,,,,,,-0.061991,,,,,,,,,,,,,,,,0.021203,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.013599,,,,,,,,,,,,,,,,0.038495,,,,,,,,,,,,,,,,
0.041667,-0.003805,,,,,,,,,,,,,,,,0.020804,,,,,,,,,,,,,,,,-0.036993,,,,,,,,,,,,,,,,0.001337,,,,,,,,,,,,,,,,-0.065425,,,,,,,,,,,,,,,,0.016776,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.013311,,,,,,,,,,,,,,,,0.039225,,,,,,,,,,,,,,,,
0.050000,0.003760,,,,,,,,,,,,,,,,0.020875,,,,,,,,,,,,,,,,-0.037376,,,,,,,,,,,,,,,,0.002682,,,,,,,,,,,,,,,,-0.046258,,,,,,,,,,,,,,,,0.014246,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.013049,,,,,,,,,,,,,,,,0.039421,,,,,,,,,,,,,,,,
0.058333,0.007194,,,,,,,,,,,,,,,,0.020863,,,,,,,,,,,,,,,,-0.042185,,,,,,,,,,,,,,,,0.003906,,,,,,,,,,,,,,,,-0.030969,,,,,,,,,,,,,,,,0.013361,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.012876,,,,,,,,,,,,,,,,0.039796,,,,,,,,,,,,,,,,
0.066667,0.010370,,,,,,,,,,,,,,,,0.021153,,,,,,,,,,,,,,,,-0.044030,,,,,,,,,,,,,,,,0.003539,,,,,,,,,,,,,,,,-0.023102,,,,,,,,,,,,,,,,0.012096,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.012727,,,,,,,,,,,,,,,,0.039921,,,,,,,,,,,,,,,,
0.075000,0.013115,,,,,,,,,,,,,,,,0.021455,,,,,,,,,,,,,,,,-0.045015,,,,,,,,,,,,,,,,0.001581,,,,,,,,,,,,,,,,-0.017119,,,,,,,,,,,,,,,,0.009314,,,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,,,0.012602,,,,,,,,,,,,,,,,0.039647,,,,,,,,,,,,,,,,
