time,r,theta,phi,
53125.5,46.50056988898093,5.351170537936564,2.112863186458644,
53125.5,46.213315180800436,5.376017504979991,2.122698304407881,
53125.5,46.24752101464466,5.329938942408629,2.112877065463206,
53125.5,46.342412539702764,5.291495516143736,2.1041099610427088,
53125.5,46.36935302546284,5.318824254838388,2.0803895613467587,
53125.6,46.38665433074474,5.325514327216786,2.0742646104214932,
53125.6,46.572671170977515,5.321504374206944,2.121982007727649,
53125.6,46.65389158473278,5.326421537666279,2.1262010164267053,
53125.6,46.9770582305874,5.345464310450637,2.1420528074097622,
53125.6,46.64783060336247,5.335091159417039,2.118981188353938,
53125.6,46.302226728311894,5.323461756135407,2.091875333432153,
53125.7,46.56459384553891,5.340652697478721,2.106781661704708,
53125.7,46.67292577072922,5.3472885809704165,2.1123900490152403,
53125.7,45.82155169786375,5.348671859297821,2.1320905379449173,
53125.7,46.02769709642228,5.345027634690977,2.1292770069074245,
53125.7,47.62815763810311,5.320731898980551,2.1084149770754745,
53125.7,46.898987195887294,5.315468932109017,2.10825120304993,
53125.8,45.720715217502885,5.307098628233892,2.1078239583851834,
53125.8,46.84806933054979,5.335462503583726,2.1041825753111887,
53125.8,47.5024609888793,5.350860589128803,2.1019171456170715,
53125.8,45.66151771459201,5.3554306007741035,2.110381977910588,
53125.8,45.40599519887214,5.354554565007955,2.111185217586769,
53125.8,44.70712471183984,5.328128129160834,2.108306587857018,
53125.9,45.48781265350094,5.333587626668583,2.103203142185639,
53125.9,47.282288438695524,5.345059130990151,2.0924145765078803,
53125.9,47.14760439301238,5.338039209763983,2.0916101874301463,
53125.9,47.05277250067205,5.332325263450729,2.0910513312790826,
53125.9,46.21370034957166,5.3471370239189495,2.11534044518283,
53125.9,46.0327970038754,5.350589965532776,2.1207770856438675,
53126.0,46.887167754088104,5.311694431546516,2.1096434269689412,
53126.0,46.84688890417378,5.317021063212091,2.1101575477432064,
53126.0,46.737132988663305,5.335423651227895,2.1115637821423885,
53126.0,47.22335862684906,5.328685917780761,2.107362447627917,
53126.0,47.75021465920337,5.321761038184539,2.1029986269006367,
53126.0,46.57098130810644,5.33322521745901,2.1240220277703337,
53126.1,46.15719445546924,5.337516766654583,2.1318690138196352,
53126.1,47.5951321040293,5.355595002381837,2.117168461554937,
53126.1,47.51911825781283,5.3525484140644135,2.113219996536569,
53126.1,47.05277250067205,5.332325263450729,2.0910513312790826,
53126.1,47.410448215556876,5.337499558930131,2.1013449327468017,
