Time,Column,Value,Is Positive Peak
53131.800000,aclz,0.024730,1
53131.800000,magr,-0.026997,0
53131.800000,magtheta,0.012631,0
53131.900000,aclx,-0.042925,0
53131.900000,acly,0.004234,0
53131.900000,magphi,0.016029,1
53131.900000,magtheta,0.012703,1
53132.000000,gyry,0.000442,1
53132.100000,acly,0.004547,1
53132.200000,aclx,-0.042342,1
53132.200000,acly,0.004547,0
53132.200000,gyrx,-0.001189,1
53132.200000,gyry,0.000120,0
53132.200000,magphi,0.015938,0
53132.200000,magtheta,0.012318,0
53132.300000,aclx,-0.042559,0
53132.300000,aclz,0.022381,0
53132.300000,gyry,0.000396,1
53132.300000,magphi,0.015941,1
53132.300000,magtheta,0.012824,1
53132.400000,gyrx,-0.001527,0
53132.400000,gyry,-0.000201,0
53132.500000,aclz,0.022626,1
53132.500000,gyry,0.000120,1
53132.500000,magtheta,0.012607,0
53132.600000,gyrx,-0.000190,1
53132.700000,gyrx,-0.000256,0
53132.800000,magr,-0.004500,1
53132.800000,magtheta,0.012819,1
53132.900000,aclz,0.021978,0
53132.900000,magr,-0.008307,0
53133.000000,gyrx,0.000296,1
53133.400000,acly,0.005767,1
53133.800000,gyrx,-0.003829,0
53134.000000,acly,0.005052,0
53134.300000,gyrz,0.018859,1
53134.400000,gyry,-0.013434,0
53134.500000,aclz,0.027839,1
53134.700000,gyrx,0.002226,1
53134.700000,gyry,-0.011122,1
53134.800000,gyry,-0.011283,0
53135.000000,gyrx,0.001582,0
53135.100000,gyrx,0.001726,1
53135.100000,gyry,-0.008250,1
53135.200000,gyrx,0.001679,0
53135.200000,gyry,-0.008484,0
53135.300000,gyrx,0.001819,1
53135.400000,gyrx,0.001805,0
53135.400000,magr,-0.002332,1
53135.500000,gyrx,0.001829,1
53135.600000,magr,-0.006922,0
53135.700000,gyrx,0.001549,0
53135.800000,gyrx,0.001621,1
53136.100000,magr,-0.005485,1
53136.200000,magr,-0.007690,0
53136.400000,magr,-0.007007,1
53136.500000,gyrx,0.000798,0
53136.500000,magr,-0.009143,0
53136.600000,gyrx,0.000867,1
53136.800000,aclz,0.015091,0
53136.900000,aclz,0.015127,1
53137.000000,magr,-0.002976,1
53137.100000,magr,-0.005295,0
53137.200000,magr,-0.005055,1
53137.400000,magr,-0.009403,0
53137.600000,aclz,0.013958,0
53137.700000,aclz,0.014113,1
53137.700000,gyry,-0.001825,1
53137.800000,gyry,-0.001882,0
53138.000000,acly,0.009884,1
53138.000000,aclz,0.013767,0
53138.100000,acly,0.009878,0
53138.100000,aclz,0.013770,1
53138.400000,acly,0.009933,1
53138.400000,aclz,0.013462,0
53138.400000,gyrx,-0.000737,0
53138.500000,aclz,0.013470,1
53138.600000,gyrx,-0.000681,1
53138.900000,aclz,0.013019,0
53139.000000,aclz,0.013041,1
53139.000000,magr,-0.004467,1
53139.100000,acly,0.009875,0
53139.100000,magr,-0.006718,0
53139.200000,acly,0.009884,1
53139.300000,acly,0.009876,0
53139.400000,acly,0.009888,1
53139.400000,aclz,0.012550,0
53139.500000,aclz,0.012596,1
53139.500000,gyry,-0.000729,1
53139.600000,acly,0.009859,0
53139.600000,gyrx,-0.000914,0
53139.600000,gyry,-0.000749,0
53139.700000,gyrx,-0.000878,1
53139.700000,gyry,-0.000651,1
53139.800000,acly,0.009862,1
