Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.000000,-0.005004,,,,,,,,,-0.038386,,,,,,,,,-0.002073,,,,,,,,,-0.006521,,,,,,,,,0.004885,,,,,,,,,-0.002780,,,,,,,,,0.000000,,,,,,,,,-0.154320,,,,,,,,,0.081062,,,,,,,,,
0.047619,-0.006554,,,,,,,,,-0.038088,,,,,,,,,-0.003939,,,,,,,,,-0.006559,,,,,,,,,0.004864,,,,,,,,,-0.002763,,,,,,,,,0.000000,,,,,,,,,-0.125115,,,,,,,,,0.085418,,,,,,,,,
0.095238,-0.007889,,,,,,,,,-0.038248,,,,,,,,,-0.007001,,,,,,,,,-0.009240,,,,,,,,,0.012997,,,,,,,,,-0.005448,,,,,,,,,0.000000,,,,,,,,,-0.115612,,,,,,,,,0.083767,,,,,,,,,
0.142857,-0.006518,,,,,,,,,-0.038491,,,,,,,,,-0.008068,,,,,,,,,-0.008468,,,,,,,,,0.027318,,,,,,,,,-0.008935,,,,,,,,,0.000000,,,,,,,,,-0.103383,,,,,,,,,0.084012,,,,,,,,,
0.190476,-0.006158,,,,,,,,,-0.039055,,,,,,,,,-0.013395,,,,,,,,,-0.008047,,,,,,,,,0.042317,,,,,,,,,-0.012482,,,,,,,,,0.000000,,,,,,,,,-0.091361,,,,,,,,,0.080327,,,,,,,,,
0.238095,-0.009577,,,,,,,,,-0.039573,,,,,,,,,-0.017281,,,,,,,,,-0.007836,,,,,,,,,0.044126,,,,,,,,,-0.011504,,,,,,,,,0.000000,,,,,,,,,-0.079136,,,,,,,,,0.080839,,,,,,,,,
0.333333,-0.012965,,,,,,,,,-0.040139,,,,,,,,,-0.022389,,,,,,,,,-0.007626,,,,,,,,,0.042091,,,,,,,,,-0.012727,,,,,,,,,0.000000,,,,,,,,,-0.067219,,,,,,,,,0.077136,,,,,,,,,
0.380952,-0.011296,,,,,,,,,-0.040352,,,,,,,,,-0.021687,,,,,,,,,-0.007205,,,,,,,,,0.055733,,,,,,,,,-0.016030,,,,,,,,,0.000000,,,,,,,,,-0.055242,,,,,,,,,0.077122,,,,,,,,,
0.428571,-0.008212,,,,,,,,,-0.040677,,,,,,,,,-0.021796,,,,,,,,,-0.006292,,,,,,,,,0.065984,,,,,,,,,-0.019578,,,,,,,,,0.000000,,,,,,,,,-0.042695,,,,,,,,,0.074747,,,,,,,,,
0.476190,-0.010930,,,,,,,,,-0.040833,,,,,,,,,-0.025047,,,,,,,,,-0.005520,,,,,,,,,0.068622,,,,,,,,,-0.021290,,,,,,,,,0.000000,,,,,,,,,-0.030260,,,,,,,,,0.072250,,,,,,,,,
0.523810,-0.010219,,,,,,,,,-0.041271,,,,,,,,,-0.029679,,,,,,,,,-0.006906,,,,,,,,,0.070764,,,,,,,,,-0.021591,,,,,,,,,0.000000,,,,,,,,,-0.018238,,,,,,,,,0.069521,,,,,,,,,
0.571429,-0.006254,,,,,,,,,-0.042477,,,,,,,,,-0.034078,,,,,,,,,-0.006152,,,,,,,,,0.076838,,,,,,,,,-0.023554,,,,,,,,,0.000000,,,,,,,,,-0.020118,,,,,,,,,0.061964,,,,,,,,,
0.619048,-0.002341,,,,,,,,,-0.042991,,,,,,,,,-0.034243,,,,,,,,,-0.002783,,,,,,,,,0.068547,,,,,,,,,-0.020923,,,,,,,,,0.000000,,,,,,,,,-0.019974,,,,,,,,,0.061474,,,,,,,,,
0.666667,-0.000993,,,,,,,,,-0.043397,,,,,,,,,-0.036554,,,,,,,,,-0.002994,,,,,,,,,0.054075,,,,,,,,,-0.017498,,,,,,,,,0.000000,,,,,,,,,-0.019939,,,,,,,,,0.059128,,,,,,,,,
0.714286,0.000763,,,,,,,,,-0.043415,,,,,,,,,-0.034815,,,,,,,,,-0.003275,,,,,,,,,0.039528,,,,,,,,,-0.013706,,,,,,,,,0.000000,,,,,,,,,-0.019822,,,,,,,,,0.061284,,,,,,,,,
0.809524,0.006319,,,,,,,,,-0.043565,,,,,,,,,-0.034258,,,,,,,,,-0.002994,,,,,,,,,0.038925,,,,,,,,,-0.014929,,,,,,,,,0.000000,,,,,,,,,-0.019809,,,,,,,,,0.059665,,,,,,,,,
0.857143,0.011643,,,,,,,,,-0.043440,,,,,,,,,-0.032534,,,,,,,,,-0.002783,,,,,,,,,0.042016,,,,,,,,,-0.013889,,,,,,,,,0.000000,,,,,,,,,-0.019678,,,,,,,,,0.062592,,,,,,,,,
0.904762,0.011751,,,,,,,,,-0.043712,,,,,,,,,-0.036744,,,,,,,,,-0.002713,,,,,,,,,0.029202,,,,,,,,,-0.010708,,,,,,,,,0.000000,,,,,,,,,-0.019587,,,,,,,,,0.061595,,,,,,,,,
0.952381,0.011535,,,,,,,,,-0.043972,,,,,,,,,-0.039812,,,,,,,,,-0.002362,,,,,,,,,0.017519,,,,,,,,,-0.007711,,,,,,,,,0.000000,,,,,,,,,-0.019445,,,,,,,,,0.059964,,,,,,,,,
1.000000,0.018681,,,,,,,,,-0.044517,,,,,,,,,-0.039987,,,,,,,,,-0.000666,,,,,,,,,0.012865,,,,,,,,,-0.006620,,,,,,,,,0.000000,,,,,,,,,-0.019304,,,,,,,,,0.057872,,,,,,,,,
0.000000,,0.010667,,,,,,,,,-0.044861,,,,,,,,,-0.035513,,,,,,,,,-0.001520,,,,,,,,,0.006138,,,,,,,,,-0.004225,,,,,,,,,0.000000,,,,,,,,,-0.019773,,,,,,,,,0.057567,,,,,,,,
0.012821,,-0.000346,,,,,,,,,-0.044095,,,,,,,,,-0.033180,,,,,,,,,0.017989,,,,,,,,,-0.006374,,,,,,,,,0.011557,,,,,,,,,0.000000,,,,,,,,,-0.032427,,,,,,,,,0.059588,,,,,,,,
0.025641,,-0.006288,,,,,,,,,-0.044152,,,,,,,,,-0.032899,,,,,,,,,0.037429,,,,,,,,,-0.019564,,,,,,,,,0.026482,,,,,,,,,0.000000,,,,,,,,,-0.032481,,,,,,,,,0.058526,,,,,,,,
0.051282,,-0.020411,,,,,,,,,-0.041105,,,,,,,,,-0.027622,,,,,,,,,0.038692,,,,,,,,,-0.011575,,,,,,,,,0.027460,,,,,,,,,0.000000,,,,,,,,,-0.045725,,,,,,,,,0.051454,,,,,,,,
0.064103,,-0.027064,,,,,,,,,-0.041194,,,,,,,,,-0.026564,,,,,,,,,0.040026,,,,,,,,,-0.012328,,,,,,,,,0.029846,,,,,,,,,0.000000,,,,,,,,,-0.045753,,,,,,,,,0.050239,,,,,,,,
0.076923,,-0.027854,,,,,,,,,-0.041249,,,,,,,,,-0.026183,,,,,,,,,0.041710,,,,,,,,,-0.016549,,,,,,,,,0.032109,,,,,,,,,0.000000,,,,,,,,,-0.045789,,,,,,,,,0.049588,,,,,,,,
0.089744,,-0.026447,,,,,,,,,-0.029350,,,,,,,,,-0.011655,,,,,,,,,0.036814,,,,,,,,,-0.024556,,,,,,,,,0.027997,,,,,,,,,0.000000,,,,,,,,,-0.020139,,,,,,,,,0.014372,,,,,,,,
