Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.000000,-0.640670,,,,,,-0.789707,,,,,,-0.140449,,,,,,0.012023,,,,,,0.036874,,,,,,0.133168,,,,,,0.000000,,,,,,-0.735219,,,,,,0.684720,,,,,,
0.100000,-0.525291,,,,,,-0.716970,,,,,,0.193805,,,,,,0.308079,,,,,,-0.516636,,,,,,0.449270,,,,,,0.000000,,,,,,-0.739446,,,,,,0.446055,,,,,,
0.200000,-0.424479,,,,,,-0.671173,,,,,,0.544895,,,,,,0.614434,,,,,,-1.070145,,,,,,0.748736,,,,,,0.000000,,,,,,-0.742027,,,,,,0.214792,,,,,,
0.300000,-0.256311,,,,,,-0.551210,,,,,,0.992183,,,,,,0.928512,,,,,,-1.595123,,,,,,1.031564,,,,,,0.000000,,,,,,-0.453746,,,,,,-0.253937,,,,,,
0.500000,-0.125335,,,,,,-0.486372,,,,,,1.387475,,,,,,1.250312,,,,,,-2.051626,,,,,,1.281118,,,,,,0.000000,,,,,,-0.458258,,,,,,-0.480744,,,,,,
0.600000,0.007811,,,,,,-0.410253,,,,,,1.789369,,,,,,1.574688,,,,,,-2.485303,,,,,,1.522354,,,,,,0.000000,,,,,,-0.464467,,,,,,-0.739305,,,,,,
0.700000,0.236908,,,,,,-0.230842,,,,,,2.127792,,,,,,1.906786,,,,,,-2.873330,,,,,,1.730316,,,,,,0.000000,,,,,,-0.186051,,,,,,-1.000970,,,,,,
0.800000,0.367000,,,,,,-0.151381,,,,,,2.511426,,,,,,2.195120,,,,,,-3.438252,,,,,,2.054737,,,,,,0.000000,,,,,,-0.192518,,,,,,-1.280914,,,,,,
0.900000,0.658206,,,,,,0.019194,,,,,,3.293385,,,,,,2.798818,,,,,,-4.499621,,,,,,2.659907,,,,,,0.000000,,,,,,-0.132038,,,,,,-1.910117,,,,,,
1.000000,0.833828,,,,,,0.234496,,,,,,3.197193,,,,,,2.189971,,,,,,-3.249945,,,,,,1.979871,,,,,,0.000000,,,,,,0.359663,,,,,,-1.920706,,,,,,
1.100000,0.985581,,,,,,0.471362,,,,,,2.757035,,,,,,1.863021,,,,,,-2.416828,,,,,,1.480762,,,,,,0.000000,,,,,,0.641757,,,,,,-1.929259,,,,,,
1.200000,1.033485,,,,,,0.649297,,,,,,2.218584,,,,,,1.556667,,,,,,-1.595123,,,,,,1.156341,,,,,,0.000000,,,,,,0.631826,,,,,,-1.647958,,,,,,
1.300000,1.121640,,,,,,0.871800,,,,,,1.730347,,,,,,1.247738,,,,,,-0.881838,,,,,,0.906787,,,,,,0.000000,,,,,,0.914801,,,,,,-1.601871,,,,,,
1.500000,1.250698,,,,,,1.110686,,,,,,1.288794,,,,,,0.902767,,,,,,-0.140021,,,,,,0.474226,,,,,,0.000000,,,,,,1.198343,,,,,,-1.551692,,,,,,
1.600000,1.155581,,,,,,1.096535,,,,,,0.841748,,,,,,0.609285,,,,,,0.407782,,,,,,0.282901,,,,,,0.000000,,,,,,0.919576,,,,,,-1.225756,,,,,,
1.700000,1.310625,,,,,,1.323465,,,,,,0.404485,,,,,,0.367291,,,,,,1.121068,,,,,,-0.024883,,,,,,0.000000,,,,,,1.204463,,,,,,-1.108764,,,,,,
1.800000,1.274278,,,,,,1.397480,,,,,,-0.085534,,,,,,0.048064,,,,,,1.988423,,,,,,-0.557266,,,,,,0.000000,,,,,,1.209271,,,,,,-0.852662,,,,,,
1.900000,1.264951,,,,,,1.454156,,,,,,-0.912827,,,,,,0.021355,,,,,,2.350058,,,,,,-0.793303,,,,,,0.000000,,,,,,0.825413,,,,,,-0.558065,,,,,,
2.000000,1.175424,,,,,,1.267373,,,,,,-1.097099,,,,,,-0.013722,,,,,,2.382156,,,,,,-0.923279,,,,,,0.000000,,,,,,0.371417,,,,,,-0.160751,,,,,,
2.100000,0.949173,,,,,,0.982180,,,,,,-0.974934,,,,,,-0.024019,,,,,,2.085430,,,,,,-0.898324,,,,,,0.000000,,,,,,0.091536,,,,,,-0.013446,,,,,,
2.200000,0.703837,,,,,,0.706207,,,,,,-0.901273,,,,,,-0.036891,,,,,,1.840059,,,,,,-0.914961,,,,,,0.000000,,,,,,-0.188194,,,,,,0.214349,,,,,,
2.300000,0.415352,,,,,,0.404850,,,,,,-0.865988,,,,,,-0.016296,,,,,,1.543333,,,,,,-0.740273,,,,,,0.000000,,,,,,-0.467178,,,,,,0.458694,,,,,,
2.500000,0.259671,,,,,,0.248330,,,,,,-0.764756,,,,,,-0.052338,,,,,,1.389263,,,,,,-0.748591,,,,,,0.000000,,,,,,-0.467590,,,,,,0.432791,,,,,,
2.600000,-0.045816,,,,,,-0.048641,,,,,,-0.727362,,,,,,-0.098677,,,,,,1.263725,,,,,,-0.765228,,,,,,0.000000,,,,,,-0.747156,,,,,,0.616974,,,,,,
2.700000,-0.169109,,,,,,-0.197996,,,,,,-0.631835,,,,,,-0.078082,,,,,,0.961292,,,,,,-0.590540,,,,,,0.000000,,,,,,-0.745776,,,,,,0.708907,,,,,,
2.800000,-0.394104,,,,,,-0.375143,,,,,,-0.495404,,,,,,-0.054912,,,,,,0.670271,,,,,,-0.407533,,,,,,0.000000,,,,,,-0.744074,,,,,,0.788087,,,,,,
0.000000,,-0.819736,,,,,,-0.712143,,,,,,-0.113138,,,,,,-0.010504,,,,,,0.013335,,,,,,0.114451,,,,,,0.000000,,,,,,-0.745070,,,,,,0.819443,,,,,
0.100000,,-0.834249,,,,,,-0.686027,,,,,,0.589934,,,,,,-0.011147,,,,,,0.002636,,,,,,0.133168,,,,,,0.000000,,,,,,-0.749156,,,,,,0.671399,,,,,
0.200000,,-0.705060,,,,,,-0.611883,,,,,,0.931786,,,,,,0.341547,,,,,,-0.431041,,,,,,0.765373,,,,,,0.000000,,,,,,-0.755295,,,,,,0.382012,,,,,
0.300000,,-0.554608,,,,,,-0.528133,,,,,,1.311918,,,,,,0.691666,,,,,,-0.876131,,,,,,1.389259,,,,,,0.000000,,,,,,-0.457235,,,,,,0.041930,,,,,
0.400000,,-0.335595,,,,,,-0.381580,,,,,,1.706737,,,,,,1.041785,,,,,,-1.304103,,,,,,2.013145,,,,,,0.000000,,,,,,-0.171105,,,,,,-0.329403,,,,,
0.600000,,-0.151528,,,,,,-0.283558,,,,,,2.115817,,,,,,1.397054,,,,,,-1.692130,,,,,,2.645349,,,,,,0.000000,,,,,,0.125262,,,,,,-0.675037,,,,,
0.700000,,0.087841,,,,,,-0.114823,,,,,,2.407999,,,,,,1.760045,,,,,,-2.040213,,,,,,3.269235,,,,,,0.000000,,,,,,0.406162,,,,,,-1.066078,,,,,
0.800000,,0.285065,,,,,,-0.005238,,,,,,2.752545,,,,,,1.886191,,,,,,-2.108689,,,,,,2.645349,,,,,,0.000000,,,,,,0.701973,,,,,,-1.405976,,,,,
0.900000,,0.570402,,,,,,0.197832,,,,,,3.033086,,,,,,2.241459,,,,,,-2.548072,,,,,,3.285872,,,,,,0.000000,,,,,,0.979804,,,,,,-1.681438,,,,,
1.000000,,1.065131,,,,,,0.516275,,,,,,2.851576,,,,,,2.946525,,,,,,-3.170770,,,,,,4.241458,,,,,,0.000000,,,,,,1.513799,,,,,,-2.094647,,,,,
1.100000,,1.258680,,,,,,0.741224,,,,,,2.465876,,,,,,3.011207,,,,,,-2.987456,,,,,,4.051173,,,,,,0.000000,,,,,,1.824973,,,,,,-1.823619,,,,,
1.200000,,1.371308,,,,,,0.967829,,,,,,1.927551,,,,,,2.697129,,,,,,-2.376884,,,,,,3.319146,,,,,,0.000000,,,,,,1.805372,,,,,,-1.600292,,,,,
1.300000,,1.444952,,,,,,1.132041,,,,,,1.403552,,,,,,2.352159,,,,,,-2.000269,,,,,,2.736853,,,,,,0.000000,,,,,,1.798513,,,,,,-1.353157,,,,,
