Clock Time (s),Elapsed Time (s),ax,ay,az,gx,gy,gz,mr,mtheta,mphi,
71977.4,0.0,-0.22,-0.32,0.88,0.01,0.02,-0.03,43.037016625226244,0.4006703856338944,2.268816985238589,
71977.5,0.10000000000582077,-0.22,-0.33,0.91,-0.00,0.03,-0.01,42.03430979568952,0.395069541966349,2.2328474310055992,
71977.6,0.20000000001164153,-0.22,-0.32,0.90,-0.00,-0.00,0.01,43.05074447672189,0.40111911842887493,2.2658244556035823,
71977.7,0.3000000000029104,-0.21,-0.33,0.90,-0.00,0.01,0.00,43.6499450171475,0.3629436488417914,2.2810226684259294,
71977.8,0.40000000000873115,-0.22,-0.32,0.90,-0.00,0.02,0.01,41.935313281290746,0.3858476059771254,2.234688671689533,
71977.9,0.5,-0.22,-0.32,0.90,0.01,0.02,-0.00,42.506643010240175,0.38964294825170853,2.2630233411883927,
71978.1,0.7000000000116415,-0.23,-0.32,0.90,-0.00,0.03,-0.01,43.177569408200824,0.3825121689399544,2.2597719000862395,
71978.2,0.8000000000029104,-0.21,-0.32,0.90,0.01,-0.01,-0.02,42.840179738185036,0.3799936442911198,2.2769650693340595,
71978.3,0.9000000000087311,-0.23,-0.33,0.89,-0.00,0.03,-0.00,42.416315257221484,0.3908070770339086,2.2638704768113533,
71978.4,1.0,-0.23,-0.33,0.90,-0.02,-0.03,0.01,41.404358466229134,0.39701189656592595,2.3017266122972093,
71978.5,1.1000000000058208,-0.22,-0.33,0.90,-0.01,-0.02,0.01,41.83273000892961,0.3975705542580442,2.266759334636262,
71978.6,1.2000000000116415,-0.22,-0.32,0.90,0.00,0.03,-0.01,42.64112686128264,0.4168663057227073,2.260411347767067,
71978.7,1.3000000000029104,-0.22,-0.32,0.90,0.01,0.03,-0.01,41.76674873628542,0.3792858732432151,2.270581029974677,
71978.8,1.4000000000087311,-0.22,-0.32,0.89,0.01,0.02,-0.01,42.41608303462261,0.4006047372868784,2.2471349320822105,
71978.9,1.5,-0.22,-0.33,0.90,-0.00,0.03,-0.01,41.82127449038348,0.3621806229541283,2.2732372058979604,
71979.1,1.7000000000116415,-0.22,-0.32,0.90,-0.01,-0.01,0.00,40.68500829543973,0.3982182850790048,2.30140351455471,
71979.2,1.8000000000029104,-0.21,-0.33,0.90,-0.00,0.02,-0.00,42.51546189329242,0.4116955176798696,2.288169966985029,
71979.3,1.9000000000087311,-0.22,-0.32,0.90,-0.00,-0.00,-0.00,41.365911086303896,0.394667881999508,2.2867503997123837,
71979.4,2.0,-0.22,-0.32,0.90,-0.00,-0.01,0.00,41.66665813333246,0.4024428115891483,2.2594783303669987,
