Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,
0.235294,,0.043950,,,,,,,,,,,0.024010,,,,,,,,,,,0.051325,,,,,,,,,,,0.095898,,,,,,,,,,,-0.069568,,,,,,,,,,,-0.037381,,,,,,,,,,,0.000000,,,,,,,,,,,0.024125,,,,,,,,,,,-0.079032,,,,,,,,,,
0.254902,,0.048666,,,,,,,,,,,0.033443,,,,,,,,,,,0.032253,,,,,,,,,,,0.080762,,,,,,,,,,,-0.058028,,,,,,,,,,,-0.036446,,,,,,,,,,,0.000000,,,,,,,,,,,0.034732,,,,,,,,,,,-0.075204,,,,,,,,,,
0.274510,,0.053251,,,,,,,,,,,0.042513,,,,,,,,,,,0.012388,,,,,,,,,,,0.066589,,,,,,,,,,,-0.049908,,,,,,,,,,,-0.035200,,,,,,,,,,,0.000000,,,,,,,,,,,0.045386,,,,,,,,,,,-0.069959,,,,,,,,,,
0.294118,,0.051778,,,,,,,,,,,0.044822,,,,,,,,,,,0.004813,,,,,,,,,,,0.051934,,,,,,,,,,,-0.041359,,,,,,,,,,,-0.033642,,,,,,,,,,,0.000000,,,,,,,,,,,0.045239,,,,,,,,,,,-0.061247,,,,,,,,,,
0.333333,,0.053116,,,,,,,,,,,0.049056,,,,,,,,,,,-0.000009,,,,,,,,,,,0.036798,,,,,,,,,,,-0.035376,,,,,,,,,,,-0.033954,,,,,,,,,,,0.000000,,,,,,,,,,,0.055982,,,,,,,,,,,-0.056751,,,,,,,,,,
0.352941,,0.051881,,,,,,,,,,,0.050272,,,,,,,,,,,-0.002953,,,,,,,,,,,0.021565,,,,,,,,,,,-0.031743,,,,,,,,,,,-0.035200,,,,,,,,,,,0.000000,,,,,,,,,,,0.055921,,,,,,,,,,,-0.053014,,,,,,,,,,
0.372549,,0.055343,,,,,,,,,,,0.054614,,,,,,,,,,,-0.015929,,,,,,,,,,,0.006139,,,,,,,,,,,-0.030888,,,,,,,,,,,-0.036446,,,,,,,,,,,0.000000,,,,,,,,,,,0.055942,,,,,,,,,,,-0.056207,,,,,,,,,,
0.392157,,0.061137,,,,,,,,,,,0.062698,,,,,,,,,,,-0.029768,,,,,,,,,,,0.003343,,,,,,,,,,,-0.028110,,,,,,,,,,,-0.030527,,,,,,,,,,,0.000000,,,,,,,,,,,0.066644,,,,,,,,,,,-0.053056,,,,,,,,,,
0.411765,,0.068780,,,,,,,,,,,0.071336,,,,,,,,,,,-0.047489,,,,,,,,,,,0.000040,,,,,,,,,,,-0.022580,,,,,,,,,,,-0.023401,,,,,,,,,,,0.000000,,,,,,,,,,,0.066701,,,,,,,,,,,-0.056410,,,,,,,,,,
0.431373,,0.067219,,,,,,,,,,,0.071493,,,,,,,,,,,-0.043533,,,,,,,,,,,-0.001092,,,,,,,,,,,-0.026400,,,,,,,,,,,-0.017443,,,,,,,,,,,0.000000,,,,,,,,,,,0.066701,,,,,,,,,,,-0.053597,,,,,,,,,,
