Samples per Trial
2
Column,Signature Length,Signature...
1,1,
Time,aclx (mu), aclx (sigma),acly (mu), acly (sigma),aclz (mu), aclz (sigma),gyrx (mu), gyrx (sigma),gyry (mu), gyry (sigma),gyrz (mu), gyrz (sigma),magr (mu), magr (sigma),magphi (mu), magphi (sigma),magtheta (mu), magtheta (sigma),
0.000000,-3.941570,6.464140,-3.898375,6.380769,-0.567930,1.187542,-0.140067,1.367885,-0.137155,0.808205,1.008035,2.735367,0.000000,0.000000,-3.614008,5.913519,4.444237,7.283824,
0.500000,3.541914,5.802476,4.151114,6.784026,-3.212043,5.255933,-0.259344,1.179632,0.486365,1.834042,-0.196577,2.501342,0.000000,0.000000,3.532964,5.781715,-1.868168,3.191187,
