Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.000000,-0.023993,,,,,,-0.029575,,,,,,-0.005260,,,,,,0.000450,,,,,,0.001381,,,,,,0.004987,,,,,,0.000000,,,,,,-0.027534,,,,,,0.025643,,,,,,
0.035714,-0.019672,,,,,,-0.026851,,,,,,0.007258,,,,,,0.011538,,,,,,-0.019348,,,,,,0.016825,,,,,,0.000000,,,,,,-0.027692,,,,,,0.016705,,,,,,
0.071429,-0.015897,,,,,,-0.025136,,,,,,0.020406,,,,,,0.023011,,,,,,-0.040077,,,,,,0.028040,,,,,,0.000000,,,,,,-0.027789,,,,,,0.008044,,,,,,
0.107143,-0.009599,,,,,,-0.020643,,,,,,0.037158,,,,,,0.034773,,,,,,-0.059738,,,,,,0.038632,,,,,,0.000000,,,,,,-0.016993,,,,,,-0.009510,,,,,,
0.178571,-0.004694,,,,,,-0.018215,,,,,,0.051961,,,,,,0.046825,,,,,,-0.076834,,,,,,0.047978,,,,,,0.000000,,,,,,-0.017162,,,,,,-0.018004,,,,,,
0.214286,0.000293,,,,,,-0.015364,,,,,,0.067012,,,,,,0.058973,,,,,,-0.093075,,,,,,0.057013,,,,,,0.000000,,,,,,-0.017394,,,,,,-0.027687,,,,,,
0.250000,0.008872,,,,,,-0.008645,,,,,,0.079686,,,,,,0.071410,,,,,,-0.107607,,,,,,0.064801,,,,,,0.000000,,,,,,-0.006968,,,,,,-0.037487,,,,,,
0.285714,0.013744,,,,,,-0.005669,,,,,,0.094054,,,,,,0.082208,,,,,,-0.128764,,,,,,0.076951,,,,,,0.000000,,,,,,-0.007210,,,,,,-0.047971,,,,,,
0.321429,0.024650,,,,,,0.000719,,,,,,0.123338,,,,,,0.104817,,,,,,-0.168512,,,,,,0.099614,,,,,,0.000000,,,,,,-0.004945,,,,,,-0.071534,,,,,,
0.357143,0.031227,,,,,,0.008782,,,,,,0.119736,,,,,,0.082015,,,,,,-0.121711,,,,,,0.074147,,,,,,0.000000,,,,,,0.013469,,,,,,-0.071931,,,,,,
0.392857,0.036910,,,,,,0.017653,,,,,,0.103252,,,,,,0.069771,,,,,,-0.090511,,,,,,0.055455,,,,,,0.000000,,,,,,0.024034,,,,,,-0.072251,,,,,,
0.428571,0.038704,,,,,,0.024316,,,,,,0.083087,,,,,,0.058298,,,,,,-0.059738,,,,,,0.043305,,,,,,0.000000,,,,,,0.023662,,,,,,-0.061717,,,,,,
0.464286,0.042006,,,,,,0.032649,,,,,,0.064802,,,,,,0.046728,,,,,,-0.033025,,,,,,0.033959,,,,,,0.000000,,,,,,0.034260,,,,,,-0.059991,,,,,,
0.535714,0.046839,,,,,,0.041596,,,,,,0.048266,,,,,,0.033809,,,,,,-0.005244,,,,,,0.017760,,,,,,0.000000,,,,,,0.044878,,,,,,-0.058111,,,,,,
0.571429,0.043277,,,,,,0.041066,,,,,,0.031524,,,,,,0.022818,,,,,,0.015272,,,,,,0.010595,,,,,,0.000000,,,,,,0.034438,,,,,,-0.045905,,,,,,
0.607143,0.049083,,,,,,0.049564,,,,,,0.015148,,,,,,0.013755,,,,,,0.041984,,,,,,-0.000932,,,,,,0.000000,,,,,,0.045107,,,,,,-0.041524,,,,,,
0.642857,0.047722,,,,,,0.052336,,,,,,-0.003203,,,,,,0.001800,,,,,,0.074467,,,,,,-0.020870,,,,,,0.000000,,,,,,0.045288,,,,,,-0.031932,,,,,,
0.678571,0.047373,,,,,,0.054459,,,,,,-0.034186,,,,,,0.000800,,,,,,0.088010,,,,,,-0.029709,,,,,,0.000000,,,,,,0.030912,,,,,,-0.020900,,,,,,
0.714286,0.044020,,,,,,0.047463,,,,,,-0.041087,,,,,,-0.000514,,,,,,0.089212,,,,,,-0.034577,,,,,,0.000000,,,,,,0.013910,,,,,,-0.006020,,,,,,
0.750000,0.035547,,,,,,0.036783,,,,,,-0.036512,,,,,,-0.000900,,,,,,0.078100,,,,,,-0.033642,,,,,,0.000000,,,,,,0.003428,,,,,,-0.000504,,,,,,
0.785714,0.026359,,,,,,0.026448,,,,,,-0.033753,,,,,,-0.001382,,,,,,0.068911,,,,,,-0.034266,,,,,,0.000000,,,,,,-0.007048,,,,,,0.008027,,,,,,
0.821429,0.015555,,,,,,0.015162,,,,,,-0.032432,,,,,,-0.000610,,,,,,0.057798,,,,,,-0.027723,,,,,,0.000000,,,,,,-0.017496,,,,,,0.017178,,,,,,
0.892857,0.009725,,,,,,0.009300,,,,,,-0.028640,,,,,,-0.001960,,,,,,0.052028,,,,,,-0.028035,,,,,,0.000000,,,,,,-0.017511,,,,,,0.016208,,,,,,
0.928571,-0.001716,,,,,,-0.001822,,,,,,-0.027240,,,,,,-0.003695,,,,,,0.047327,,,,,,-0.028658,,,,,,0.000000,,,,,,-0.027981,,,,,,0.023106,,,,,,
0.964286,-0.006333,,,,,,-0.007415,,,,,,-0.023662,,,,,,-0.002924,,,,,,0.036001,,,,,,-0.022116,,,,,,0.000000,,,,,,-0.027930,,,,,,0.026549,,,,,,
1.000000,-0.014759,,,,,,-0.014049,,,,,,-0.018553,,,,,,-0.002056,,,,,,0.025102,,,,,,-0.015262,,,,,,0.000000,,,,,,-0.027866,,,,,,0.029514,,,,,,
0.000000,,-0.030699,,,,,,-0.026670,,,,,,-0.004237,,,,,,-0.000393,,,,,,0.000499,,,,,,0.004286,,,,,,0.000000,,,,,,-0.027903,,,,,,0.030688,,,,,
0.020408,,-0.031243,,,,,,-0.025692,,,,,,0.022093,,,,,,-0.000417,,,,,,0.000099,,,,,,0.004987,,,,,,0.000000,,,,,,-0.028056,,,,,,0.025144,,,,,
0.040816,,-0.026405,,,,,,-0.022915,,,,,,0.034896,,,,,,0.012791,,,,,,-0.016143,,,,,,0.028663,,,,,,0.000000,,,,,,-0.028286,,,,,,0.014306,,,,,
0.061224,,-0.020770,,,,,,-0.019779,,,,,,0.049132,,,,,,0.025903,,,,,,-0.032811,,,,,,0.052028,,,,,,0.000000,,,,,,-0.017124,,,,,,0.001570,,,,,
0.081633,,-0.012568,,,,,,-0.014290,,,,,,0.063918,,,,,,0.039015,,,,,,-0.048839,,,,,,0.075393,,,,,,0.000000,,,,,,-0.006408,,,,,,-0.012336,,,,,
0.122449,,-0.005675,,,,,,-0.010619,,,,,,0.079238,,,,,,0.052320,,,,,,-0.063371,,,,,,0.099069,,,,,,0.000000,,,,,,0.004691,,,,,,-0.025280,,,,,
0.142857,,0.003290,,,,,,-0.004300,,,,,,0.090180,,,,,,0.065914,,,,,,-0.076407,,,,,,0.122434,,,,,,0.000000,,,,,,0.015211,,,,,,-0.039925,,,,,
0.163265,,0.010676,,,,,,-0.000196,,,,,,0.103084,,,,,,0.070638,,,,,,-0.078971,,,,,,0.099069,,,,,,0.000000,,,,,,0.026289,,,,,,-0.052654,,,,,
0.183673,,0.021362,,,,,,0.007409,,,,,,0.113590,,,,,,0.083943,,,,,,-0.095426,,,,,,0.123057,,,,,,0.000000,,,,,,0.036694,,,,,,-0.062970,,,,,
0.204082,,0.039889,,,,,,0.019335,,,,,,0.106792,,,,,,0.110348,,,,,,-0.118746,,,,,,0.158844,,,,,,0.000000,,,,,,0.056692,,,,,,-0.078445,,,,,
0.224490,,0.047138,,,,,,0.027759,,,,,,0.092348,,,,,,0.112771,,,,,,-0.111881,,,,,,0.151718,,,,,,0.000000,,,,,,0.068346,,,,,,-0.068295,,,,,
0.244898,,0.051356,,,,,,0.036245,,,,,,0.072187,,,,,,0.101008,,,,,,-0.089015,,,,,,0.124303,,,,,,0.000000,,,,,,0.067612,,,,,,-0.059931,,,,,
0.265306,,0.054114,,,,,,0.042395,,,,,,0.052563,,,,,,0.088089,,,,,,-0.074911,,,,,,0.102496,,,,,,0.000000,,,,,,0.067355,,,,,,-0.050676,,,,,
0.285714,,0.059093,,,,,,0.050296,,,,,,0.028976,,,,,,0.074591,,,,,,-0.057815,,,,,,0.078820,,,,,,0.000000,,,,,,0.066686,,,,,,-0.044294,,,,,
0.326531,,0.060732,,,,,,0.055544,,,,,,0.011176,,,,,,0.062058,,,,,,-0.036872,,,,,,0.051094,,,,,,0.000000,,,,,,0.066625,,,,,,-0.034901,,,,,
0.346939,,0.065382,,,,,,0.063063,,,,,,-0.010452,,,,,,0.056562,,,,,,-0.035590,,,,,,0.073835,,,,,,0.000000,,,,,,0.065981,,,,,,-0.028342,,,,,
