Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.000000,-1.711698,,,,,,-1.481714,,,,,,-0.576093,,,,,,-0.850752,,,,,,0.184384,,,,,,-0.247850,,,,,,0.000000,,,,,,-1.099230,,,,,,1.305266,,,,,,
0.026316,-1.535123,,,,,,-1.382135,,,,,,-0.341402,,,,,,-0.518459,,,,,,-0.088253,,,,,,0.040451,,,,,,0.000000,,,,,,-1.105264,,,,,,1.047927,,,,,,
0.052632,-1.380842,,,,,,-1.319438,,,,,,-0.094890,,,,,,-0.174607,,,,,,-0.360890,,,,,,0.313579,,,,,,0.000000,,,,,,-1.108948,,,,,,0.798569,,,,,,
0.078947,-1.123480,,,,,,-1.155205,,,,,,0.219165,,,,,,0.177913,,,,,,-0.619474,,,,,,0.571533,,,,,,0.000000,,,,,,-0.697406,,,,,,0.293165,,,,,,
0.131579,-0.923036,,,,,,-1.066441,,,,,,0.496713,,,,,,0.539102,,,,,,-0.844329,,,,,,0.799139,,,,,,0.000000,,,,,,-0.703848,,,,,,0.048612,,,,,,
0.157895,-0.719272,,,,,,-0.962232,,,,,,0.778896,,,,,,0.903180,,,,,,-1.057942,,,,,,1.019159,,,,,,0.000000,,,,,,-0.712712,,,,,,-0.230179,,,,,,
0.184211,-0.368665,,,,,,-0.716613,,,,,,1.016513,,,,,,1.275927,,,,,,-1.249069,,,,,,1.208831,,,,,,0.000000,,,,,,-0.315253,,,,,,-0.512318,,,,,,
0.210526,-0.169574,,,,,,-0.607829,,,,,,1.285875,,,,,,1.599552,,,,,,-1.527327,,,,,,1.504719,,,,,,0.000000,,,,,,-0.324487,,,,,,-0.814165,,,,,,
0.236842,0.276083,,,,,,-0.374306,,,,,,1.834914,,,,,,2.277142,,,,,,-2.050116,,,,,,2.056664,,,,,,0.000000,,,,,,-0.238147,,,,,,-1.492599,,,,,,
0.263158,0.544853,,,,,,-0.079552,,,,,,1.767374,,,,,,1.593773,,,,,,-1.434574,,,,,,1.436437,,,,,,0.000000,,,,,,0.463790,,,,,,-1.504017,,,,,,
0.289474,0.777092,,,,,,0.244723,,,,,,1.458325,,,,,,1.226805,,,,,,-1.024213,,,,,,0.981224,,,,,,0.000000,,,,,,0.866499,,,,,,-1.513239,,,,,,
0.315789,0.850404,,,,,,0.488321,,,,,,1.080261,,,,,,0.882954,,,,,,-0.619474,,,,,,0.685336,,,,,,0.000000,,,,,,0.852322,,,,,,-1.209929,,,,,,
0.342105,0.985315,,,,,,0.792934,,,,,,0.737454,,,,,,0.536213,,,,,,-0.268137,,,,,,0.457730,,,,,,0.000000,,,,,,1.256288,,,,,,-1.160235,,,,,,
0.394737,1.182824,,,,,,1.119975,,,,,,0.427425,,,,,,0.149018,,,,,,0.097253,,,,,,0.063212,,,,,,0.000000,,,,,,1.661064,,,,,,-1.106130,,,,,,
0.421053,1.037257,,,,,,1.100603,,,,,,0.113540,,,,,,-0.180386,,,,,,0.367079,,,,,,-0.111286,,,,,,0.000000,,,,,,1.263105,,,,,,-0.754692,,,,,,
0.447368,1.274535,,,,,,1.411276,,,,,,-0.193477,,,,,,-0.452000,,,,,,0.718416,,,,,,-0.392001,,,,,,0.000000,,,,,,1.669800,,,,,,-0.628546,,,,,,
0.473684,1.218910,,,,,,1.512605,,,,,,-0.537535,,,,,,-0.810299,,,,,,1.145641,,,,,,-0.877561,,,,,,0.000000,,,,,,1.676664,,,,,,-0.352406,,,,,,
0.500000,1.204637,,,,,,1.590195,,,,,,-1.118404,,,,,,-0.840278,,,,,,1.323768,,,,,,-1.092839,,,,,,0.000000,,,,,,1.128680,,,,,,-0.034758,,,,,,
0.555556,1.067625,,,,,,1.334484,,,,,,-1.247787,,,,,,-0.879647,,,,,,1.339578,,,,,,-1.211384,,,,,,0.000000,,,,,,0.480570,,,,,,0.393643,,,,,,
