Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,
0.000000,-0.071006,,,,,,,-0.024671,,,,,,,-0.022520,,,,,,,0.000942,,,,,,,-0.007184,,,,,,,0.008681,,,,,,,0.000000,,,,,,,-0.030227,,,,,,,0.029608,,,,,,,
0.016667,-0.064561,,,,,,,-0.024033,,,,,,,-0.016190,,,,,,,0.001006,,,,,,,-0.007022,,,,,,,0.009033,,,,,,,0.000000,,,,,,,-0.030270,,,,,,,0.020713,,,,,,,
0.033333,-0.054028,,,,,,,-0.021578,,,,,,,-0.007601,,,,,,,0.010294,,,,,,,-0.013844,,,,,,,-0.001280,,,,,,,0.000000,,,,,,,-0.030449,,,,,,,0.013013,,,,,,,
0.050000,-0.043953,,,,,,,-0.020148,,,,,,,0.000400,,,,,,,0.020178,,,,,,,-0.021642,,,,,,,-0.007843,,,,,,,0.000000,,,,,,,-0.030477,,,,,,,0.006392,,,,,,,
0.066667,-0.032622,,,,,,,-0.018019,,,,,,,0.007901,,,,,,,0.030147,,,,,,,-0.028790,,,,,,,-0.014405,,,,,,,0.000000,,,,,,,-0.030528,,,,,,,0.000181,,,,,,,
0.100000,-0.022628,,,,,,,-0.016260,,,,,,,0.016482,,,,,,,0.039775,,,,,,,-0.034963,,,,,,,-0.022218,,,,,,,0.000000,,,,,,,-0.030618,,,,,,,-0.007212,,,,,,,
0.116667,-0.011423,,,,,,,-0.011752,,,,,,,0.027058,,,,,,,0.048977,,,,,,,-0.039186,,,,,,,-0.031593,,,,,,,0.000000,,,,,,,-0.018471,,,,,,,-0.017524,,,,,,,
0.133333,-0.004817,,,,,,,-0.006200,,,,,,,0.032394,,,,,,,0.058179,,,,,,,-0.043735,,,,,,,-0.041593,,,,,,,0.000000,,,,,,,-0.018587,,,,,,,-0.025192,,,,,,,
0.150000,0.006048,,,,,,,-0.004010,,,,,,,0.041448,,,,,,,0.067296,,,,,,,-0.048608,,,,,,,-0.051906,,,,,,,0.000000,,,,,,,-0.018737,,,,,,,-0.033203,,,,,,,
0.166667,0.021853,,,,,,,0.004657,,,,,,,0.053431,,,,,,,0.085775,,,,,,,-0.060548,,,,,,,-0.071477,,,,,,,0.000000,,,,,,,-0.003995,,,,,,,-0.041492,,,,,,,
0.183333,0.022225,,,,,,,0.003659,,,,,,,0.053972,,,,,,,0.085616,,,,,,,-0.060629,,,,,,,-0.072844,,,,,,,0.000000,,,,,,,-0.007063,,,,,,,-0.041534,,,,,,,
0.200000,0.024623,,,,,,,0.013290,,,,,,,0.051864,,,,,,,0.077436,,,,,,,-0.053482,,,,,,,-0.071906,,,,,,,0.000000,,,,,,,0.004711,,,,,,,-0.044328,,,,,,,
0.216667,0.024369,,,,,,,0.022327,,,,,,,0.050200,,,,,,,0.069171,,,,,,,-0.045359,,,,,,,-0.070656,,,,,,,0.000000,,,,,,,0.016526,,,,,,,-0.046267,,,,,,,
0.233333,0.027174,,,,,,,0.031606,,,,,,,0.047895,,,,,,,0.061247,,,,,,,-0.038212,,,,,,,-0.067531,,,,,,,0.000000,,,,,,,0.028385,,,,,,,-0.048129,,,,,,,
0.266667,0.028584,,,,,,,0.038284,,,,,,,0.042619,,,,,,,0.053749,,,,,,,-0.033013,,,,,,,-0.062531,,,,,,,0.000000,,,,,,,0.027934,,,,,,,-0.046116,,,,,,,
0.283333,0.034282,,,,,,,0.043613,,,,,,,0.043518,,,,,,,0.046080,,,,,,,-0.027490,,,,,,,-0.056281,,,,,,,0.000000,,,,,,,0.039800,,,,,,,-0.047622,,,,,,,
0.300000,0.034867,,,,,,,0.052527,,,,,,,0.040228,,,,,,,0.038412,,,,,,,-0.020667,,,,,,,-0.050031,,,,,,,0.000000,,,,,,,0.051711,,,,,,,-0.048170,,,,,,,
0.316667,0.035727,,,,,,,0.057268,,,,,,,0.036314,,,,,,,0.030914,,,,,,,-0.014169,,,,,,,-0.044093,,,,,,,0.000000,,,,,,,0.051684,,,,,,,-0.048635,,,,,,,
0.333333,0.039623,,,,,,,0.074429,,,,,,,0.028993,,,,,,,0.015417,,,,,,,0.003781,,,,,,,-0.031046,,,,,,,0.000000,,,,,,,0.075504,,,,,,,-0.051036,,,,,,,
0.344828,0.042170,,,,,,,0.074274,,,,,,,0.027441,,,,,,,0.014639,,,,,,,0.012797,,,,,,,-0.026280,,,,,,,0.000000,,,,,,,0.075514,,,,,,,-0.052366,,,,,,,
0.356322,0.044456,,,,,,,0.073979,,,,,,,0.026086,,,,,,,0.010209,,,,,,,0.017995,,,,,,,-0.021280,,,,,,,0.000000,,,,,,,0.075473,,,,,,,-0.051994,,,,,,,
0.367816,0.044743,,,,,,,0.073782,,,,,,,0.024515,,,,,,,0.006204,,,,,,,0.013122,,,,,,,-0.015030,,,,,,,0.000000,,,,,,,0.075421,,,,,,,-0.051661,,,,,,,
0.379310,0.041317,,,,,,,0.071127,,,,,,,0.024987,,,,,,,0.002114,,,,,,,0.008573,,,,,,,-0.009405,,,,,,,0.000000,,,,,,,0.075708,,,,,,,-0.051682,,,,,,,
0.402299,0.040758,,,,,,,0.071054,,,,,,,0.023289,,,,,,,-0.001805,,,,,,,0.004675,,,,,,,-0.005030,,,,,,,0.000000,,,,,,,0.075688,,,,,,,-0.050986,,,,,,,
0.413793,0.039792,,,,,,,0.070809,,,,,,,0.022576,,,,,,,-0.005810,,,,,,,0.001101,,,,,,,-0.000968,,,,,,,0.000000,,,,,,,0.075666,,,,,,,-0.050541,,,,,,,
0.425287,0.037677,,,,,,,0.068198,,,,,,,0.023020,,,,,,,-0.009985,,,,,,,0.000451,,,,,,,0.003095,,,,,,,0.000000,,,,,,,0.063430,,,,,,,-0.051535,,,,,,,
0.436782,0.037084,,,,,,,0.067907,,,,,,,0.022183,,,,,,,-0.013905,,,,,,,-0.001823,,,,,,,0.006220,,,,,,,0.000000,,,,,,,0.063465,,,,,,,-0.049814,,,,,,,
0.448276,0.031027,,,,,,,0.062558,,,,,,,0.020789,,,,,,,-0.022638,,,,,,,-0.000605,,,,,,,0.016064,,,,,,,0.000000,,,,,,,0.048518,,,,,,,-0.045988,,,,,,,
0.459770,0.008037,,,,,,,0.044333,,,,,,,0.025097,,,,,,,-0.024811,,,,,,,0.009548,,,,,,,0.021845,,,,,,,0.000000,,,,,,,0.027946,,,,,,,-0.035284,,,,,,,
0.471264,-0.001507,,,,,,,0.033786,,,,,,,0.025882,,,,,,,-0.028390,,,,,,,0.009873,,,,,,,0.023095,,,,,,,0.000000,,,,,,,0.016259,,,,,,,-0.028642,,,,,,,
0.482759,-0.006960,,,,,,,0.024972,,,,,,,0.022911,,,,,,,-0.030094,,,,,,,0.008249,,,,,,,0.024658,,,,,,,0.000000,,,,,,,0.004418,,,,,,,-0.019504,,,,,,,
0.494253,-0.013102,,,,,,,0.013484,,,,,,,0.019697,,,,,,,-0.030179,,,,,,,0.008573,,,,,,,0.026533,,,,,,,0.000000,,,,,,,-0.007259,,,,,,,-0.012982,,,,,,,
0.517241,-0.019697,,,,,,,0.002727,,,,,,,0.019793,,,,,,,-0.029497,,,,,,,0.010198,,,,,,,0.027783,,,,,,,0.000000,,,,,,,-0.018925,,,,,,,-0.006486,,,,,,,
0.528736,-0.025252,,,,,,,-0.005964,,,,,,,0.015940,,,,,,,-0.035973,,,,,,,0.008573,,,,,,,0.027471,,,,,,,0.000000,,,,,,,-0.018240,,,,,,,0.005518,,,,,,,
0.540230,-0.032998,,,,,,,-0.016918,,,,,,,0.016014,,,,,,,-0.042449,,,,,,,-0.000849,,,,,,,0.027158,,,,,,,0.000000,,,,,,,-0.029934,,,,,,,0.012245,,,,,,,
0.551724,-0.038519,,,,,,,-0.024715,,,,,,,0.011169,,,,,,,-0.045601,,,,,,,-0.018068,,,,,,,0.026221,,,,,,,0.000000,,,,,,,-0.029647,,,,,,,0.018478,,,,,,,
0.563218,-0.032573,,,,,,,-0.028746,,,,,,,-0.003592,,,,,,,-0.050053,,,,,,,-0.044466,,,,,,,0.024150,,,,,,,0.000000,,,,,,,-0.029283,,,,,,,0.026066,,,,,,,
0.574713,-0.030749,,,,,,,-0.030350,,,,,,,-0.008132,,,,,,,-0.050628,,,,,,,-0.045684,,,,,,,0.024970,,,,,,,0.000000,,,,,,,-0.029059,,,,,,,0.032983,,,,,,,
0.586207,-0.030404,,,,,,,-0.031267,,,,,,,-0.014008,,,,,,,-0.046368,,,,,,,-0.038861,,,,,,,0.022470,,,,,,,0.000000,,,,,,,-0.029024,,,,,,,0.033819,,,,,,,
0.597701,-0.032320,,,,,,,-0.031728,,,,,,,-0.018154,,,,,,,-0.043727,,,,,,,-0.035612,,,,,,,0.020283,,,,,,,0.000000,,,,,,,-0.028930,,,,,,,0.037159,,,,,,,
0.609195,-0.032047,,,,,,,-0.032905,,,,,,,-0.025813,,,,,,,-0.041852,,,,,,,-0.034313,,,,,,,0.018720,,,,,,,0.000000,,,,,,,-0.028870,,,,,,,0.040076,,,,,,,
0.632184,-0.032790,,,,,,,-0.033539,,,,,,,-0.030945,,,,,,,-0.032480,,,,,,,-0.031714,,,,,,,0.020283,,,,,,,0.000000,,,,,,,-0.028928,,,,,,,0.040443,,,,,,,
0.643678,-0.033009,,,,,,,-0.034446,,,,,,,-0.038224,,,,,,,-0.023107,,,,,,,-0.023266,,,,,,,0.021845,,,,,,,0.000000,,,,,,,-0.028829,,,,,,,0.043312,,,,,,,
0.655172,-0.033487,,,,,,,-0.034724,,,,,,,-0.039963,,,,,,,-0.016205,,,,,,,-0.015144,,,,,,,0.019658,,,,,,,0.000000,,,,,,,-0.028761,,,,,,,0.046066,,,,,,,
0.666667,-0.033828,,,,,,,-0.034556,,,,,,,-0.040002,,,,,,,-0.009730,,,,,,,-0.008321,,,,,,,0.017158,,,,,,,0.000000,,,,,,,-0.028785,,,,,,,0.045609,,,,,,,
0.000000,,-0.030399,,,,,,,-0.035208,,,,,,,-0.051676,,,,,,,0.000271,,,,,,,0.005609,,,,,,,0.001298,,,,,,,0.000000,,,,,,,-0.028724,,,,,,,0.043076,,,,,,
0.016667,,-0.031293,,,,,,,-0.031480,,,,,,,-0.039438,,,,,,,0.000666,,,,,,,0.002400,,,,,,,0.003408,,,,,,,0.000000,,,,,,,-0.029492,,,,,,,0.026146,,,,,,
0.033333,,-0.028964,,,,,,,-0.024242,,,,,,,-0.027842,,,,,,,0.013020,,,,,,,-0.000524,,,,,,,0.003095,,,,,,,0.000000,,,,,,,-0.030092,,,,,,,0.014767,,,,,,
0.050000,,-0.027792,,,,,,,-0.016497,,,,,,,-0.015399,,,,,,,0.025205,,,,,,,-0.004747,,,,,,,0.003095,,,,,,,0.000000,,,,,,,-0.018183,,,,,,,0.003356,,,,,,
0.066667,,-0.024836,,,,,,,-0.009691,,,,,,,-0.003007,,,,,,,0.037474,,,,,,,-0.009946,,,,,,,0.003408,,,,,,,0.000000,,,,,,,-0.018827,,,,,,,-0.007623,,,,,,
0.100000,,-0.020648,,,,,,,-0.002324,,,,,,,0.009287,,,,,,,0.049659,,,,,,,-0.016119,,,,,,,0.003408,,,,,,,0.000000,,,,,,,-0.019551,,,,,,,-0.018782,,,,,,
0.116667,,-0.014585,,,,,,,0.006692,,,,,,,0.019404,,,,,,,0.061843,,,,,,,-0.022292,,,,,,,0.003095,,,,,,,0.000000,,,,,,,-0.007760,,,,,,,-0.026552,,,,,,
0.133333,,-0.009740,,,,,,,0.014272,,,,,,,0.032036,,,,,,,0.073176,,,,,,,-0.022617,,,,,,,-0.001593,,,,,,,0.000000,,,,,,,-0.008482,,,,,,,-0.037673,,,,,,
0.150000,,-0.004958,,,,,,,0.021212,,,,,,,0.043287,,,,,,,0.085190,,,,,,,-0.026840,,,,,,,-0.003155,,,,,,,0.000000,,,,,,,-0.009044,,,,,,,-0.046978,,,,,,
0.166667,,0.005761,,,,,,,0.035559,,,,,,,0.053569,,,,,,,0.107918,,,,,,,-0.028018,,,,,,,-0.012413,,,,,,,0.000000,,,,,,,0.007288,,,,,,,-0.048849,,,,,,
0.183333,,0.010380,,,,,,,0.040557,,,,,,,0.047504,,,,,,,0.108366,,,,,,,-0.026840,,,,,,,-0.010968,,,,,,,0.000000,,,,,,,0.002424,,,,,,,-0.050079,,,,,,
0.200000,,0.015631,,,,,,,0.045198,,,,,,,0.046073,,,,,,,0.095329,,,,,,,-0.030414,,,,,,,-0.009718,,,,,,,0.000000,,,,,,,0.002025,,,,,,,-0.050028,,,,,,
0.216667,,0.019439,,,,,,,0.050873,,,,,,,0.044113,,,,,,,0.082293,,,,,,,-0.033663,,,,,,,-0.008155,,,,,,,0.000000,,,,,,,0.014243,,,,,,,-0.049462,,,,,,
0.233333,,0.022597,,,,,,,0.055959,,,,,,,0.042278,,,,,,,0.069427,,,,,,,-0.036262,,,,,,,-0.005655,,,,,,,0.000000,,,,,,,0.026530,,,,,,,-0.048879,,,,,,
0.266667,,0.025692,,,,,,,0.058823,,,,,,,0.041517,,,,,,,0.056731,,,,,,,-0.037562,,,,,,,-0.003468,,,,,,,0.000000,,,,,,,0.026476,,,,,,,-0.050410,,,,,,
0.283333,,0.028727,,,,,,,0.063716,,,,,,,0.038949,,,,,,,0.044206,,,,,,,-0.039186,,,,,,,-0.000342,,,,,,,0.000000,,,,,,,0.038756,,,,,,,-0.049292,,,,,,
0.300000,,0.032060,,,,,,,0.069125,,,,,,,0.037538,,,,,,,0.031766,,,,,,,-0.039511,,,,,,,0.002783,,,,,,,0.000000,,,,,,,0.050920,,,,,,,-0.049604,,,,,,
0.316667,,0.034934,,,,,,,0.071325,,,,,,,0.037502,,,,,,,0.019496,,,,,,,-0.045034,,,,,,,0.007783,,,,,,,0.000000,,,,,,,0.050916,,,,,,,-0.051130,,,,,,
0.333333,,0.036043,,,,,,,0.075848,,,,,,,0.041121,,,,,,,-0.006822,,,,,,,-0.046659,,,,,,,0.009033,,,,,,,0.000000,,,,,,,0.075540,,,,,,,-0.049444,,,,,,
