Clock Time (s),Elapsed Time (s),ax,ay,az,gx,gy,gz,mr,mtheta,mphi,
71197.6,0.0,-0.10,-0.45,0.86,-0.00,-0.00,-0.01,38.39632274059588,0.6465970741338338,2.1420377359958165,
71197.7,0.09999999999126885,-0.14,-0.48,0.86,-0.00,0.01,-0.01,38.801543783720774,0.6317862143600643,2.12712464410149,
71197.8,0.19999999999708962,-0.11,-0.48,0.84,0.00,0.01,-0.02,38.40773099260095,0.6787242200959094,2.130745419851631,
71197.9,0.29999999998835847,-0.11,-0.46,0.86,-0.01,-0.01,0.00,38.34446244244402,0.6271532908872263,2.121954267928196,
71198.1,0.5,-0.11,-0.46,0.86,0.00,0.00,0.05,37.425774541083314,0.7043399572932143,2.108867941304154,
71198.2,0.5999999999912689,-0.11,-0.45,0.85,-0.00,0.03,0.04,38.20184550515852,0.6772064438420561,2.1019402923773143,
71198.3,0.6999999999970896,-0.12,-0.46,0.84,-0.00,0.05,0.02,40.27054630868571,0.6939186653229328,2.11908160062009,
71198.4,0.7999999999883585,-0.12,-0.46,0.85,0.01,0.00,0.05,38.18050811605315,0.6762505174519993,2.092271695241093,
71198.5,0.8999999999941792,-0.19,-0.47,0.88,0.00,0.06,0.02,40.00079749205008,0.6905052990442679,2.1170498944164255,
71198.6,1.0,-0.12,-0.47,0.87,-0.00,0.04,0.03,37.975322250113955,0.6746932845959854,2.1005585453742377,
71198.7,1.0999999999912689,-0.10,-0.41,0.90,-0.01,0.04,0.03,38.99267880000039,0.6770271324270285,2.109375478460213,
71198.8,1.1999999999970896,-0.11,-0.46,0.85,-0.01,0.03,0.04,38.045723807019364,0.6892466479450572,2.1221530243200197,
71198.9,1.2999999999883585,-0.12,-0.47,0.86,-0.01,0.03,0.04,38.33078397319836,0.6961870398175718,2.1197252745815827,
71199.1,1.5,-0.20,-0.45,0.76,0.01,-0.07,0.04,37.83816195324503,0.6293929176723732,2.131760186097555,
71199.2,1.5999999999912689,-0.20,-0.46,0.77,-0.01,-0.09,0.04,37.24243010331093,0.5996465217327717,2.148238650185243,
71199.3,1.6999999999970896,-0.14,-0.46,0.87,-0.01,-0.10,0.06,39.12947993520997,0.6271762819002062,2.174077110674077,
71199.4,1.7999999999883585,-0.16,-0.44,0.85,-0.01,-0.11,0.10,37.297112488770495,0.6079733169963002,2.148243444757862,
71199.5,1.8999999999941792,-0.18,-0.44,0.75,0.05,-0.06,0.06,37.91514736882873,0.5992996237936219,2.1165398629516208,
71199.6,2.0,-0.18,-0.47,0.80,-0.03,-0.05,0.17,37.55618058322757,0.63975200009603,2.1478805066844546,
71199.7,2.099999999991269,-0.18,-0.47,0.80,-0.04,-0.02,0.20,37.78422157462027,0.6361973326678175,2.1562908716204108,
71199.8,2.1999999999970896,-0.19,-0.44,0.75,-0.03,0.01,0.22,38.03941245603039,0.6322028717724602,2.1654337404852524,
71199.9,2.2999999999883585,-0.15,-0.50,0.79,0.03,-0.06,0.04,38.206063654870285,0.6423882120102521,2.1318923476915144,
71200.1,2.5,-0.15,-0.52,0.89,-0.02,0.18,0.06,38.54211851987382,0.6819906482733453,2.126421929531367,
71200.2,2.599999999991269,-0.15,-0.52,0.87,-0.02,0.14,0.07,38.78198164096312,0.6210775089782337,2.1577960342152442,
71200.3,2.6999999999970896,-0.13,-0.51,0.84,-0.01,0.03,0.11,38.75631819458603,0.6563418833988802,2.1217823010537797,
71200.4,2.7999999999883585,-0.11,-0.42,0.95,-0.02,-0.05,0.12,39.47810279129432,0.5867767133476683,2.107046520014171,
