Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,
0.000000,-1.775143,,,,,,,,-0.616774,,,,,,,,-0.563010,,,,,,,,0.023561,,,,,,,,-0.179601,,,,,,,,0.217028,,,,,,,,0.000000,,,,,,,,-0.755668,,,,,,,,0.740202,,,,,,,,
0.100000,-1.614029,,,,,,,,-0.600831,,,,,,,,-0.404738,,,,,,,,0.025159,,,,,,,,-0.175540,,,,,,,,0.225817,,,,,,,,0.000000,,,,,,,,-0.756759,,,,,,,,0.517821,,,,,,,,
0.200000,-1.350699,,,,,,,,-0.539456,,,,,,,,-0.190013,,,,,,,,0.257345,,,,,,,,-0.346110,,,,,,,,-0.032000,,,,,,,,0.000000,,,,,,,,-0.761235,,,,,,,,0.325331,,,,,,,,
0.300000,-1.098815,,,,,,,,-0.503699,,,,,,,,0.010007,,,,,,,,0.504442,,,,,,,,-0.541048,,,,,,,,-0.196066,,,,,,,,0.000000,,,,,,,,-0.761930,,,,,,,,0.159797,,,,,,,,
0.400000,-0.815556,,,,,,,,-0.450473,,,,,,,,0.197522,,,,,,,,0.753669,,,,,,,,-0.719740,,,,,,,,-0.360132,,,,,,,,0.000000,,,,,,,,-0.763196,,,,,,,,0.004533,,,,,,,,
0.600000,-0.565704,,,,,,,,-0.406490,,,,,,,,0.412056,,,,,,,,0.994375,,,,,,,,-0.874066,,,,,,,,-0.555448,,,,,,,,0.000000,,,,,,,,-0.765452,,,,,,,,-0.180301,,,,,,,,
0.700000,-0.285576,,,,,,,,-0.293802,,,,,,,,0.676446,,,,,,,,1.224431,,,,,,,,-0.979657,,,,,,,,-0.789827,,,,,,,,0.000000,,,,,,,,-0.461784,,,,,,,,-0.438093,,,,,,,,
0.800000,-0.120436,,,,,,,,-0.154996,,,,,,,,0.809857,,,,,,,,1.454486,,,,,,,,-1.093371,,,,,,,,-1.039832,,,,,,,,0.000000,,,,,,,,-0.464671,,,,,,,,-0.629806,,,,,,,,
0.900000,0.151194,,,,,,,,-0.100259,,,,,,,,1.036203,,,,,,,,1.682412,,,,,,,,-1.215207,,,,,,,,-1.297650,,,,,,,,0.000000,,,,,,,,-0.468416,,,,,,,,-0.830085,,,,,,,,
1.000000,0.546318,,,,,,,,0.116436,,,,,,,,1.335787,,,,,,,,2.144387,,,,,,,,-1.513705,,,,,,,,-1.786917,,,,,,,,0.000000,,,,,,,,-0.099877,,,,,,,,-1.037303,,,,,,,,
1.100000,0.555627,,,,,,,,0.091484,,,,,,,,1.349302,,,,,,,,2.140393,,,,,,,,-1.515735,,,,,,,,-1.821097,,,,,,,,0.000000,,,,,,,,-0.176565,,,,,,,,-1.038345,,,,,,,,
1.200000,0.615579,,,,,,,,0.332241,,,,,,,,1.296603,,,,,,,,1.935899,,,,,,,,-1.337043,,,,,,,,-1.797659,,,,,,,,0.000000,,,,,,,,0.117775,,,,,,,,-1.108194,,,,,,,,
