time,x,y,z
15:24:12:1,-0.06,-0.06,1.14
15:24:12:1,-0.05,-0.07,1.28
15:24:12:1,-0.05,-0.07,1.21
15:24:12:1,-0.05,-0.06,1.01
15:24:12:1,-0.05,-0.04,0.89
15:24:12:1,-0.03,-0.01,0.83
15:24:12:1,-0.03,0.00,0.81
15:24:12:1,-0.02,0.01,0.79
15:24:12:1,-0.01,0.01,0.86
15:24:12:1,-0.01,0.00,0.87
15:24:12:1,-0.03,-0.00,0.81
15:24:12:1,-0.04,-0.01,0.83
15:24:12:2,-0.02,-0.01,0.88
15:24:12:2,-0.02,-0.01,0.87
15:24:12:2,-0.04,-0.03,0.91
15:24:12:2,-0.06,-0.05,1.06
15:24:12:2,-0.05,-0.07,1.16
15:24:12:2,-0.06,-0.07,1.14
15:24:12:2,-0.05,-0.05,1.03
15:24:12:2,-0.04,-0.03,0.91
15:24:12:2,-0.03,-0.00,0.88
15:24:12:2,-0.03,0.01,0.84
15:24:12:2,-0.03,0.00,0.80
15:24:12:2,-0.03,-0.01,0.84
15:24:12:2,-0.03,-0.01,0.86
15:24:12:2,-0.03,-0.01,0.83
15:24:12:2,-0.03,-0.00,0.82
15:24:12:2,-0.02,0.00,0.86
15:24:12:2,-0.03,-0.01,0.93
15:24:12:2,-0.05,-0.03,1.01
15:24:12:2,-0.05,-0.05,1.08
15:24:12:2,-0.05,-0.06,1.10
15:24:12:3,-0.05,-0.06,1.08
15:24:12:3,-0.04,-0.04,0.96
15:24:12:3,-0.04,-0.02,0.87
15:24:12:3,-0.03,-0.00,0.85
15:24:12:3,-0.03,0.01,0.86
15:24:12:3,-0.02,-0.00,0.86
15:24:12:3,-0.03,-0.01,0.87
15:24:12:3,-0.03,-0.01,0.87
15:24:12:3,-0.03,-0.01,0.85
15:24:12:3,-0.03,-0.01,0.84
15:24:12:3,-0.04,-0.01,0.91
15:24:12:3,-0.04,-0.03,1.02
15:24:12:3,-0.05,-0.05,1.05
15:24:12:3,-0.05,-0.06,1.03
15:24:12:3,-0.05,-0.05,1.02
15:24:12:3,-0.04,-0.03,0.97
15:24:12:3,-0.04,-0.01,0.89
15:24:12:3,-0.03,0.00,0.85
15:24:12:3,-0.02,-0.00,0.84
15:24:12:4,-0.03,-0.01,0.86
15:24:12:4,-0.03,-0.02,0.86
15:24:12:4,-0.03,-0.02,0.85
15:24:12:4,-0.04,-0.01,0.87
15:24:12:4,-0.04,-0.02,0.97
15:24:12:4,-0.04,-0.03,1.03
15:24:12:4,-0.04,-0.05,1.02
15:24:12:4,-0.05,-0.05,1.00
15:24:12:4,-0.05,-0.04,0.97
15:24:12:4,-0.04,-0.02,0.92
15:24:12:4,-0.04,-0.00,0.86
15:24:12:4,-0.03,0.00,0.86
15:24:12:4,-0.02,-0.00,0.87
15:24:12:4,-0.03,-0.01,0.88
15:24:12:4,-0.03,-0.02,0.87
15:24:12:4,-0.04,-0.02,0.91
15:24:12:4,-0.04,-0.03,0.97
15:24:12:4,-0.04,-0.03,0.99
15:24:12:4,-0.04,-0.03,0.98
15:24:12:4,-0.04,-0.04,0.97
15:24:12:4,-0.04,-0.04,0.95
15:24:12:4,-0.04,-0.03,0.91
15:24:12:5,-0.03,-0.01,0.89
15:24:12:5,-0.03,-0.01,0.89
15:24:12:5,-0.03,-0.01,0.89
15:24:12:5,-0.03,-0.02,0.88
15:24:12:5,-0.03,-0.02,0.90
15:24:12:5,-0.04,-0.02,0.92
15:24:12:5,-0.05,-0.03,0.94
15:24:12:5,-0.04,-0.03,0.96
15:24:12:5,-0.04,-0.03,0.97
15:24:12:5,-0.04,-0.03,0.97
15:24:12:5,-0.04,-0.02,0.94
15:24:12:5,-0.04,-0.02,0.91
15:24:12:5,-0.04,-0.01,0.90
15:24:12:5,-0.03,-0.01,0.90
