time,magx,magy,magz,gyrx,gyry,gyrz,accx,accy,accz
7.7,2.48,-26.66,33.97,-0.01,0.01,0,-0.03,-0.02,0.9
7.8,1.99,-27.54,34.97,-0.02,0.01,0,-0.04,-0.02,0.92
7.9,2.94,-26.36,35.97,-0.02,0.01,0,-0.05,-0.03,0.94
8,3.36,-25.83,36.97,-0.01,0,0,-0.04,-0.03,0.96
8.1,2.86,-26,37.97,0,0,0,-0.04,-0.03,0.97
8.2,2.93,-26.06,38.97,0.01,0,0,-0.04,-0.03,0.97
8.3,3.7,-26.52,39.97,0.02,-0.01,0,-0.04,-0.02,0.94
8.4,4.2,-26.77,40.97,0.02,-0.01,0,-0.04,-0.02,0.91
8.5,5.07,-27.2,41.97,0.01,0,0,-0.04,-0.01,0.9
8.6,3.43,-26.66,42.97,0,0,0,-0.03,-0.01,0.9
8.7,2.5,-26.35,43.97,-0.01,0,0,-0.03,-0.01,0.88
8.8,3.75,-26.66,44.97,-0.01,0,0,-0.03,-0.01,0.88
8.9,3.89,-26.69,45.97,-0.02,0.01,0,-0.03,-0.02,0.9
9,4.21,-26.69,46.97,-0.01,0.01,0,-0.04,-0.03,0.94
9.1,4.05,-26.96,47.97,-0.01,0,0,-0.04,-0.02,0.95
9.2,3.7,-27.54,48.97,0,0,0,-0.04,-0.03,0.97
9.3,3.7,-26.55,49.97,0.01,0,0,-0.04,-0.03,0.96
9.4,3.7,-25.83,50.97,0.02,-0.01,0,-0.04,-0.03,0.95
9.5,2.39,-25.4,51.97,0.02,-0.01,0,-0.04,-0.02,0.93
9.6,2.16,-25.32,52.97,0.01,0,0,-0.03,-0.02,0.9
9.7,3.19,-28.4,53.97,0,0,0,-0.03,-0.01,0.89
9.8,3.23,-27.66,54.97,0,0,0,-0.03,-0.01,0.89
9.9,3.36,-25.49,55.97,-0.01,0,0,-0.03,-0.01,0.9
10,3.18,-25.85,56.97,-0.01,0,0,-0.04,-0.02,0.91
10.1,3.02,-26.17,57.97,-0.01,0,0,-0.03,-0.02,0.93
10.2,3.7,-27.95,58.97,0,0,0,-0.04,-0.03,0.95
10.3,3.87,-28.4,59.97,0,0,0,-0.04,-0.03,0.95
10.4,2.85,-27.37,60.97,0.01,0,0,-0.04,-0.03,0.95
10.5,3.05,-27.24,61.97,0.01,0,0,-0.04,-0.02,0.95
10.6,3.87,-26.69,62.97,0.01,0,0,-0.03,-0.03,0.93
10.7,2.83,-26.61,63.97,0.01,0,0,-0.03,-0.02,0.91
10.8,1.65,-26.52,64.97,0,0,0,-0.03,-0.01,0.9
10.9,3.42,-26.77,65.97,0,0,0,-0.03,-0.01,0.9
11,4.04,-26.86,66.97,-0.01,0,0,-0.03,-0.02,0.9
11.1,3.02,-27.54,67.97,-0.01,0,0,-0.03,-0.02,0.91
11.2,3.04,-27.27,68.97,-0.01,0,0,-0.04,-0.02,0.92
11.3,3.19,-25.66,69.97,0,0,0,-0.04,-0.03,0.94
11.4,3.61,-26.8,70.97,0,0,0,-0.04,-0.03,0.94
11.5,4.21,-28.4,71.97,0.01,0,0,-0.04,-0.03,0.95
11.6,3.74,-27.46,72.97,0.01,0,0,-0.04,-0.03,0.94
11.7,3.53,-27.03,73.97,0.01,0,0,-0.04,-0.02,0.93
11.8,2.71,-28.18,74.97,0.01,0,0,-0.03,-0.02,0.91
11.9,2.8,-28.08,75.97,0,0,0,-0.03,-0.02,0.91
12,4.04,-26.52,76.97,0,0,0,-0.03,-0.01,0.91
12.1,3.61,-26.7,77.97,-0.01,0,0,-0.03,-0.02,0.91
12.2,2.85,-27.03,78.97,-0.01,0,0,-0.03,-0.02,0.92
12.3,3.38,-25.85,79.97,-0.01,0,0,-0.04,-0.02,0.92
12.4,3.7,-25.15,80.97,0,0,0,-0.04,-0.02,0.93
12.5,3.55,-27.46,81.97,0,0,0,-0.03,-0.03,0.93
12.6,3.54,-27.64,82.97,0,0,0,-0.04,-0.02,0.94
12.7,3.87,-25.66,83.97,0.01,0,0,-0.03,-0.02,0.93
12.8,3.66,-25.77,84.97,0.01,0,0,-0.04,-0.03,0.93
12.9,3.19,-26,85.97,0.01,0,0,-0.04,-0.02,0.92
13,3.78,-26.6,86.97,0,0,0,-0.04,-0.02,0.92
13.1,4.21,-27.03,87.97,0,0,0,-0.03,-0.02,0.91
13.2,3.7,-27.2,88.97,-0.01,0,0,-0.04,-0.02,0.92
13.3,3.03,-26.7,89.97,-0.01,0,0,-0.04,-0.02,0.92
13.4,2.67,-25.15,90.97,-0.01,0,0,-0.03,-0.02,0.92
13.5,3.65,-25.34,91.97,0,0,0,-0.04,-0.02,0.93
13.6,4.39,-25.49,92.97,0,0,0,-0.04,-0.02,0.93
13.7,3.96,-25.63,93.97,0,0,0,-0.04,-0.02,0.95
13.8,3.87,-25.66,94.97,0,0,0,-0.04,-0.03,0.93
13.9,2.85,-26,95.97,0.01,0,0,-0.04,-0.02,0.92
14,2.85,-26,96.97,0.01,0,0,-0.04,-0.02,0.93
14.1,4.73,-26.86,97.97,0,0,0,-0.04,-0.02,0.92
14.2,4.46,-27.3,98.97,0,0,0,-0.04,-0.02,0.92
14.3,4.21,-27.71,99.97,0,0,0,-0.04,-0.02,0.92
14.4,3.82,-26.26,100.97,0,0,0,-0.03,-0.02,0.92
14.5,3.7,-25.83,101.97,0,0,0,-0.03,-0.02,0.93
14.6,3.87,-26.35,102.97,0,0,0,-0.04,-0.02,0.93
14.7,3.54,-26.21,103.97,0,0,0,-0.04,-0.02,0.93
14.8,2.16,-25.66,104.97,0,0,0,-0.04,-0.02,0.93
14.9,2.32,-25.98,105.97,0,0,0,-0.04,-0.02,0.93
15,2.5,-26.35,106.97,0.01,0,0,-0.04,-0.02,0.92
15.1,2.87,-27.21,107.97,0,0,0,-0.03,-0.02,0.93
15.2,3.02,-27.54,108.97,0,0,0,-0.03,-0.02,0.92
15.3,2.68,-26.2,109.97,0,0,0,-0.04,-0.02,0.92
15.4,2.75,-26.1,110.97,0,0,0,-0.04,-0.02,0.92
15.5,3.19,-25.66,111.97,0,0,0,-0.04,-0.02,0.92
15.6,3.19,-25.66,112.97,0,0,0,-0.04,-0.02,0.92
15.7,4.7,-27.48,113.97,0,0,0,-0.03,-0.02,0.93
15.8,4.87,-27.69,114.97,0,0,0,-0.04,-0.02,0.92
15.9,3.19,-26.35,115.97,0,0,0,-0.04,-0.02,0.93
16,3.04,-26.69,116.97,0,0,0,-0.04,-0.02,0.93
16.1,2.67,-27.54,117.97,0,0,0,-0.04,-0.02,0.93
16.2,3.63,-26.78,118.97,0,0,0,-0.04,-0.02,0.93
16.3,4.39,-26.17,119.97,0,0,0,-0.04,-0.02,0.92
16.4,2.4,-25.33,120.97,0,0,0,-0.04,-0.02,0.92
16.5,1.99,-25.15,121.97,0,0,0,-0.04,-0.02,0.92
16.6,3.19,-27.03,122.97,0,0,0,-0.04,-0.02,0.92
16.7,3.31,-26.83,123.97,0,0,0,-0.04,-0.02,0.92
16.8,3.7,-26.17,124.97,0,0,0,-0.04,-0.02,0.92
16.9,3.53,-26.17,125.97,0,0,0,-0.04,-0.02,0.92
17,3.36,-26.17,126.97,0,0,0,-0.04,-0.02,0.92
17.1,4.15,-26.7,127.97,0,0,0,-0.04,-0.02,0.93
17.2,4.39,-26.86,128.97,0,0,0,-0.04,-0.02,0.92
17.3,2.33,-25.49,129.97,0,0,0,-0.04,-0.02,0.93
17.4,2.57,-25.91,130.97,0,0,0,-0.03,-0.02,0.92
17.5,3.7,-27.89,131.97,0,0,0,-0.04,-0.02,0.93
17.6,4.46,-26.82,132.97,0,0,0,-0.03,-0.02,0.93
17.7,5.41,-25.49,133.97,0,0,0,-0.03,-0.02,0.92
17.8,3.45,-25.74,134.97,0,0,0,-0.03,-0.02,0.92
17.9,2.67,-25.83,135.97,0,0,0,-0.03,-0.02,0.92
18,3.52,-27.01,136.97,0,0,0,-0.04,-0.02,0.92
18.1,3.55,-26.93,137.97,0,0,0,-0.04,-0.02,0.93
18.2,3.7,-26.17,138.97,0,0,0,-0.04,-0.02,0.93
18.3,3.43,-26.04,139.97,0,0,0,-0.04,-0.02,0.93
18.4,3.02,-25.83,140.97,0,0,0,-0.04,-0.03,0.93
18.5,2.79,-26.74,141.97,0,0,0,-0.04,-0.02,0.93
18.6,2.67,-27.2,142.97,0,0,0,-0.04,-0.02,0.93
18.7,3.15,-25.77,143.97,0,0,0,-0.04,-0.02,0.93
18.8,3.15,-25.61,144.97,0,0,0,-0.04,-0.02,0.92
18.9,2.67,-24.81,145.97,0,0,0,-0.04,-0.02,0.91
19,3.02,-25.26,146.97,0,0,0,-0.04,-0.02,0.92
19.1,3.7,-26.17,147.97,0,0,0,-0.04,-0.02,0.92
19.2,2.98,-25.87,148.97,0,0,0,-0.04,-0.02,0.93
19.3,2.5,-25.66,149.97,0,0,0,-0.03,-0.02,0.92
19.4,3.13,-25.39,150.97,0,0,0,-0.04,-0.02,0.93
19.5,3.7,-25.16,151.97,0,0,0,-0.04,-0.03,0.92
19.6,3.19,-26,152.97,0,0,0,-0.04,-0.02,0.93
19.7,2.95,-26.24,153.97,0,0,0,-0.04,-0.02,0.92
19.8,2.33,-26.86,154.97,0,0,0,-0.04,-0.02,0.91
19.9,2.52,-25.92,155.97,0,0,0,-0.04,-0.02,0.92
20,2.67,-25.15,156.97,0,0,0,-0.03,-0.02,0.92
20.1,3.09,-26.69,157.97,0,0,0,-0.04,-0.02,0.92
20.2,3.19,-27.03,158.97,0,0,0,-0.04,-0.02,0.93
20.3,3.19,-26.35,159.97,0,0,0,-0.04,-0.02,0.92
20.4,3,-26.23,160.97,0,0,0,-0.04,-0.02,0.93
20.5,2.33,-25.83,161.97,0,0,0,-0.04,-0.02,0.93
20.6,2.33,-26,162.97,0,0,0,-0.04,-0.03,0.93
20.7,2.33,-26.17,163.97,0,0,0,-0.04,-0.03,0.92
20.8,3.38,-25.92,164.97,0,0,0,-0.04,-0.02,0.92
20.9,3.7,-25.83,165.97,0,0,0,-0.04,-0.02,0.92
21,4.73,-26.52,166.97,0,0,0,-0.04,-0.02,0.92
21.1,4.7,-26.6,167.97,0,0,0,-0.04,-0.03,0.94
21.2,4.56,-27.03,168.97,0,0,0,-0.04,-0.03,0.94
21.3,4.33,-26.21,169.97,0,0,0,-0.04,-0.02,0.93
21.4,4.04,-25.15,170.97,0,0,0,-0.03,-0.02,0.93
21.5,4.04,-24.67,171.97,0,0,0,-0.03,-0.01,0.92
21.6,4.04,-24.46,172.97,0,0,0,-0.03,-0.01,0.9
21.7,3.38,-26.81,173.97,0,0,0,-0.03,-0.01,0.88
21.8,3.32,-26.75,174.97,0,0,0,-0.02,0,0.85
21.9,3.02,-25.83,175.97,0,0,0,-0.05,-0.02,0.85
22,3.08,-26.16,176.97,0,0,0,-0.05,-0.02,0.91
22.1,3.19,-26.69,177.97,0,0,0,-0.04,-0.03,0.98
22.2,3.07,-26.58,178.97,0,0,0,-0.01,-0.04,1.03
22.3,3.02,-26.52,179.97,0,0,0,-0.08,-0.08,1.02
22.4,2.86,-26.36,180.97,0,0,0,-0.06,-0.01,0.97
22.5,2.91,-26.36,181.97,0,0,0,0.04,0.01,0.98
22.6,4.04,-26.52,182.97,0,0,0,-0.15,-0.08,0.91
22.7,3.59,-25.96,183.97,0,0,0,0.04,0.04,0.81
22.8,2.67,-24.81,184.97,0,0,0,0.03,0,0.86
22.9,3.8,-25.52,185.97,0,0,0,-0.09,-0.05,0.86
23,4.56,-26,186.97,0,0,0,-0.03,0,0.83
23.1,2.77,-26.6,187.97,0,0,0,-0.04,-0.01,0.9
23.2,2.51,-26.69,188.97,0,0,0,-0.03,-0.02,0.99
23.3,3.53,-26.35,189.97,0,0,0,-0.02,-0.04,1.03
23.4,3.72,-26.35,190.97,0,0,0,-0.05,-0.06,1.01
23.5,4.21,-26.35,191.97,0,0,0,-0.05,-0.04,0.99
23.6,4.68,-25.88,192.97,0,0,0,-0.05,-0.03,0.95
23.7,5.07,-25.49,193.97,0,0,0,-0.04,-0.01,0.9
23.8,3.82,-26.19,194.97,0,0,0,-0.03,0,0.84
23.9,3.53,-26.35,195.97,0,0,0,-0.02,-0.01,0.85
24,2.16,-25.66,196.97,0,0,0,-0.02,-0.02,0.87
24.1,2.24,-25.96,197.97,0,0,0,-0.03,-0.02,0.89
24.2,2.5,-27.03,198.97,0,0,0,-0.04,-0.02,0.92
24.3,3.26,-27.11,199.97,0,0,0,-0.04,-0.02,0.96
24.4,4.04,-27.2,200.97,0,0,0,-0.05,-0.02,0.99
24.5,3.91,-26.29,201.97,0,0,0,-0.04,-0.03,0.97
24.6,3.87,-26,202.97,0,0,0,-0.03,-0.04,0.95
24.7,3.02,-26.86,203.97,0,0,0,-0.03,-0.04,0.93
24.8,3.02,-26.75,204.97,0,0,0,-0.04,-0.02,0.9
24.9,3.02,-26.17,205.97,0,0,0,-0.04,-0.01,0.88
25,3.02,-26.47,206.97,0,0,0,-0.04,-0.01,0.89
25.1,3.02,-26.86,207.97,0,0,0,-0.03,-0.01,0.9
25.2,3.86,-27.22,208.97,0,0,0,-0.03,-0.01,0.92
25.3,4.21,-27.37,209.97,0,0,0,-0.03,-0.02,0.92
25.4,2.88,-24.71,210.97,0,0,0,-0.04,-0.03,0.92
25.5,2.86,-24.8,211.97,0,0,0,-0.05,-0.03,0.94
25.6,3.06,-26.27,212.97,0,0,0,-0.04,-0.02,0.94
25.7,3.3,-26.74,213.97,0,0,0,-0.04,-0.03,0.94
25.8,3.36,-26.86,214.97,0,0,0,-0.04,-0.03,0.94
25.9,2.69,-26.52,215.97,0,0,0,-0.04,-0.03,0.94
26,2.85,-26.46,216.97,0,0,0,-0.04,-0.02,0.93
26.1,4.21,-26,217.97,0,0,0,-0.03,-0.01,0.92
26.2,3.55,-26.8,218.97,0,0,0,-0.04,-0.01,0.91
26.3,2.5,-28.06,219.97,0,0,0,-0.04,-0.01,0.9
26.4,2.5,-26.94,220.97,0,0,0,-0.03,-0.02,0.9
26.5,2.5,-26.35,221.97,0,0,0,-0.03,-0.02,0.9
26.6,3.93,-26.82,222.97,0,0,0,-0.03,-0.03,0.92
26.7,3.99,-26.85,223.97,0,0,0,-0.04,-0.03,0.95
26.8,3.19,-26.69,224.97,0,0,0,-0.04,-0.03,0.95
26.9,2.96,-26.69,225.97,0,0,0,-0.05,-0.03,0.95
27,2.5,-26.69,226.97,0,0,0,-0.04,-0.03,0.95
27.1,3.74,-26.69,227.97,0,0,0,-0.03,-0.03,0.93
27.2,4.56,-26.69,228.97,0,0,0,-0.04,-0.02,0.92
27.3,3.07,-27.58,229.97,0,0,0,-0.03,-0.01,0.9
27.4,2.85,-27.71,230.97,0,0,0,-0.03,-0.02,0.89
27.5,4.21,-26,231.97,0,0,0,-0.04,-0.02,0.89
27.6,4.59,-25.82,232.97,0,0,0,-0.04,-0.02,0.91
27.7,5.58,-25.32,233.97,0,0,0,-0.04,-0.03,0.93
27.8,4.28,-26.44,234.97,0,0,0,-0.04,-0.03,0.95
27.9,3.19,-27.37,235.97,0,0,0,-0.04,-0.02,0.96
28,3.88,-26.68,236.97,0,0,0,-0.04,-0.03,0.95
28.1,4.04,-26.52,237.97,0,0,0,-0.04,-0.03,0.94
28.2,3.87,-27.03,238.97,0,0,0,-0.04,-0.03,0.92
28.3,3.72,-26.73,239.97,0,0,0,-0.04,-0.02,0.91
28.4,3.19,-25.66,240.97,0,0,0,-0.03,-0.01,0.89
28.5,3.35,-25.83,241.97,0,0,0,-0.03,-0.02,0.9
28.6,3.53,-26,242.97,0,0,0,-0.03,-0.02,0.91
28.7,3.53,-26.52,243.97,0,0,0,-0.04,-0.02,0.92
28.8,3.53,-26.69,244.97,0,0,0,-0.03,-0.03,0.93
28.9,4.04,-26.86,245.97,0,0,0,-0.04,-0.03,0.94
29,4.13,-26.89,246.97,0,0,0,-0.04,-0.03,0.95
29.1,4.56,-27.03,247.97,0,0,0,-0.04,-0.03,0.94
29.2,3.37,-26.73,248.97,0,0,0,-0.04,-0.03,0.93
29.3,1.82,-26.35,249.97,0,0,0,-0.04,-0.03,0.92
29.4,2.06,-26.11,250.97,0,0,0,-0.04,-0.02,0.91
29.5,2.16,-26,251.97,0,0,0,-0.03,-0.02,0.9
29.6,4.5,-28.01,252.97,0,0,0,-0.04,-0.02,0.91
29.7,4.48,-27.91,253.97,0,0,0,-0.03,-0.02,0.92
29.8,3.87,-26.69,254.97,0,0,0,-0.04,-0.02,0.93
29.9,3.68,-26.75,255.97,0,0,0,-0.04,-0.02,0.93
30,3.36,-26.86,256.97,0,0,0,-0.04,-0.03,0.93
30.1,2.8,-26.53,257.97,0,0,0,-0.04,-0.03,0.93
30.2,2.5,-26.35,258.97,0,0,0,-0.04,-0.02,0.93
30.3,2.5,-26.66,259.97,0,0,0,-0.04,-0.03,0.92
30.4,2.5,-26.65,260.97,0,0,0,-0.03,-0.02,0.93
30.5,2.5,-26,261.97,0,0,0,-0.04,-0.02,0.92
30.6,2.95,-26.45,262.97,0,0,0,-0.04,-0.02,0.92
30.7,3.87,-27.37,263.97,0,0,0,-0.04,-0.02,0.91
30.8,3.87,-26.36,264.97,0,0,0,-0.03,-0.02,0.92
30.9,3.87,-25.66,265.97,0,0,0,-0.04,-0.02,0.92
31,3.87,-25.66,266.97,0,0,0,-0.04,-0.02,0.92
31.1,3.87,-25.66,267.97,0,0,0,-0.04,-0.02,0.93
31.2,3.19,-25.66,268.97,0,0,0,-0.04,-0.02,0.93
31.3,3.14,-25.71,269.97,0,0,0,-0.04,-0.03,0.93
31.4,3.02,-25.83,270.97,0,0,0,-0.04,-0.02,0.93
31.5,3.38,-26.39,271.97,0,0,0,-0.03,-0.03,0.93
31.6,3.7,-26.86,272.97,0,0,0,-0.04,-0.02,0.93
31.7,2.46,-25.61,273.97,0,0,0,-0.04,-0.02,0.93
31.8,2.16,-25.32,274.97,0.01,0,0,-0.04,-0.02,0.92
31.9,3.82,-26.32,275.97,0,0,0,-0.04,-0.02,0.92
32,3.73,-26.04,276.97,0,0,0,-0.04,-0.02,0.91
