Time	x	y	z	gx	gy	gz	ax	ay	az
0.006	-16.05	24.06	-30.34	0	0	0	0	0	0
0.021	-15.91	24.2	-29.53	0	0	0	0	0	0
0.037	-16.07	25.55	-31.45	0	0	0	0	0	0
0.065	-16.14	25.68	-31.69	0	0	0	0	0	0
0.08	-17.28	24.54	-31.21	0	0	0	0	0	0
0.098	-16.82	25.1	-30.96	0	0	0	0	0	0
0.115	-15.74	26.42	-30.37	0	0	0	0	0	0
0.124	-16.51	25.66	-30.18	0	0	0	0	0	0
0.138	-17.11	25.05	-30.03	0	0	0	0	0	0
0.156	-16.56	27	-29.76	0	0	0	0	0	0
0.175	-16.43	27.45	-29.7	0	0	0	0	0	0
0.197	-16.43	25.74	-30.37	0	0	0	0	0	0
0.213	-16.69	25.62	-30.41	0	0	0	0	0	0
0.245	-17.63	25.22	-30.54	0	0	0	0	0	0
0.246	-17.13	25.88	-30.86	0	0	0	0	0	0
0.257	-16.6	26.59	-31.21	0	0	0	0	0	0
0.272	-15.21	25.96	-30.59	0	0	0	0	0	0
0.286	-14.72	25.74	-30.37	0	0	0	0	0	0
0.302	-15.91	26.59	-29.87	0	0	0	0	0	0
0.331	-15.84	26.37	-29.99	0	0	0	0	0	0
0.346	-15.4	25.05	-30.7	0	0	0	0	0	0
0.363	-16.02	24.84	-31.04	0	0	0	0	0	0
0.376	-16.94	24.54	-31.54	0	0	0	0	0	0
0.398	-17.39	25.67	-31.1	0	0	0	0	0	0
0.405	-17.63	26.25	-30.87	0	0	0	0	0	0
0.421	-16.69	26.25	-30.56	0	0	0	0	0	0
0.45	-16.61	26.24	-30.55	0	0	0	0	0	0
0.483	-16.77	26.08	-30.7	0	0	0	0	0	0
0.484	-16.44	26.08	-30.27	0	0	0	0	0	0
0.494	-15.74	26.08	-29.36	0	0	0	0	0	0
0.51	-16.14	26.68	-30.15	0	0	0	0	0	0
0.524	-16.43	27.11	-30.7	0	0	0	0	0	0
0.54	-16	25.53	-30.84	0	0	0	0	0	0
0.554	-15.91	25.22	-30.87	0	0	0	0	0	0
