Time	x	y	z	gx	gy	gz	ax	ay	az
17.506	-30.17	-20.05	-23.22	0	0	0	0	0	0
17.536	-30.69	-20.91	-24.06	0	0	0	0	0	0
17.578	-30.65	-20.79	-23.94	0	0	0	0	0	0
17.58	-30.51	-20.4	-23.56	0	0	0	0	0	0
17.581	-31.04	-20.05	-22.87	0	0	0	0	0	0
17.594	-31.54	-19.71	-22.22	0	0	0	0	0	0
17.611	-31.15	-19.58	-23.87	0	0	0	0	0	0
17.625	-31.03	-19.54	-24.39	0	0	0	0	0	0
17.656	-30	-20.91	-23.72	0	0	0	0	0	0
17.682	-30.22	-20.8	-23.4	0	0	0	0	0	0
17.683	-31.37	-20.23	-21.71	0	0	0	0	0	0
17.705	-30.92	-20.68	-22.59	0	0	0	0	0	0
17.711	-30.34	-21.25	-23.72	0	0	0	0	0	0
17.727	-29.99	-21.13	-22.67	0	0	0	0	0	0
17.741	-29.83	-21.08	-22.22	0	0	0	0	0	0
17.757	-29.33	-22.58	-23.68	0	0	0	0	0	0
17.785	-29.5	-22.51	-23.62	0	0	0	0	0	0
17.8	-31.03	-21.59	-22.72	0	0	0	0	0	0
17.819	-31.09	-21.66	-23.15	0	0	0	0	0	0
17.83	-31.2	-21.77	-23.89	0	0	0	0	0	0
17.844	-30.97	-21.3	-24.12	0	0	0	0	0	0
17.859	-30.86	-21.08	-24.23	0	0	0	0	0	0
17.874	-29.12	-22.5	-23.45	0	0	0	0	0	0
17.891	-28.97	-22.62	-23.39	0	0	0	0	0	0
17.917	-31.2	-20.4	-22.89	0	0	0	0	0	0
17.938	-31.14	-20.9	-22.61	0	0	0	0	0	0
17.948	-31.03	-21.94	-22.05	0	0	0	0	0	0
17.962	-29.73	-21.24	-22.54	0	0	0	0	0	0
17.976	-28.8	-20.74	-22.89	0	0	0	0	0	0
17.993	-30.85	-20.16	-22.6	0	0	0	0	0	0
18.008	-31.2	-20.05	-22.55	0	0	0	0	0	0
18.035	-30.86	-21.77	-23.22	0	0	0	0	0	0
18.051	-30.81	-21.43	-23.18	0	0	0	0	0	0
18.073	-30.69	-20.57	-23.05	0	0	0	0	0	0
18.081	-30.78	-20.66	-22.79	0	0	0	0	0	0
18.095	-30.86	-20.74	-22.55	0	0	0	0	0	0
18.11	-31.27	-20.33	-22.42	0	0	0	0	0	0
18.126	-31.37	-20.23	-22.38	0	0	0	0	0	0
18.156	-29.15	-20.05	-22.55	0	0	0	0	0	0
18.172	-29.57	-20.22	-22.78	0	0	0	0	0	0
18.217	-31.37	-20.91	-23.72	0	0	0	0	0	0
18.22	-30.96	-21.99	-23.48	0	0	0	0	0	0
18.221	-30.51	-23.13	-23.22	0	0	0	0	0	0
18.232	-30.14	-22	-23.59	0	0	0	0	0	0
18.245	-30	-21.59	-23.72	0	0	0	0	0	0
18.273	-31.54	-21.42	-23.22	0	0	0	0	0	0
18.32	-31.39	-21.52	-23.32	0	0	0	0	0	0
18.322	-30.51	-22.11	-23.89	0	0	0	0	0	0
18.323	-30.24	-21.41	-23.48	0	0	0	0	0	0
18.341	-29.83	-20.4	-22.89	0	0	0	0	0	0
18.347	-30.79	-20.4	-22.89	0	0	0	0	0	0
18.363	-31.2	-20.4	-22.89	0	0	0	0	0	0
18.379	-30.71	-21.21	-22.41	0	0	0	0	0	0
18.407	-30.61	-21.44	-22.38	0	0	0	0	0	0
18.421	-30	-22.96	-22.38	0	0	0	0	0	0
18.452	-30.79	-22.42	-22.21	0	0	0	0	0	0
18.453	-32.23	-21.42	-21.88	0	0	0	0	0	0
18.47	-31.28	-21.11	-22.19	0	0	0	0	0	0
18.5	-30.69	-20.91	-22.38	0	0	0	0	0	0
18.501	-30.99	-21.52	-21.18	0	0	0	0	0	0
18.525	-31.02	-21.61	-21.08	0	0	0	0	0	0
18.54	-30.86	-22.45	-22.89	0	0	0	0	0	0
18.554	-30.75	-22.45	-22.58	0	0	0	0	0	0
18.587	-30.51	-22.45	-21.88	0	0	0	0	0	0
18.588	-30.42	-21.95	-21.78	0	0	0	0	0	0
18.606	-30.34	-21.59	-21.71	0	0	0	0	0	0
18.618	-30.2	-22.02	-20.46	0	0	0	0	0	0
18.631	-30.17	-22.11	-20.21	0	0	0	0	0	0
18.659	-30.69	-21.25	-22.05	0	0	0	0	0	0
18.687	-30.73	-21.29	-22.09	0	0	0	0	0	0
18.688	-30.86	-21.42	-22.22	0	0	0	0	0	0
18.707	-31.03	-21.25	-21.71	0	0	0	0	0	0
18.718	-31.2	-21.08	-21.21	0	0	0	0	0	0
18.736	-31.86	-21.74	-22.11	0	0	0	0	0	0
18.748	-32.05	-21.94	-22.38	0	0	0	0	0	0
18.776	-30.69	-21.94	-23.72	0	0	0	0	0	0
18.792	-30.84	-21.91	-23.52	0	0	0	0	0	0
18.805	-31.54	-21.77	-22.55	0	0	0	0	0	0
18.82	-31.24	-21.46	-21.81	0	0	0	0	0	0
