time,x,y,z
11:16:19:2,-0.03,-0.05,0.14
11:16:19:2,-0.02,-0.03,0.09
11:16:19:2,-0.00,-0.01,0.05
11:16:19:2,0.02,0.01,0.01
11:16:19:2,0.04,0.04,-0.02
11:16:19:2,0.05,0.06,-0.05
11:16:19:2,0.05,0.08,-0.08
11:16:19:2,0.05,0.09,-0.10
11:16:19:3,0.04,0.11,-0.12
11:16:19:3,0.03,0.11,-0.13
11:16:19:3,0.03,0.12,-0.14
11:16:19:3,0.03,0.12,-0.14
11:16:19:3,0.04,0.12,-0.13
11:16:19:3,0.04,0.12,-0.12
11:16:19:3,0.05,0.12,-0.10
11:16:19:3,0.05,0.12,-0.07
11:16:19:3,0.05,0.12,-0.05
11:16:19:3,0.04,0.11,-0.02
11:16:19:3,0.03,0.10,0.00
11:16:19:3,0.01,0.08,0.03
11:16:19:3,0.01,0.06,0.05
11:16:19:3,-0.00,0.04,0.06
11:16:19:3,-0.01,0.02,0.07
11:16:19:3,-0.01,-0.01,0.08
11:16:19:3,-0.02,-0.03,0.07
11:16:19:3,-0.02,-0.05,0.07
11:16:19:3,-0.03,-0.06,0.05
11:16:19:3,-0.03,-0.07,0.04
11:16:19:4,-0.03,-0.08,0.02
11:16:19:4,-0.03,-0.07,0.01
11:16:19:4,-0.03,-0.07,-0.01
11:16:19:4,-0.03,-0.06,-0.03
11:16:19:4,-0.03,-0.05,-0.04
11:16:19:4,-0.02,-0.04,-0.05
11:16:19:4,-0.02,-0.02,-0.06
11:16:19:4,-0.02,-0.01,-0.06
11:16:19:4,-0.02,0.00,-0.06
11:16:19:4,-0.01,0.01,-0.06
11:16:19:4,-0.01,0.03,-0.05
11:16:19:4,-0.01,0.03,-0.04
11:16:19:4,0.00,0.04,-0.03
11:16:19:4,0.01,0.04,-0.02
11:16:19:4,0.01,0.04,-0.00
11:16:19:4,0.01,0.04,0.01
11:16:19:4,0.02,0.04,0.02
11:16:19:4,0.02,0.05,0.03
11:16:19:4,0.02,0.05,0.04
11:16:19:4,0.02,0.04,0.05
11:16:19:5,0.02,0.04,0.05
11:16:19:5,0.01,0.03,0.05
11:16:19:5,0.01,0.03,0.05
11:16:19:5,0.01,0.02,0.06
11:16:19:5,0.00,0.01,0.05
11:16:19:5,-0.00,0.00,0.05
11:16:19:5,-0.00,-0.01,0.04
11:16:19:5,-0.01,-0.02,0.04
11:16:19:5,-0.01,-0.02,0.03
11:16:19:5,-0.01,-0.03,0.03
11:16:19:5,-0.00,-0.03,0.03
11:16:19:5,-0.00,-0.04,0.03
11:16:19:5,-0.00,-0.04,0.03
11:16:19:5,-0.00,-0.04,0.02
11:16:19:5,0.00,-0.04,0.02
11:16:19:5,0.00,-0.04,0.02
11:16:19:5,-0.00,-0.05,0.02
11:16:19:6,-0.00,-0.05,0.02
11:16:19:6,-0.01,-0.05,0.02
11:16:19:6,-0.02,-0.05,0.02
11:16:19:6,-0.02,-0.05,0.02
11:16:19:6,-0.03,-0.04,0.02
11:16:19:6,-0.03,-0.04,0.02
11:16:19:6,-0.03,-0.04,0.02
11:16:19:6,-0.03,-0.04,0.01
11:16:19:6,-0.03,-0.04,0.01
11:16:19:6,-0.03,-0.04,0.01
11:16:19:6,-0.03,-0.03,0.01
11:16:19:6,-0.02,-0.02,0.01
11:16:19:6,-0.02,-0.02,0.01
11:16:19:6,-0.02,-0.02,0.00
11:16:19:6,-0.01,-0.02,-0.00
11:16:19:6,-0.01,-0.02,-0.00
11:16:19:6,-0.01,-0.02,-0.01
11:16:19:6,-0.01,-0.02,-0.01
11:16:19:6,-0.02,-0.02,-0.02
11:16:19:6,-0.02,-0.02,-0.02
11:16:19:6,-0.03,-0.02,-0.02
11:16:19:6,-0.03,-0.02,-0.02
11:16:19:6,-0.03,-0.02,-0.02
11:16:19:6,-0.03,-0.02,-0.02
11:16:19:7,-0.03,-0.01,-0.02
11:16:19:7,-0.02,-0.01,-0.02
11:16:19:7,-0.02,-0.00,-0.02
11:16:19:7,-0.02,0.00,-0.02
11:16:19:7,-0.01,0.01,-0.02
11:16:19:7,-0.01,0.01,-0.01
11:16:19:7,-0.01,0.01,-0.01
11:16:19:7,-0.01,0.02,-0.01
11:16:19:7,-0.00,0.02,-0.00
11:16:19:7,-0.00,0.02,-0.00
11:16:19:7,-0.01,0.03,-0.00
11:16:19:7,-0.01,0.03,-0.00
11:16:19:7,-0.01,0.03,-0.01
11:16:19:7,-0.01,0.03,-0.01
11:16:19:7,-0.01,0.04,-0.01
11:16:19:7,-0.01,0.04,-0.01
11:16:19:7,-0.01,0.05,-0.02
11:16:19:7,-0.01,0.05,-0.02
11:16:19:7,-0.02,0.05,-0.03
11:16:19:7,-0.02,0.05,-0.03
11:16:19:8,-0.02,0.04,-0.04
11:16:19:8,-0.02,0.04,-0.04
11:16:19:8,-0.03,0.03,-0.05
11:16:19:8,-0.03,0.03,-0.05
11:16:19:8,-0.03,0.02,-0.05
11:16:19:8,-0.03,0.01,-0.05
11:16:19:8,-0.03,0.01,-0.04
11:16:19:8,-0.02,0.00,-0.04
11:16:19:8,-0.02,-0.00,-0.04
11:16:19:8,-0.02,-0.01,-0.03
11:16:19:8,-0.02,-0.01,-0.02
11:16:19:8,-0.02,-0.02,-0.02
11:16:19:8,-0.02,-0.02,-0.01
11:16:19:8,-0.02,-0.03,-0.00
11:16:19:8,-0.01,-0.03,0.00
11:16:19:8,-0.01,-0.03,0.01
11:16:19:8,-0.01,-0.03,0.01
11:16:19:8,-0.00,-0.03,0.01
11:16:19:8,0.00,-0.02,0.02
11:16:19:8,0.01,-0.01,0.01
11:16:19:9,0.02,-0.00,0.01
11:16:19:9,0.02,0.01,0.01
11:16:19:9,0.02,0.02,0.01
11:16:19:9,0.03,0.02,0.00
11:16:19:9,0.03,0.03,-0.00
11:16:19:9,0.03,0.03,-0.01
11:16:19:9,0.03,0.02,-0.01
11:16:19:9,0.03,0.02,-0.02
11:16:19:9,0.02,0.01,-0.02
11:16:19:9,0.06,0.03,-0.01
11:16:19:9,0.19,0.11,0.04
11:16:19:9,0.28,0.17,0.11
11:16:19:9,0.25,0.20,0.15
11:16:19:9,0.13,0.20,0.16
11:16:19:9,0.00,0.19,0.15
11:16:19:9,-0.09,0.18,0.13
11:16:19:9,-0.12,0.15,0.11
11:16:19:9,-0.13,0.09,0.07
11:16:19:9,-0.12,0.01,0.03
11:16:19:9,-0.11,-0.06,-0.01
11:16:19:9,-0.11,-0.12,-0.06
11:16:20:0,-0.09,-0.14,-0.11
11:16:20:0,-0.06,-0.15,-0.13
11:16:20:0,-0.02,-0.16,-0.13
11:16:20:0,-0.00,-0.15,-0.16
11:16:20:0,0.01,-0.15,-0.15
11:16:20:0,0.01,-0.15,-0.15
11:16:20:0,0.01,-0.12,-0.15
11:16:20:0,0.01,-0.12,-0.12
11:16:20:0,0.01,-0.10,-0.11
11:16:20:0,0.01,-0.09,-0.10
11:16:20:0,0.02,-0.06,-0.08
11:16:20:0,0.04,-0.04,-0.05
11:16:20:0,0.05,-0.02,-0.02
11:16:20:0,0.06,0.01,0.00
11:16:20:0,0.05,0.04,0.02
11:16:20:0,0.05,0.07,0.02
11:16:20:0,0.04,0.09,0.04
11:16:20:1,0.04,0.10,0.05
11:16:20:1,0.03,0.11,0.06
11:16:20:1,0.02,0.11,0.06
11:16:20:1,0.01,0.11,0.05
11:16:20:1,0.01,0.11,0.03
11:16:20:1,0.00,0.11,0.00
11:16:20:1,0.00,0.10,-0.02
11:16:20:1,0.00,0.10,-0.04
11:16:20:1,0.01,0.08,-0.06
11:16:20:1,0.01,0.06,-0.08
11:16:20:1,0.02,0.05,-0.09
11:16:20:1,0.02,0.03,-0.10
11:16:20:1,0.02,0.01,-0.11
11:16:20:1,0.02,-0.00,-0.11
11:16:20:1,0.02,-0.02,-0.12
11:16:20:1,0.01,-0.03,-0.12
11:16:20:1,0.01,-0.04,-0.12
11:16:20:1,0.02,-0.06,-0.12
11:16:20:1,0.02,-0.06,-0.11
11:16:20:1,0.02,-0.06,-0.10
11:16:20:1,0.02,-0.06,-0.09
11:16:20:1,0.02,-0.06,-0.08
11:16:20:1,0.03,-0.04,-0.07
11:16:20:2,0.03,-0.03,-0.06
11:16:20:2,0.03,-0.02,-0.05
11:16:20:2,0.04,-0.00,-0.04
11:16:20:2,0.04,0.01,-0.03
11:16:20:2,0.05,0.03,-0.03
11:16:20:2,0.05,0.04,-0.03
11:16:20:2,0.05,0.05,-0.03
11:16:20:2,0.05,0.06,-0.03
11:16:20:2,0.05,0.07,-0.03
11:16:20:2,0.04,0.07,-0.04
11:16:20:2,0.04,0.07,-0.04
11:16:20:2,0.03,0.06,-0.05
11:16:20:2,0.03,0.06,-0.05
11:16:20:2,0.03,0.05,-0.05
11:16:20:2,0.02,0.04,-0.05
11:16:20:2,0.02,0.04,-0.05
11:16:20:2,0.03,0.02,-0.05
11:16:20:2,0.03,0.02,-0.05
11:16:20:2,0.03,0.01,-0.04
11:16:20:2,0.03,-0.01,-0.03
11:16:20:2,0.03,-0.02,-0.02
11:16:20:3,0.02,-0.03,-0.00
11:16:20:3,0.02,-0.05,0.01
11:16:20:3,0.02,-0.06,0.02
11:16:20:3,0.01,-0.08,0.04
11:16:20:3,0.00,-0.09,0.05
11:16:20:3,-0.00,-0.09,0.06
11:16:20:3,-0.01,-0.10,0.07
11:16:20:3,-0.01,-0.10,0.08
11:16:20:3,-0.02,-0.10,0.08
11:16:20:3,-0.02,-0.09,0.09
11:16:20:3,-0.02,-0.08,0.08
11:16:20:3,-0.02,-0.07,0.08
11:16:20:3,-0.02,-0.05,0.08
11:16:20:3,-0.02,-0.04,0.07
11:16:20:3,-0.01,-0.02,0.06
11:16:20:3,-0.01,-0.01,0.05
11:16:20:3,-0.00,-0.00,0.04
11:16:20:3,-0.00,0.01,0.02
11:16:20:3,0.00,0.02,0.01
11:16:20:3,0.01,0.03,0.00
11:16:20:4,0.02,0.03,-0.01
11:16:20:4,0.02,0.03,-0.02
11:16:20:4,0.03,0.04,-0.03
11:16:20:4,0.03,0.04,-0.03
11:16:20:4,0.03,0.04,-0.04
11:16:20:4,0.02,0.04,-0.04
11:16:20:4,0.02,0.04,-0.04
11:16:20:4,0.01,0.04,-0.04
11:16:20:4,0.01,0.04,-0.04
11:16:20:4,0.01,0.03,-0.03
11:16:20:4,0.01,0.03,-0.03
11:16:20:4,0.01,0.03,-0.02
11:16:20:4,0.01,0.03,-0.01
11:16:20:4,0.01,0.03,-0.01
11:16:20:4,0.00,0.02,-0.00
11:16:20:4,-0.00,0.02,0.01
11:16:20:4,-0.01,0.02,0.01
11:16:20:4,-0.01,0.01,0.02
11:16:20:4,-0.02,0.00,0.02
11:16:20:4,-0.02,0.00,0.02
11:16:20:4,-0.02,-0.00,0.02
11:16:20:5,-0.03,-0.00,0.02
11:16:20:5,-0.03,-0.00,0.02
11:16:20:5,-0.03,0.00,0.02
11:16:20:5,-0.03,0.01,0.02
11:16:20:5,-0.03,0.02,0.02
11:16:20:5,-0.03,0.02,0.02
11:16:20:5,-0.03,0.02,0.02
11:16:20:5,-0.03,0.02,0.02
11:16:20:5,-0.03,0.02,0.02
11:16:20:5,-0.03,0.02,0.02
11:16:20:5,-0.03,0.01,0.02
11:16:20:5,-0.04,0.01,0.02
11:16:20:5,-0.04,-0.00,0.03
11:16:20:5,-0.04,-0.01,0.03
11:16:20:5,-0.04,-0.01,0.03
11:16:20:5,-0.03,-0.02,0.04
11:16:20:5,-0.03,-0.02,0.04
11:16:20:5,-0.03,-0.02,0.05
11:16:20:5,-0.03,-0.02,0.06
11:16:20:5,-0.03,-0.02,0.06
11:16:20:6,-0.02,-0.03,0.07
11:16:20:6,-0.02,-0.03,0.08
11:16:20:6,-0.02,-0.03,0.08
11:16:20:6,-0.02,-0.03,0.09
11:16:20:6,-0.02,-0.04,0.09
11:16:20:6,-0.02,-0.04,0.09
11:16:20:6,-0.02,-0.04,0.08
11:16:20:6,-0.02,-0.04,0.08
11:16:20:6,-0.02,-0.04,0.08
11:16:20:6,-0.02,-0.04,0.07
11:16:20:6,-0.01,-0.04,0.07
11:16:20:6,-0.01,-0.04,0.06
11:16:20:6,-0.01,-0.04,0.05
11:16:20:6,-0.01,-0.03,0.04
11:16:20:6,-0.00,-0.03,0.03
11:16:20:6,0.00,-0.03,0.03
11:16:20:6,0.01,-0.03,0.02
11:16:20:6,0.02,-0.02,0.01
11:16:20:6,0.02,-0.02,0.01
11:16:20:6,0.02,-0.01,0.00
11:16:20:7,0.02,-0.01,-0.00
11:16:20:7,0.02,-0.01,-0.00
11:16:20:7,0.03,-0.00,-0.00
11:16:20:7,0.02,-0.00,-0.00
11:16:20:7,0.02,0.00,-0.00
11:16:20:7,0.02,0.00,0.00
11:16:20:7,0.02,0.00,0.00
11:16:20:7,0.01,0.00,0.01
11:16:20:7,0.01,-0.00,0.01
11:16:20:7,0.01,-0.00,0.01
11:16:20:7,0.01,-0.00,0.01
11:16:20:7,0.01,-0.00,0.02
11:16:20:7,0.01,-0.00,0.02
11:16:20:7,0.01,-0.00,0.02
11:16:20:7,0.01,-0.01,0.02
11:16:20:7,0.01,-0.01,0.01
11:16:20:7,0.01,-0.02,0.01
11:16:20:7,0.01,-0.03,0.01
11:16:20:7,0.00,-0.04,0.01
11:16:20:7,0.00,-0.04,0.01
11:16:20:8,-0.00,-0.05,0.01
11:16:20:8,-0.00,-0.05,0.00
11:16:20:8,-0.01,-0.05,0.00
11:16:20:8,-0.01,-0.05,0.00
11:16:20:8,-0.01,-0.04,0.00
11:16:20:8,-0.01,-0.03,0.00
11:16:20:8,-0.01,-0.03,0.00
11:16:20:8,-0.01,-0.01,0.00
11:16:20:8,-0.01,-0.00,0.00
11:16:20:8,-0.01,0.01,0.00
11:16:20:8,-0.00,0.01,0.00
11:16:20:8,-0.00,0.02,0.00
11:16:20:8,-0.02,0.00,0.01
11:16:20:8,-0.08,-0.05,-0.01
11:16:20:8,-0.12,-0.06,-0.03
11:16:20:8,-0.11,-0.04,-0.05
11:16:20:8,-0.07,-0.01,-0.07
11:16:20:8,-0.02,0.01,-0.07
11:16:20:8,0.01,0.02,-0.08
11:16:20:8,0.03,0.03,-0.08
11:16:20:8,0.02,0.04,-0.08
11:16:20:9,0.01,0.07,-0.07
11:16:20:9,-0.00,0.08,-0.06
11:16:20:9,-0.01,0.09,-0.03
11:16:20:9,-0.01,0.07,-0.00
11:16:20:9,-0.01,0.06,0.02
11:16:20:9,-0.00,0.04,0.05
11:16:20:9,-0.00,0.04,0.07
11:16:20:9,-0.01,0.03,0.08
11:16:20:9,-0.03,0.02,0.08
11:16:20:9,-0.07,-0.00,0.08
11:16:20:9,-0.09,-0.02,0.07
11:16:20:9,-0.10,-0.04,0.06
11:16:20:9,-0.09,-0.04,0.05
11:16:20:9,-0.07,-0.05,0.04
11:16:20:9,-0.04,-0.05,0.03
11:16:20:9,-0.01,-0.05,0.01
11:16:20:9,0.01,-0.05,-0.00
11:16:21:0,0.02,-0.04,-0.02
11:16:21:0,0.02,-0.02,-0.03
11:16:21:0,0.01,0.01,-0.05
11:16:21:0,0.01,0.02,-0.05
11:16:21:0,0.01,0.03,-0.05
11:16:21:0,0.01,0.04,-0.05
11:16:21:0,0.01,0.06,-0.05
11:16:21:0,0.01,0.07,-0.05
11:16:21:0,0.01,0.08,-0.05
11:16:21:0,0.00,0.09,-0.04
11:16:21:0,0.00,0.09,-0.03
11:16:21:0,-0.00,0.09,-0.02
11:16:21:0,-0.00,0.08,-0.02
11:16:21:0,-0.00,0.06,-0.01
11:16:21:0,-0.00,0.04,-0.00
11:16:21:0,-0.00,0.02,0.01
11:16:21:0,-0.01,0.00,0.01
11:16:21:0,-0.01,-0.02,0.01
11:16:21:0,-0.01,-0.03,0.01
11:16:21:0,-0.01,-0.04,0.01
11:16:21:0,-0.01,-0.05,0.01
11:16:21:0,-0.01,-0.05,0.01
11:16:21:1,-0.01,-0.05,0.00
11:16:21:1,-0.01,-0.04,-0.00
11:16:21:1,-0.01,-0.03,-0.01
11:16:21:1,-0.00,-0.02,-0.01
11:16:21:1,0.00,-0.01,-0.02
11:16:21:1,0.01,-0.01,-0.02
11:16:21:1,0.01,0.00,-0.02
11:16:21:1,0.02,0.01,-0.03
11:16:21:1,0.02,0.01,-0.03
11:16:21:1,0.02,0.01,-0.03
11:16:21:1,0.02,0.01,-0.02
11:16:21:1,0.02,0.00,-0.02
11:16:21:1,0.01,-0.00,-0.02
11:16:21:1,0.01,-0.01,-0.02
11:16:21:1,0.01,-0.01,-0.01
11:16:21:1,0.01,-0.01,-0.01
11:16:21:1,0.01,-0.01,-0.00
11:16:21:1,0.01,-0.01,0.01
11:16:21:1,0.01,-0.01,0.01
11:16:21:1,0.01,-0.01,0.02
11:16:21:2,0.02,-0.01,0.02
11:16:21:2,0.02,-0.01,0.02
11:16:21:2,0.02,-0.01,0.03
11:16:21:2,0.02,-0.01,0.03
11:16:21:2,0.01,-0.02,0.03
11:16:21:2,0.01,-0.02,0.03
11:16:21:2,0.01,-0.02,0.03
11:16:21:2,0.01,-0.02,0.03
11:16:21:2,0.01,-0.03,0.02
11:16:21:2,0.01,-0.03,0.02
11:16:21:2,0.01,-0.03,0.02
11:16:21:2,0.01,-0.03,0.01
11:16:21:2,0.01,-0.03,0.01
11:16:21:2,0.01,-0.03,0.01
11:16:21:2,0.01,-0.03,0.01
11:16:21:2,0.00,-0.03,0.01
11:16:21:2,0.00,-0.03,0.01
11:16:21:2,0.00,-0.02,0.01
