Relative Time (to start of segment),aclx 1,aclx 2,acly 1,acly 2,aclz 1,aclz 2,gyrx 1,gyrx 2,gyry 1,gyry 2,gyrz 1,gyrz 2,magr 1,magr 2,magphi 1,magphi 2,magtheta 1,magtheta 2,
0.000000,0.025501,,0.056024,,0.020896,,0.005823,,0.042036,,-0.043679,,0.000000,,-0.019314,,-0.041460,,
0.076923,0.009064,,0.056474,,0.000027,,0.008993,,0.063870,,-0.053544,,0.000000,,0.033218,,-0.028057,,
0.153846,-0.011698,,0.058358,,-0.039526,,0.017447,,0.070303,,-0.058028,,0.000000,,0.085378,,-0.010241,,
0.230769,-0.032405,,0.061993,,-0.063808,,0.019176,,0.071472,,-0.052199,,0.000000,,0.137231,,0.010760,,
0.307692,-0.050932,,0.065240,,-0.082325,,0.017158,,0.058801,,-0.037401,,0.000000,,0.189206,,0.028313,,
0.384615,-0.064914,,0.068799,,-0.100556,,0.012451,,0.048859,,-0.030899,,0.000000,,0.241137,,0.043107,,
0.461538,-0.080990,,0.069754,,-0.111203,,0.000924,,0.044180,,-0.018792,,0.000000,,0.293411,,0.056632,,
0.538462,-0.090940,,0.068370,,-0.121980,,-0.007338,,0.027805,,-0.006013,,0.000000,,0.293294,,0.066020,,
0.615385,-0.089632,,0.067026,,-0.123800,,-0.011469,,-0.009234,,0.013493,,0.000000,,0.293412,,0.068603,,
0.692308,-0.081178,,0.065881,,-0.107429,,-0.011372,,-0.061284,,0.043087,,0.000000,,0.241015,,0.061120,,
0.769231,-0.063545,,0.062240,,-0.073285,,-0.023476,,-0.036721,,0.051383,,0.000000,,0.188678,,0.042980,,
0.846154,-0.049291,,0.059101,,-0.059001,,-0.024245,,-0.038670,,0.044208,,0.000000,,0.136477,,0.026478,,
0.923077,-0.031991,,0.053563,,-0.041244,,-0.022900,,-0.028923,,0.031429,,0.000000,,0.084526,,0.010292,,
1.000000,-0.018611,,0.049445,,-0.020612,,-0.022420,,-0.018396,,0.029411,,0.000000,,0.032402,,-0.004111,,
0.000000,,-0.019665,,0.060074,,-0.007687,,0.013796,,0.063090,,-0.049508,,0.000000,,0.085016,,-0.009463,
0.090909,,-0.040380,,0.060526,,-0.037943,,0.016102,,0.067379,,-0.049060,,0.000000,,0.137562,,0.009355,
0.181818,,-0.055748,,0.062767,,-0.054966,,0.015141,,0.060945,,-0.042558,,0.000000,,0.189922,,0.026208,
0.272727,,-0.072619,,0.064492,,-0.075394,,0.010722,,0.054512,,-0.036504,,0.000000,,0.242277,,0.040063,
0.363636,,-0.088298,,0.063876,,-0.095121,,0.001116,,0.041256,,-0.024622,,0.000000,,0.294739,,0.053430,
0.454545,,-0.102084,,0.061689,,-0.112864,,-0.006761,,0.030534,,-0.010049,,0.000000,,0.242188,,0.063534,
0.545455,,-0.102906,,0.059218,,-0.120093,,-0.012045,,0.007726,,0.004076,,0.000000,,0.242274,,0.067162,
0.636364,,-0.101720,,0.056934,,-0.114962,,-0.015695,,-0.024050,,0.022012,,0.000000,,0.190036,,0.065571,
0.727273,,-0.087824,,0.054700,,-0.096512,,-0.018193,,-0.048807,,0.035913,,0.000000,,0.190431,,0.055381,
0.818182,,-0.073035,,0.053349,,-0.067513,,-0.020306,,-0.068497,,0.045329,,0.000000,,0.138123,,0.041316,
0.909091,,-0.055971,,0.049079,,-0.047531,,-0.022228,,-0.060114,,0.045554,,0.000000,,0.086060,,0.026273,
1.000000,,-0.040729,,0.045444,,-0.029431,,-0.019922,,-0.050367,,0.040173,,0.000000,,0.034088,,0.010884,
