time,x,y,z
11:13:43:2,0.05,-0.01,0.06
11:13:43:2,-0.00,-0.02,0.08
11:13:43:2,-0.05,-0.03,0.10
11:13:43:2,-0.07,-0.05,0.11
11:13:43:3,-0.06,-0.07,0.12
11:13:43:3,-0.04,-0.09,0.12
11:13:43:3,-0.01,-0.10,0.12
11:13:43:3,0.02,-0.10,0.11
11:13:43:3,0.04,-0.10,0.10
11:13:43:3,0.06,-0.09,0.09
11:13:43:3,0.06,-0.07,0.08
11:13:43:3,0.05,-0.05,0.06
11:13:43:3,0.03,-0.03,0.05
11:13:43:3,0.00,-0.01,0.03
11:13:43:3,-0.03,0.01,0.01
11:13:43:3,-0.05,0.01,-0.01
11:13:43:3,-0.06,0.02,-0.02
11:13:43:3,-0.06,0.02,-0.04
11:13:43:3,-0.06,0.01,-0.06
11:13:43:3,-0.05,0.01,-0.07
11:13:43:3,-0.03,0.01,-0.08
11:13:43:3,-0.02,0.01,-0.09
11:13:43:3,-0.01,0.01,-0.09
11:13:43:3,0.00,0.01,-0.08
11:13:43:4,0.00,0.02,-0.08
11:13:43:4,0.00,0.02,-0.07
11:13:43:4,-0.01,0.02,-0.06
11:13:43:4,-0.02,0.02,-0.05
11:13:43:4,-0.03,0.02,-0.04
11:13:43:4,-0.03,0.01,-0.02
11:13:43:4,-0.04,-0.00,-0.01
11:13:43:4,-0.05,-0.01,0.00
11:13:43:4,-0.05,-0.02,0.01
11:13:43:4,-0.05,-0.02,0.02
11:13:43:4,-0.05,-0.02,0.03
11:13:43:4,-0.05,-0.03,0.04
11:13:43:4,-0.05,-0.02,0.04
11:13:43:4,-0.05,-0.02,0.05
11:13:43:4,-0.05,-0.02,0.05
11:13:43:4,-0.05,-0.02,0.06
11:13:43:4,-0.05,-0.02,0.06
11:13:43:4,-0.05,-0.01,0.06
11:13:43:4,-0.05,-0.01,0.06
11:13:43:4,-0.05,-0.00,0.05
11:13:43:5,-0.05,0.00,0.05
11:13:43:5,-0.05,0.01,0.04
11:13:43:5,-0.04,0.01,0.04
11:13:43:5,-0.04,0.01,0.03
11:13:43:5,-0.03,0.02,0.02
11:13:43:5,-0.03,0.02,0.02
11:13:43:5,-0.03,0.02,0.01
11:13:43:5,-0.03,0.02,0.00
11:13:43:5,-0.03,0.02,-0.00
11:13:43:5,-0.03,0.02,-0.00
11:13:43:5,-0.03,0.02,-0.01
11:13:43:5,-0.03,0.02,-0.00
11:13:43:5,-0.03,0.02,-0.00
