Time,Column,Value,Is Positive Peak
40447.800000,acly,-0.057387,0
40447.800000,aclz,-0.098828,0
40447.800000,magphi,0.017258,1
40448.100000,gyrx,0.091329,1
40448.200000,gyrz,0.034252,1
40448.200000,magphi,0.004543,0
40448.300000,gyry,-0.061312,0
40448.600000,acly,-0.003834,1
40448.700000,aclz,0.045586,1
40448.800000,gyrx,-0.018423,0
40448.900000,magtheta,-0.042802,0
40449.000000,aclx,0.047471,1
40449.000000,acly,-0.032681,0
40449.000000,magphi,0.046318,1
40449.500000,gyrx,0.045534,1
40449.500000,gyrz,-0.061439,0
40449.600000,gyry,0.081169,1
40450.000000,acly,0.071387,1
40450.100000,aclx,-0.083183,0
40450.100000,aclz,-0.066973,0
40450.100000,magphi,-0.082602,0
40450.100000,magtheta,0.072006,1
40450.500000,gyrx,-0.037827,0
40450.500000,gyry,-0.068541,0
40450.500000,gyrz,0.044271,1
40451.000000,acly,-0.029685,0
40451.100000,gyrx,0.012004,1
40451.100000,magphi,0.039489,1
40451.200000,aclx,0.043428,1
40451.200000,magtheta,-0.040353,0
40451.300000,gyrz,-0.006512,0
40451.400000,aclz,0.040695,1
40451.600000,acly,-0.007707,1
40451.700000,gyrz,0.006270,1
40451.700000,magphi,0.010844,0
40451.900000,gyrx,-0.086261,0
40451.900000,gyry,0.043349,1
40452.600000,aclx,-0.031891,0
40452.600000,aclz,-0.059750,0
40452.600000,gyrz,-0.005475,0
40452.600000,magtheta,0.051111,1
40452.700000,acly,-0.056436,0
40452.800000,magphi,0.027358,1
40453.000000,gyrx,0.092726,1
40453.100000,gyry,-0.060055,0
40453.100000,magphi,0.018065,0
40453.400000,gyrz,0.025961,1
40453.500000,acly,-0.017463,1
40453.600000,aclz,0.044459,1
40453.700000,gyrx,-0.015007,0
40453.700000,magtheta,-0.052573,0
40453.800000,aclx,0.059363,1
40453.900000,acly,-0.036432,0
40453.900000,magphi,0.055430,1
40454.300000,gyry,0.072264,1
40454.300000,gyrz,-0.041403,0
40454.400000,gyrx,0.033271,1
40454.900000,acly,0.064454,1
40455.000000,magphi,-0.077304,0
40455.100000,aclx,-0.083352,0
40455.100000,aclz,-0.071784,0
40455.100000,magtheta,0.074457,1
40455.400000,gyrx,-0.024943,0
40455.600000,gyry,-0.065817,0
40455.900000,gyrz,0.035980,1
40456.100000,acly,-0.025522,0
40456.100000,magphi,0.035151,1
40456.300000,gyrx,0.019300,1
40456.400000,aclx,0.046054,1
40456.500000,magtheta,-0.052467,0
40456.600000,aclz,0.060564,1
40456.700000,acly,0.021448,1
40456.800000,magphi,-0.013726,0
40456.900000,gyry,0.049949,1
40456.900000,gyrz,-0.049003,0
40457.100000,gyrx,-0.097127,0
40457.700000,aclx,-0.033037,0
40457.700000,aclz,-0.073744,0
40457.700000,magtheta,0.058623,1
40457.900000,acly,-0.072503,0
40457.900000,gyrz,0.023889,1
40458.100000,magphi,0.040753,1
40458.300000,gyrx,0.094123,1
40458.400000,magphi,0.035419,0
40458.600000,gyry,-0.067598,0
40458.700000,acly,-0.023414,1
40458.900000,aclz,0.047814,1
40459.000000,aclx,0.090337,1
40459.000000,gyrx,-0.012989,0
40459.000000,magtheta,-0.077652,0
40459.200000,acly,-0.044768,0
40459.200000,magphi,0.082783,1
40459.300000,aclz,0.037095,0
40459.600000,aclz,0.043275,1
40459.700000,gyrx,0.041964,1
40459.800000,gyry,0.055816,1
40459.800000,gyrz,-0.061094,0
40460.400000,aclx,-0.068314,0
40460.400000,acly,0.093070,1
40460.400000,aclz,-0.028256,0
40460.400000,magphi,-0.094986,0
40460.400000,magtheta,0.048615,1
40460.800000,gyrx,-0.043881,0
40460.800000,gyry,-0.070322,0
40460.800000,gyrz,0.058435,1
40461.200000,acly,-0.007212,0
40461.300000,gyrx,0.007036,1
40461.300000,magphi,0.025227,1
40461.400000,aclx,0.053619,1
40461.400000,magtheta,-0.059556,0
40461.600000,aclz,0.060359,1
40461.700000,acly,0.014391,1
40461.800000,gyry,0.056549,1
40461.900000,magphi,-0.004227,0
40462.100000,gyrx,-0.092936,0
40462.200000,gyrz,-0.017221,0
40462.600000,aclx,-0.040262,0
40462.600000,magtheta,0.058026,1
40462.700000,acly,-0.051313,0
40462.700000,aclz,-0.068424,0
40462.800000,gyrz,0.015598,1
40463.100000,gyrx,0.094278,1
40463.100000,gyry,-0.083418,0
40463.300000,gyrz,0.016289,1
40463.700000,aclx,0.079851,1
40463.700000,aclz,0.062997,1
40463.700000,magtheta,-0.082050,0
40463.800000,gyrx,-0.003986,0
40463.800000,magphi,0.044150,1
40463.900000,acly,-0.010391,0
40464.200000,gyry,0.088713,1
40464.200000,gyrz,-0.066967,0
40464.300000,gyrx,0.036531,1
40464.700000,acly,0.072815,1
40464.700000,magphi,-0.078123,0
40464.800000,aclx,-0.063037,0
40464.800000,aclz,-0.027581,0
40464.800000,magtheta,0.046235,1
40465.000000,gyry,-0.071998,0
40465.100000,gyrx,-0.033170,0
40465.400000,acly,0.004221,0
40465.500000,gyrz,0.048416,1
40465.500000,magphi,0.007212,1
40465.600000,gyrx,0.023491,1
40465.800000,aclx,0.059648,1
40465.800000,magtheta,-0.075426,0
40465.900000,aclz,0.077752,1
40466.000000,acly,0.035040,1
40466.100000,magphi,-0.015538,0
40466.400000,gyrx,-0.095885,0
40466.500000,gyry,0.053406,1
40466.500000,gyrz,-0.010312,0
40466.900000,magphi,0.019278,1
40467.000000,aclx,-0.029306,0
40467.000000,acly,-0.045047,0
40467.000000,aclz,-0.047690,0
40467.000000,magtheta,0.043712,1
40467.200000,gyrz,0.017325,1
40467.400000,gyrx,0.095986,1
40467.400000,magphi,0.017049,0
40467.500000,gyry,-0.071579,0
40467.800000,acly,-0.005985,1
40467.900000,aclz,0.058267,1
40468.000000,magtheta,-0.085292,0
40468.100000,aclx,0.091336,1
40468.100000,gyrx,-0.011592,0
40468.200000,acly,-0.027063,0
40468.200000,magphi,0.065410,1
40468.500000,gyry,0.087036,1
40468.500000,gyrz,-0.081476,0
40468.600000,gyrx,0.045224,1
40469.100000,aclx,-0.063032,0
40469.100000,acly,0.077426,1
40469.100000,aclz,-0.024591,0
40469.100000,magphi,-0.082569,0
40469.100000,magtheta,0.044638,1
40469.400000,gyry,-0.072313,0
40469.500000,gyrx,-0.035499,0
40469.500000,gyrz,0.057744,1
40469.900000,acly,-0.005583,0
40470.000000,gyrx,0.010296,1
40470.000000,magphi,0.023901,1
40470.100000,aclx,0.057596,1
40470.200000,aclz,0.063588,1
40470.200000,magtheta,-0.065009,0
40470.500000,acly,0.016506,1
40470.600000,magphi,-0.004619,0
40470.700000,gyry,0.068493,1
40470.800000,gyrx,-0.087037,0
40470.900000,gyrz,-0.032421,0
40471.200000,magphi,0.015211,1
40471.300000,aclx,-0.034619,0
40471.300000,acly,-0.042923,0
40471.300000,aclz,-0.054241,0
40471.300000,magtheta,0.048895,1
40471.600000,magphi,0.012982,0
40471.700000,gyrx,0.079842,1
40471.800000,gyry,-0.083103,0
40471.900000,gyrz,0.035634,1
40472.100000,acly,-0.000460,1
40472.200000,aclz,0.064702,1
40472.300000,aclx,0.081132,1
40472.300000,gyrx,-0.008332,0
40472.300000,magtheta,-0.084248,0
40472.400000,acly,-0.009148,0
40472.400000,magphi,0.043924,1
40472.800000,gyry,0.090075,1
40472.800000,gyrz,-0.055567,0
40472.900000,gyrx,0.043361,1
40473.400000,acly,0.105225,1
40473.400000,magphi,-0.106752,0
40473.500000,aclx,-0.084092,0
40473.500000,aclz,-0.057573,0
40473.500000,magtheta,0.068077,1
40473.700000,gyrx,-0.050712,0
40473.800000,gyrz,0.052562,1
40474.000000,gyry,-0.052512,0
40474.100000,gyrz,0.033216,0
40474.300000,acly,-0.013583,0
40474.400000,magphi,0.017375,1
40474.500000,gyrx,0.023957,1
40474.600000,aclx,0.029127,1
40474.800000,gyry,0.027529,1
40474.900000,gyrz,0.086071,1
40475.000000,aclx,0.008547,0
40475.000000,acly,0.052516,1
40475.000000,aclz,0.057403,1
40475.000000,gyrx,-0.003830,0
40475.000000,magphi,-0.035491,0
40475.000000,magtheta,-0.044319,0
