Clock Time (s),Elapsed Time (s),ax,ay,az,gx,gy,gz,mr,mtheta,mphi,
61322.3,0.0,-0.20,0.90,0.31,0.12,0.12,-0.12,91.36455220707865,5.382134737371775,0.8787643042177611,
61322.4,0.09999999999854481,-0.23,0.89,0.37,-0.08,-0.46,0.05,93.92753802799261,5.380724193051392,0.8762097175552805,
61322.5,0.19999999999708962,-0.18,0.89,0.30,0.16,0.22,-0.14,93.1507434216174,5.401306877537743,0.8495415160003716,
61322.6,0.2999999999956344,-0.15,0.89,0.39,0.23,0.34,-0.18,92.11677371684269,5.377535955599056,0.8577120355369589,
61322.7,0.39999999999417923,-0.16,0.90,0.35,0.13,0.16,-0.12,93.97759999063607,5.3818561202939605,0.8770686762891752,
61322.8,0.5,-0.08,0.87,0.43,0.37,0.80,-0.21,90.98096998823435,5.38319570403877,0.8962715886349347,
61322.9,0.5999999999985448,-0.01,0.83,0.50,0.46,1.09,-0.20,91.96607526691568,5.400473839696291,0.8888037705655785,
61323.1,0.7999999999956344,-0.04,0.86,0.52,-0.12,0.12,-0.05,90.64061451689302,5.334978794906201,0.918361444673464,
61323.2,0.8999999999941792,-0.07,0.85,0.50,-0.10,0.12,-0.05,90.94352203428235,5.337855363675452,0.9211800241235086,
61323.3,1.0,-0.08,0.84,0.49,-0.07,0.10,-0.03,90.57136964847115,5.352760821082088,0.9113668874404702,
61323.4,1.0999999999985448,-0.10,0.84,0.47,-0.07,0.06,-0.00,90.73690043196318,5.3531291290183365,0.9113866198595182,
61323.5,1.1999999999970896,-0.08,0.84,0.48,-0.07,0.03,0.01,90.70737456238054,5.320781186872378,0.9162860589612701,
61323.6,1.2999999999956344,-0.06,0.84,0.48,-0.15,0.07,-0.02,90.62091425272645,5.33226652078575,0.9161103084642951,
61323.7,1.3999999999941792,-0.02,0.83,0.47,-0.08,-0.09,0.01,91.01108668728223,5.360936467842275,0.9078782099530792,
61323.8,1.5,-0.01,0.88,0.55,-0.08,-0.10,0.01,86.16743062201634,5.280652020156998,0.9999511967055461,
61323.9,1.5999999999985448,-0.03,0.87,0.53,-0.13,0.10,-0.04,90.80858549718742,5.347486457978505,0.9132511805507894,
61324.1,1.7999999999956344,-1.35,0.93,0.76,0.03,-3.19,-1.38,78.46436770917103,5.348729961077128,1.074391779483159,
61324.2,1.8999999999941792,-0.48,0.71,1.82,0.22,-2.74,-0.25,82.85394076324916,5.3354697345224285,1.0204663820253919,
61324.3,2.0,-0.11,0.65,1.23,0.72,-0.86,0.37,80.97077065213101,5.34972781512009,1.0309401299579137,
61324.4,2.099999999998545,-1.25,0.91,0.52,0.91,-1.38,0.58,64.52719349235639,5.546836470883443,1.1265900743778636,
