Time,Column,Value,Is Positive Peak
10.500000,aclz,-0.015480,1
10.500000,magr,-0.013870,0
10.600000,aclz,-0.016129,0
10.600000,gyry,-0.002052,0
10.600000,magr,-0.013239,1
10.700000,gyry,0.001079,1
10.700000,magr,-0.016231,0
10.800000,acly,-0.023236,0
10.800000,magr,-0.015493,1
10.800000,magtheta,0.018560,1
10.900000,gyrx,-0.008509,0
10.900000,gyry,-0.004686,0
10.900000,gyrz,0.017591,1
10.900000,magr,-0.018382,0
11.400000,magr,-0.001159,1
11.500000,aclz,0.009542,1
11.500000,magr,-0.004699,0
11.600000,aclx,0.017398,1
11.600000,gyry,0.007340,1
11.700000,aclz,0.007689,0
11.700000,gyry,0.007080,0
11.700000,magr,-0.004282,1
11.800000,aclz,0.013471,1
11.800000,gyry,0.010593,1
11.800000,magr,-0.007681,0
11.800000,magtheta,-0.010405,0
11.900000,gyry,0.009870,0
12.000000,gyrx,0.010863,1
12.000000,gyry,0.010447,1
12.000000,gyrz,-0.010844,0
12.000000,magr,-0.006998,1
12.100000,magr,-0.010274,0
12.200000,acly,-0.009893,1
12.300000,acly,-0.010140,0
12.500000,aclz,-0.005003,0
12.600000,aclx,-0.008031,0
12.600000,acly,-0.003849,1
12.600000,aclz,-0.000677,1
12.600000,magr,0.012454,1
12.700000,acly,-0.006671,0
12.700000,aclz,-0.001502,0
12.700000,gyry,-0.006181,0
12.800000,acly,-0.004232,1
12.900000,acly,-0.006631,0
12.900000,gyry,-0.003195,1
13.100000,acly,-0.005946,1
13.100000,gyrx,-0.011401,0
13.100000,gyry,-0.018622,0
13.100000,gyrz,0.009963,1
13.200000,magtheta,0.025869,1
13.400000,acly,-0.008400,0
13.500000,acly,-0.007987,1
13.500000,aclz,0.018252,1
13.500000,magphi,0.019986,1
13.600000,acly,-0.010116,0
13.600000,magphi,0.012089,0
13.700000,aclx,0.012553,1
13.700000,aclz,0.015337,0
13.800000,acly,-0.003319,1
13.800000,aclz,0.022993,1
13.900000,acly,-0.003509,0
14.000000,magr,-0.001217,0
14.200000,gyrx,0.013734,1
14.200000,gyry,0.017062,1
14.300000,gyrz,-0.014332,0
14.300000,magtheta,-0.009831,0
14.500000,magr,-0.000965,1
14.600000,acly,0.004218,1
14.600000,aclz,-0.000536,0
14.700000,aclx,-0.016535,0
14.700000,aclz,0.000074,1
14.700000,magr,-0.007903,0
14.800000,acly,0.003029,0
14.800000,aclz,-0.003165,0
14.900000,acly,0.004782,1
14.900000,magr,-0.000340,1
15.000000,gyry,-0.000152,0
15.000000,magr,-0.003918,0
15.100000,magr,0.003447,1
15.200000,gyry,0.010505,1
15.300000,acly,0.002588,0
15.300000,gyrx,-0.013662,0
15.300000,gyrz,0.007944,1
15.400000,acly,0.003141,1
15.400000,gyry,0.007610,0
15.500000,gyry,0.008020,1
15.500000,gyrz,0.006574,0
15.500000,magtheta,0.022023,1
15.600000,acly,0.002362,0
15.600000,aclz,0.011241,1
15.600000,gyry,0.006426,0
15.600000,gyrz,0.006910,1
15.700000,aclx,0.004209,1
15.700000,acly,0.003073,1
15.800000,acly,0.002987,0
15.800000,aclz,0.006458,0
15.800000,magphi,0.022860,1
15.900000,aclz,0.014988,1
16.000000,gyry,0.013057,1
16.000000,magphi,0.007182,0
16.100000,magr,-0.001429,0
16.200000,gyry,0.011132,0
16.200000,magr,-0.001361,1
16.300000,magr,-0.004892,0
16.400000,gyrx,0.012120,1
16.400000,gyry,0.013865,1
