time,ax,ay,az
6.351327,6.534459,-4.386334,-5.870194
6.384545,6.709541,-3.988733,-5.741501
6.4179,6.688292,-3.950275,-6.01011
6.451229,6.304158,-4.180725,-5.675957
6.48461,6.608532,-4.132689,-5.703491
6.517586,6.654622,-4.013125,-5.915984
6.551175,6.659859,-3.832655,-5.869296
6.584408,6.281712,-4.069091,-6.122342
6.617779,6.220059,-4.093632,-6.132667
6.651133,6.59237,-3.895056,-5.751676
6.684531,6.772989,-3.42413,-5.9721
6.717779,6.482532,-3.770553,-5.989609
6.750945,6.551368,-4.039013,-6.040786
6.785997,6.283058,-3.892512,-6.296826
6.817779,6.601948,-3.912564,-6.395889
6.851193,6.647888,-3.835947,-6.361621
6.884443,6.414295,-3.846422,-6.98219
6.917796,6.350398,-3.554469,-6.964083
6.951165,6.516501,-3.925134,-7.290904
6.983844,6.569325,-3.462139,-7.117916
7.017787,5.493393,-4.038265,-7.791908
7.051621,5.697356,-3.87261,-8.031038
7.084876,5.731624,-3.849415,-8.270616
7.117846,4.789771,-3.551177,-7.816749
7.151121,4.711658,-3.43266,-8.579629
7.184446,3.667,-3.729252,-8.81367
7.22475,3.020244,-4.162767,-9.810442
7.25118,3.324019,-4.410427,-10.710245
7.284477,-1.639937,-1.862606,-2.210526
7.317889,-0.135726,-2.795779,-9.201844
7.351289,1.401556,-2.031852,-9.156353
7.384512,2.093505,-3.069326,-8.534437
7.417778,0.444739,-3.303218,-8.591301
7.451719,-0.568494,-3.272991,-8.299347
7.484514,-0.140066,-3.413954,-8.676597
7.517816,1.404848,-3.630488,-9.775276
7.551309,0.287015,-3.302021,-8.821152
7.584566,0.305421,-3.670891,-8.733462
7.61788,0.854012,-3.286309,-9.029156
7.651202,0.866133,-3.601307,-8.917373
7.685016,0.753752,-3.427422,-9.038434
7.717843,0.773504,-3.391059,-8.788381
7.75111,0.859399,-3.496407,-8.598035
7.784974,0.984651,-3.557911,-8.366537
7.817814,1.008444,-3.768907,-8.560624
7.851214,0.964,-3.936208,-8.900014
7.884447,1.307131,-3.93127,-8.73017
7.917314,1.176493,-3.401534,-8.586961
7.951608,1.430886,-3.531125,-8.385542
7.984598,2.182393,-4.194641,-8.597137
8.017932,1.338556,-4.036319,-8.252659
8.051109,1.371627,-4.355358,-8.601776
8.085433,1.742143,-4.829876,-8.295008
8.11799,1.870986,-4.092435,-7.627151
8.151111,2.014942,-4.76538,-7.99243
8.184516,2.589422,-5.241992,-8.341996
8.218015,2.241352,-2.328744,-5.484115
8.251108,2.349394,-4.337401,-7.14156
8.284445,5.520777,-5.634955,-8.426993
8.323043,5.327588,-4.776603,-8.745583
8.351116,4.346379,-5.025459,-7.770659
8.384559,4.114882,-4.368078,-6.303559
8.417866,4.486296,-3.55836,-5.38535
8.451187,3.112723,-2.591068,-1.887147
8.484444,5.053442,-2.533754,-4.703577
8.517788,5.566418,-2.526422,-5.991404
8.553829,4.113535,-5.602782,-5.928105
8.584449,4.881054,-4.133437,-5.468851
8.617783,6.823569,-4.294603,-6.2446
8.651321,6.024924,-4.590597,-5.717558
8.684443,6.256272,-4.586556,-5.275363
8.717781,6.795436,-4.380498,-5.494141
8.751279,6.395141,-4.369724,-5.899972
8.784759,6.218562,-4.221278,-5.681943
8.817875,6.4122,-4.660929,-5.818866
8.85143,6.420431,-4.522509,-5.934241
8.884711,6.213923,-4.359698,-5.663986
8.917775,6.392148,-4.405488,-5.636451
8.951037,6.500939,-4.500811,-5.873785
8.984556,6.046772,-4.470882,-5.904312
9.017788,6.408758,-4.641326,-6.113513
9.051202,6.203598,-4.815061,-6.464126
9.084448,5.844006,-4.584162,-5.999934
9.117884,6.302362,-4.497369,-6.610477
9.153134,6.11875,-4.582366,-6.898241
9.184453,5.786693,-4.042455,-6.459936
9.217062,6.566183,-4.3166,-7.863886
9.251156,5.614154,-3.983346,-7.255289
9.284447,4.644917,-4.688912,-7.639272
9.317902,4.824788,-4.391572,-7.882143
9.351175,4.863695,-4.495424,-7.935117
9.389785,4.212,-4.238337,-8.232158
9.41788,3.591281,-4.365234,-8.139678
9.451633,3.061096,-4.435118,-8.07189
9.484565,3.455705,-5.504317,-10.463184
9.517822,1.554341,-4.784534,-4.283529
9.550301,-2.297468,-2.467762,-4.901555
9.584522,-0.17164,-3.827867,-8.042859
9.617727,1.945658,-3.730449,-9.501729
9.651116,2.194663,-3.927978,-9.344005
9.684451,0.069584,-3.724014,-8.282139
9.720052,-0.195733,-4.028687,-8.263433
9.751667,1.079674,-3.835199,-8.921862
9.7845,1.229018,-3.7719,-9.038584
9.817852,0.654089,-4.068792,-8.875622
9.851121,0.55323,-4.147504,-8.589505
9.884769,0.648852,-4.045747,-8.70907
9.917786,1.053786,-3.857197,-8.408587
9.952017,1.008145,-4.106502,-8.720143
9.984516,0.78772,-4.147354,-8.532641
10.017794,0.911176,-4.290712,-8.384943
10.05122,1.10631,-4.328422,-8.892083
10.084533,0.995425,-4.306425,-8.393922
10.117782,1.204326,-4.476569,-8.49523
10.151127,1.389584,-4.313308,-8.587111
10.18572,1.327034,-4.195689,-8.223179
10.216928,1.350079,-4.523257,-7.852214
10.251115,1.181581,-4.34623,-7.909677
10.28488,1.710569,-4.978621,-8.565413
10.317779,1.704433,-4.501409,-7.986145
10.351134,1.728226,-4.518319,-7.940953
10.384416,1.840908,-4.667663,-8.219139
10.417788,2.775577,-5.449697,-9.328592
10.451111,2.173863,-4.140471,-6.73513
10.48476,1.645623,-3.93965,-6.023428
10.51778,1.947753,-3.935011,-5.483067
10.554271,4.90769,-5.137093,-7.739832
10.584597,5.861215,-5.127216,-8.612251
10.618091,4.843344,-4.347427,-7.893516
10.651229,4.686219,-4.868334,-6.567979
10.684444,3.899246,-3.089528,-2.608426
10.71717,4.11578,-2.376929,-2.144084
10.751114,20.874144,-13.418932,-3.754691
10.784475,7.614432,-3.875154,-4.556927
10.817784,5.521226,-4.004146,-4.740988
10.851233,7.97118,-3.832057,-5.713368
10.88456,6.653425,-4.487493,-5.812731
10.918507,6.538798,-4.404291,-5.301999
10.95111,7.091579,-3.952968,-5.152656
10.984716,6.958996,-4.148851,-5.505065
11.017901,6.728695,-3.973619,-5.429794
11.051108,6.847063,-4.416113,-5.684187
11.08445,6.50872,-4.358201,-5.625228
11.119711,6.447067,-4.317199,-5.725489
11.151116,6.639807,-4.346379,-5.749881
11.184448,6.52533,-4.217986,-5.638247
11.21998,6.576359,-4.317199,-5.707532
11.251124,6.593568,-4.453075,-5.870044
11.284578,6.389455,-4.247615,-5.846849
11.317775,6.451407,-4.365833,-5.961326
11.351232,6.444822,-4.527148,-6.124138
11.384496,6.17322,-4.305527,-6.415343
11.417795,6.48792,-4.061459,-6.949867
11.45124,6.735878,-4.147803,-6.184743
11.484758,6.857388,-3.924686,-7.289707
11.517853,7.528237,-4.070288,-8.487
11.551116,5.550107,-4.524604,-7.034266
11.585444,5.804949,-4.496621,-7.94215
11.617779,5.392533,-4.157081,-8.30264
11.651115,4.618281,-4.267518,-8.057076
11.688805,3.280772,-3.995167,-7.455212
11.717784,3.305613,-4.243874,-8.659987
11.751195,1.448394,-3.671939,-3.688699
11.784469,-2.009256,-2.407456,-4.833766
11.817868,-1.280195,-3.972571,-6.538349
11.851183,1.331523,-3.446576,-8.607013
11.884556,1.654003,-4.28727,-8.795863
11.917845,-0.253645,-3.990678,-7.966542
11.951107,-0.224614,-4.25405,-7.937511
11.984534,0.981059,-4.347726,-8.670013
12.017776,1.979028,-4.044101,-9.035591
12.050611,1.54656,-4.092884,-8.774015
12.084445,1.000513,-4.56426,-8.533688
12.117965,1.014579,-4.473277,-8.478171
12.1512,1.551049,-4.339795,-8.56661
12.184485,1.66807,-4.276346,-8.605517
12.217815,1.560477,-4.528944,-8.118728
12.251114,1.330625,-4.542262,-8.494482
12.284092,1.485057,-4.590746,-8.136686
12.317881,1.715806,-4.637136,-8.246374
12.351275,1.6136,-4.390973,-8.331072
12.384663,1.649065,-4.595685,-7.326668
12.417854,1.841656,-4.338897,-7.408224
12.451107,1.787335,-4.282781,-7.883939
12.484443,2.603937,-3.841933,-6.338726
12.518209,2.944075,-5.466457,-7.648251
12.551176,2.845012,-2.187481,-4.563811
12.584586,4.093034,-6.339175,-7.814654
12.617813,6.695774,-4.596882,-8.292913
12.651154,6.175016,-5.445357,-7.427528
12.686194,5.898925,-5.666679,-6.949269
12.717778,4.803539,-3.90613,-3.722817
12.751068,5.542625,-3.413505,-2.713027
12.788329,19.636147,-14.549335,-7.939157
12.817781,5.551005,-4.657038,-6.57172
12.851335,4.796206,-5.2809,-5.614304
12.884443,7.369466,-4.159475,-5.308284
12.91778,7.278184,-4.229957,-5.540231
12.951135,6.749944,-4.260484,-5.329683
12.984684,6.762065,-4.351617,-4.528794
13.018032,6.989672,-3.944887,-4.747123
13.051116,6.817284,-4.148851,-5.330431
13.084538,6.742762,-4.309867,-5.256358
13.117822,6.796633,-4.634292,-5.365298
13.151108,6.796633,-4.563511,-5.471694
13.184452,6.77269,-4.521162,-5.374277
13.217933,6.826113,-4.583264,-5.328935
13.251201,6.775833,-4.588951,-5.500875
13.28468,6.690835,-4.631898,-5.52811
13.317878,6.792293,-4.713154,-5.618195
13.351167,6.363417,-4.79037,-6.262557
13.384485,6.277821,-4.648209,-6.188634
13.41781,6.476696,-4.552438,-6.620952
13.451197,6.689638,-4.166509,-6.798878
13.484676,6.903029,-4.141817,-7.99228
13.517889,6.838533,-4.020307,-7.340585
13.551122,5.335669,-5.158791,-7.914017
13.584604,4.936122,-4.463101,-8.178885
13.617989,5.141732,-4.146905,-7.729806
13.651109,4.577278,-3.99846,-7.434711
13.684442,3.473362,-4.108896,-8.485803
13.718546,1.032686,-4.17444,-2.258411
13.751248,-1.267326,-2.056693,-2.457885
13.789264,-0.195284,-4.146905,-8.799454
13.817793,1.747231,-3.147141,-9.565925
13.850912,2.457736,-4.330068,-9.028109
13.884879,0.935418,-3.656675,-8.826689
13.917775,-0.697935,-3.555067,-8.084161
13.951475,0.056565,-3.655478,-8.310421
13.984655,1.132498,-3.526336,-9.020926
14.017995,1.117833,-3.591131,-9.242846
