Clock Time (s),Elapsed Time (s),mmr,mmtheta,mmphi,ggx,ggy,ggz,aax,aay,aaz,
0.0,0.0,34.58091602551965,6.15102711681743,2.877769124302633,0.011983,-0.063213,0.055023,2.697164,-4.784684,-8.149555,
0.1,0.1,34.71542230404399,6.185165877357164,2.8778727183974184,-0.105134,-0.055295,0.003151,2.691478,-4.597331,-8.019665,
0.2,0.2,35.976981080082496,6.20772768203332,2.893124647897857,-0.184032,-0.038791,0.041567,2.713027,-4.67724,-8.072489,
0.3,0.3,35.852565738261774,6.212545170639382,2.9091635507511824,-0.394526,-0.045638,0.138114,2.597502,-4.506647,-7.96295,
0.4,0.4,35.72351256456761,6.199982011007035,2.8858364722999448,-0.081355,0.022745,0.036071,2.579695,-4.440505,-7.991083,
0.5,0.5,34.97613175790539,6.2399841707263635,2.9095046957752575,-0.232588,0.059353,0.069599,2.630573,-4.654943,-8.054083,
0.6,0.6,34.88843930989155,6.167230153514321,2.920392393291713,-0.539673,-0.058487,0.081458,2.90861,-4.873721,-7.870022,
0.7,0.7,34.4565274222418,6.1764300002952295,2.940247474312257,0.336545,-0.185133,0.006731,2.755226,-4.967248,-7.905487,
0.8,0.8,35.284935319808,6.114713355359426,2.936466486754419,0.01807,0.131667,-0.265655,2.918786,-4.980267,-7.578218,
0.9,0.9,35.31693550458795,6.061780772674556,2.917102826186664,0.108334,0.027221,-0.061713,3.156718,-5.430692,-7.612636,
1.0,1.0,35.723042369656156,6.068887333624476,2.889536499059627,-0.127277,0.020779,-0.023789,4.206314,-5.300054,-7.660222,
1.1,1.1,35.83860972668895,5.988208438335279,2.832158316200425,0.174557,0.054659,-0.080226,2.574607,-3.336289,-3.822031,
1.2,1.2,36.32150803212986,6.045937156567274,2.6610181484893416,1.085937,-0.018662,-0.261363,7.008827,-6.662403,-8.412926,
1.3,1.3,37.35716175481871,6.095656936922219,2.419691423740201,2.021774,0.160797,-0.204525,5.672665,-3.778335,-3.225554,
1.4,1.4,37.843797329305566,6.1063684950047055,2.29811161620493,0.932968,0.150354,-0.24062,5.871989,-6.041834,-5.856576,
1.5,1.5,38.017418963445124,6.123030428266614,2.29233424475497,1.786569,-0.073841,-0.450152,7.11223,-5.091601,-4.956773,
1.6,1.6,37.58476563112089,6.134766353392249,2.299005652566526,0.136764,0.171433,0.081343,6.76865,-4.766128,-4.900657,
1.7,1.7,37.58234663960073,6.141041267970945,2.301981091453037,-0.042895,0.040746,-0.134761,6.834942,-5.043865,-5.106715,
1.8,1.8,37.49513334863268,6.169169490009477,2.3087741319576263,-0.273049,-0.037415,0.000314,6.691135,-4.793213,-4.813714,
1.9,1.9,37.67487157314128,6.216466969674061,2.374484003906306,-0.26996,-0.165751,-0.000946,6.700113,-4.982811,-5.003013,
2.0,2.0,36.73683904034925,6.218333986822155,2.491710490861817,-0.245348,-0.200543,0.004956,6.617959,-5.002115,-5.106117,
