time,mx,my,mz
3.312711,27.994144,-3.895931,-24.703339
3.337275,28.161148,-3.761391,-24.376358
3.365214,27.910645,-3.643669,-24.261917
3.390359,27.710243,-3.610031,-24.327316
3.414826,27.610043,-3.677303,-24.392708
3.441801,27.643448,-3.744572,-24.686981
3.468271,27.576649,-3.879112,-24.78508
3.492554,27.676846,-3.811844,-24.883171
3.518156,27.994148,-3.660484,-24.93222
3.545117,27.960751,-3.660484,-24.834122
3.570419,27.793747,-3.458675,-24.964912
3.600296,27.843849,-3.307316,-24.98127
3.622119,27.893951,-3.290501,-25.226494
3.647512,27.726948,-3.425037,-25.193794
3.67545,27.910648,-3.172775,-25.406326
3.698853,27.94405,-3.307316,-25.275543
3.725025,27.793747,-3.256863,-25.357285
3.751038,27.610046,-3.273678,-25.373627
3.776983,27.376247,-3.071869,-25.569809
3.803243,27.376247,-2.970963,-25.635201
3.831671,27.309444,-2.466442,-25.765984
3.854871,27.058945,-2.046005,-26.174698
3.881584,26.825134,-1.877831,-26.207405
3.907118,26.641434,-1.625568,-26.58342
3.932214,26.140427,-1.423759,-27.041183
3.959598,25.555916,-1.373306,-27.253716
3.984071,24.837807,-1.356491,-27.66243
4.010136,23.60199,-1.255589,-28.414474
4.037719,22.115669,-1.272408,-28.92128
4.064718,20.195145,-1.423767,-29.755058
4.088043,17.990711,-1.390133,-31.226433
4.114302,15.719482,-1.457401,-32.174652
4.141003,13.164345,-1.642395,-33.237312
4.165104,10.976616,-1.423767,-33.842209
4.19145,9.156288,-0.936062,-34.152824
4.21728,7.669975,-0.381084,-34.234566
4.24453,6.617859,-0.128822,-34.218208
4.270375,6.46756,0.291611,-33.940277
4.296802,6.333961,0.426155,-34.169159
4.32068,6.30056,0.190712,-34.169159
4.346768,6.63456,-0.246544,-34.169159
4.373564,6.834961,-0.381084,-34.07106
4.398649,7.168968,-0.481987,-33.972969
4.424273,7.38607,-0.734253,-33.793137
4.450725,7.619865,-0.86879,-33.793137
4.4758,7.836967,-1.18832,-33.711395
4.502117,8.221077,-1.440582,-33.662346
4.530699,8.271179,-1.5583,-33.744087
4.553592,8.371384,-1.625565,-33.744087
4.579683,8.454887,-1.709656,-33.727737
4.608248,8.404785,-1.423759,-33.678696
4.631674,8.237785,-1.491032,-33.87487
4.657084,8.137589,-1.356491,-33.842171
4.684717,8.087486,-1.541485,-34.054703
4.708984,8.120888,-1.440582,-34.316292
4.735225,8.304588,-1.457397,-34.528824
4.763624,8.371391,-1.356491,-34.528824
4.78664,8.304588,-1.423767,-34.626923
4.812908,8.287895,-1.33968,-34.577873
4.84031,8.304588,-1.020145,-34.430733
4.864486,8.00399,-1.121048,-34.234543
4.891215,8.070786,-1.221954,-34.038345
4.917278,8.154289,-1.23877,-33.923904
4.941971,8.471581,-1.390121,-33.972954
4.969176,8.655289,-1.978733,-33.662338
5.004697,9.139595,-1.961918,-33.744072
5.018953,9.507004,-2.130093,-33.907562
5.045883,10.141617,-2.432804,-33.972954
5.07301,10.542427,-2.230991,-33.809464
5.097125,11.394142,-2.348713,-33.858513
5.122653,12.379456,-2.634609,-33.449799
5.149927,13.531769,-2.516888,-33.008377
5.175316,14.550484,-2.735512,-32.730453
5.201001,16.203804,-3.155945,-31.929367
5.226818,17.740223,-3.155949,-31.438911
5.253255,19.410244,-3.458664,-30.752266
5.278042,21.09697,-3.576385,-29.624214
5.305031,23.167801,-3.475483,-28.381721
5.330185,25.054928,-3.458664,-27.286362
5.355251,26.390945,-3.525932,-25.913078
5.382732,27.32616,-3.425026,-24.997551
5.406808,28.06097,-3.525932,-24.507088
5.433081,28.695576,-3.593201,-23.820442
5.459194,28.762379,-3.425026,-23.755051
5.484535,29.346889,-3.509109,-23.64061
5.510456,29.513889,-3.710922,-23.771393
5.538381,29.61409,-3.744556,-23.934883
5.562914,29.213284,-4.047272,-24.163765
5.588123,29.113083,-4.080906,-24.032974
5.618115,28.545277,-4.047272,-24.261856
5.640023,28.361572,-3.559566,-24.343597
5.665525,28.311474,-3.61002,-24.261856
5.692204,28.261372,-3.155949,-24.409004
5.717593,28.111069,-3.004593,-24.686935
5.743498,28.39497,-2.853241,-24.572495
5.770813,28.394974,-2.920506,-24.605179
5.796619,28.378273,-2.80278,-24.523445
5.82202,28.561974,-2.987774,-24.376312
5.849869,28.545273,-3.105495,-24.261871
5.876828,28.294769,-2.886868,-24.572502
5.899672,28.31147,-2.903687,-24.621552
5.926133,28.227966,-2.61779,-25.161057
5.950506,28.060966,-2.214172,-25.193756
5.977811,28.010864,-2.096451,-25.079315
6.003708,28.044266,-1.961914,-25.013924
6.029441,28.077667,-1.558296,-25.112015
6.055395,27.726959,-1.507843,-25.095673
6.087343,27.426357,-1.306038,-25.455338
6.10659,27.00885,-0.919235,-25.831352
6.13275,26.591347,-0.700611,-26.141975
6.15877,25.906635,-0.280174,-26.55069
6.18519,25.62273,-0.06155,-26.599739
6.210146,25.30542,0.123444,-27.041153
6.237018,24.570614,0.358887,-27.76049
6.263264,23.234596,0.291622,-28.610626
6.288716,21.898579,0.157082,-29.166473
6.315786,19.994751,0.560699,-30.245491
6.339963,17.573219,0.611153,-31.438934
6.366261,15.068184,0.51025,-32.32177
6.392045,12.396141,0.812965,-33.106499
6.417961,9.80761,1.098862,-33.678703
6.443881,7.536377,1.267033,-33.842194
6.470158,5.749451,1.653835,-33.695061
6.495048,4.496941,2.040634,-33.711411
6.522121,4.162933,2.309708,-33.58062
6.549362,3.712029,2.259258,-33.368088
6.572859,3.57843,2.259262,-33.662361
6.599483,3.528336,2.410622,-33.678703
6.626291,3.695335,2.343353,-33.711395
6.650128,3.712036,2.124725,-33.531563
6.676605,4.279839,1.92292,-33.662346
6.701275,4.630547,1.670654,-33.711395
6.727989,5.148254,1.182949,-33.629646
6.753573,5.348656,0.98114,-33.662346
6.782528,5.498962,0.829788,-33.678696
6.805414,5.432167,0.762512,-33.842178
6.831613,5.66597,0.594341,-33.35173
6.858299,5.78286,0.510254,-33.564255
6.8832,5.949867,0.173904,-33.727737
6.9091,6.267174,-0.078362,-33.744087
6.936663,6.667984,-0.212902,-33.809479
6.960605,6.684685,-0.532433,-34.022018
6.987024,6.951889,-0.969681,-33.760445
7.014426,7.15229,-0.969681,-33.596954
7.038518,7.269188,-1.390118,-33.842178
7.064373,7.519691,-1.642376,-33.564255
7.091579,8.0541,-1.945091,-33.825836
7.115902,8.605217,-2.130085,-33.940277
7.141482,9.289925,-2.651428,-33.760445
7.16752,9.807632,-2.668243,-33.678696
7.195469,10.275238,-2.970959,-33.645988
7.219679,10.676048,-3.071861,-33.547897
7.252249,10.676041,-3.408211,-33.319016
7.272854,10.84304,-3.340942,-33.3517
7.297386,11.126945,-3.626835,-33.36805
7.323894,11.277245,-3.475479,-33.547882
7.350964,11.511047,-3.64365,-33.384392
7.374963,12.062157,-3.626831,-33.237259
7.400871,12.479668,-3.710918,-33.057426
7.428524,13.515076,-3.778183,-32.566971
7.453035,15.018089,-3.979996,-32.141914
7.480625,16.721516,-4.215435,-31.651459
7.506001,18.441639,-4.064079,-31.438919
7.530544,20.495766,-4.450882,-30.50705
7.558027,22.132385,-4.38361,-29.591522
7.583908,23.551907,-4.770412,-28.398064
7.608118,25.255329,-4.602238,-27.024773
7.635009,26.925354,-4.80405,-25.58609
7.661715,28.14447,-4.585423,-24.621529
7.686268,29.213287,-4.450882,-23.902191
7.715189,30.131798,-4.131351,-23.297287
7.738833,30.148495,-3.979996,-23.150139
7.764076,30.198593,-3.963181,-23.26458
7.796201,29.931389,-3.828644,-23.656952
7.816484,29.764389,-3.963181,-23.689651
7.841731,29.463783,-4.064087,-23.853142
7.867008,29.530586,-3.996819,-23.951241
7.895735,29.296783,-3.626831,-24.049332
7.920179,29.580685,-3.64365,-23.804108
7.945812,29.513882,-3.509109,-23.706009
7.971982,29.380276,-3.340935,-24.00029
7.998485,29.296772,-3.189575,-23.951241
8.024097,28.99617,-3.055035,-24.082024
8.04914,28.72897,-2.920494,-24.310905
8.075297,28.578663,-2.870041,-24.621529
8.100394,28.428364,-2.584148,-24.539787
8.126789,28.161163,-2.685059,-24.572479
8.152822,28.344864,-2.80278,-24.52343
8.179039,28.26136,-2.651428,-24.441696
8.204509,28.111061,-2.365528,-24.523445
8.230603,28.211262,-2.466434,-24.327263
