time,aax,aay,aaz,ggx,ggy,ggz,mmx,mmy,mmz,
5.7,1.732865,-3.924536,-8.1099,-0.069575,-0.124069,0.03248,28.311474,-3.61002,-24.261856,
5.8,2.478087,-4.513082,-9.179098,-0.097003,0.061005,-0.008444,28.394974,-2.920506,-24.605179,
5.9,4.343387,-4.584461,-6.852151,-0.215672,-0.118115,0.057804,28.294769,-2.886868,-24.572502,
6.0,2.530612,-3.20625,-1.943114,-0.10454,-0.24997,0.036961,28.060966,-2.214172,-25.193756,
6.1,6.086278,-3.41979,-5.289429,-0.467771,-0.213422,0.190457,27.726959,-1.507843,-25.095673,
6.2,6.102739,-3.981999,-5.814227,-1.340085,-0.149332,0.389271,25.906635,-0.280174,-26.55069,
6.3,6.314783,-4.063554,-5.74614,-1.856884,-0.062125,0.558733,23.234596,0.291622,-28.610626,
6.4,6.534459,-4.386334,-5.870194,-2.815762,0.173242,0.871001,15.068184,0.51025,-32.32177,
6.5,6.304158,-4.180725,-5.675957,-0.606814,-0.251289,-0.086343,5.749451,1.653835,-33.695061,
6.6,6.659859,-3.832655,-5.869296,-0.155901,-0.051504,0.052181,3.57843,2.259262,-33.662361,
6.7,6.59237,-3.895056,-5.751676,-0.079157,0.079573,0.033779,3.712036,2.124725,-33.531563,
6.8,6.551368,-4.039013,-6.040786,0.023442,-0.000905,-0.015153,5.348656,0.98114,-33.662346,
6.9,6.647888,-3.835947,-6.361621,0.177827,0.054855,-0.041574,5.78286,0.510254,-33.564255,
7.0,6.516501,-3.925134,-7.290904,0.261508,0.123009,-0.108014,6.684685,-0.532433,-34.022018,
7.1,5.697356,-3.87261,-8.031038,0.317755,0.196269,-0.131206,7.519691,-1.642376,-33.564255,
7.2,4.711658,-3.43266,-8.579629,0.242633,0.212423,-0.219244,9.807632,-2.668243,-33.678696,
7.3,3.324019,-4.410427,-10.710245,0.694414,0.21269,-0.421624,10.676041,-3.408211,-33.319016,
7.4,1.401556,-2.031852,-9.156353,2.056537,0.341865,-0.566111,11.511047,-3.64365,-33.384392,
7.5,-0.568494,-3.272991,-8.299347,1.781289,0.388831,-0.62897,15.018089,-3.979996,-32.141914,
7.6,0.287015,-3.302021,-8.821152,0.289404,0.559682,-0.751628,22.132385,-4.38361,-29.591522,
7.7,0.866133,-3.601307,-8.917373,-0.305476,-0.254324,0.038691,28.14447,-4.585423,-24.621529,
7.8,0.859399,-3.496407,-8.598035,-0.068189,-0.011189,-0.035345,30.198593,-3.963181,-23.26458,
7.9,0.964,-3.936208,-8.900014,-0.049461,0.072727,0.009273,29.530586,-3.996819,-23.951241,
8.0,1.430886,-3.531125,-8.385542,-0.16896,-0.22784,0.094161,29.380276,-3.340935,-24.00029,
8.1,1.371627,-4.355358,-8.601776,-0.507951,-0.445685,0.157369,28.578663,-2.870041,-24.621529,
8.2,2.014942,-4.76538,-7.99243,-1.225184,-0.20973,0.326339,28.344864,-2.80278,-24.52343,
8.3,2.349394,-4.337401,-7.14156,-2.461629,-0.16759,0.557991,28.311462,-2.096451,-24.686935,
8.4,4.346379,-5.025459,-7.770659,-1.974235,-0.121639,0.443577,28.09436,-0.666969,-24.801376,
8.5,3.112723,-2.591068,-1.887147,-0.821723,-0.99968,-0.276097,26.708237,0.930683,-25.994843,
8.6,4.113535,-5.602782,-5.928105,0.030119,-0.109533,0.216637,22.449677,1.250214,-28.201912,
8.7,6.024924,-4.590597,-5.717558,-0.127854,-0.075079,0.192765,15.185074,1.603378,-31.978447,
8.8,6.395141,-4.369724,-5.899972,0.031078,-0.013945,-0.036217,7.669975,2.107899,-33.286331,
8.9,6.420431,-4.522509,-5.934241,-0.139831,0.045035,-0.006244,6.534355,2.814236,-33.449821,
9.0,6.500939,-4.500811,-5.873785,0.035974,0.022267,-0.052568,6.801552,1.805183,-33.678703,
9.1,6.203598,-4.815061,-6.464126,0.4941,0.328549,-0.067337,7.619865,0.375706,-33.596939,
9.2,6.11875,-4.582366,-6.898241,0.791089,0.296407,-0.332273,7.836975,0.964321,-33.776787,
9.3,5.614154,-3.983346,-7.255289,1.430241,0.218368,-0.489649,8.037376,1.26704,-33.482513,
9.4,4.863695,-4.495424,-7.935117,1.819059,0.205713,-0.523609,8.772179,-0.347435,-33.842194,
9.5,3.061096,-4.435118,-8.07189,1.150575,0.165966,-0.435501,10.375404,-1.692833,-33.776802,
9.6,-2.297468,-2.467762,-4.901555,2.337834,-0.005841,-0.473019,12.162331,-2.449619,-33.564262,
9.7,2.194663,-3.927978,-9.344005,-0.251706,0.090655,0.008674,17.339401,-3.89592,-31.831314,
9.8,1.079674,-3.835199,-8.921862,0.058211,0.049511,0.034172,24.754311,-3.795017,-27.744148,
9.9,0.55323,-4.147504,-8.589505,-0.080948,0.06253,-0.021275,29.497173,-3.189587,-23.264618,
10.0,1.008145,-4.106502,-8.720143,-0.106202,-0.044889,-0.01675,30.08168,-3.105499,-22.43084,
10.1,1.10631,-4.328422,-8.892083,-0.068687,-0.079952,0.044227,30.06498,-3.122314,-23.199226,
10.2,1.389584,-4.313308,-8.587111,-0.042036,-0.228878,0.025457,29.781075,-2.937321,-23.084785,
10.3,1.181581,-4.34623,-7.909677,-0.247253,-0.239775,0.08806,29.697571,-2.113266,-23.166519,
10.4,1.728226,-4.518319,-7.940953,-0.575739,-0.114732,0.15859,28.99617,-2.58416,-23.10112,
10.5,2.173863,-4.140471,-6.73513,-0.9198,-0.137444,0.264088,28.745667,-2.466434,-24.131073,
10.6,4.90769,-5.137093,-7.739832,-1.901974,-0.023864,0.517642,28.528564,-1.306034,-24.834061,
10.7,4.686219,-4.868334,-6.567979,-1.94989,0.261424,0.748398,26.29073,-0.566071,-26.665108,
10.8,20.874144,-13.418932,-3.754691,-0.28884,-0.468855,0.538582,21.865173,-1.020142,-29.722298,
10.9,7.97118,-3.832057,-5.713368,-0.256721,-0.07208,0.095186,15.702778,-1.036957,-32.25634,
11.0,7.091579,-3.952968,-5.152656,0.075686,0.064029,-0.003235,9.005989,-0.381077,-33.776779,
11.1,6.847063,-4.416113,-5.684187,-0.033328,0.053208,-0.001231,7.202354,0.627968,-33.809464,
11.2,6.639807,-4.346379,-5.749881,0.034078,0.09928,-0.024411,7.386063,0.005722,-34.2509,
11.3,6.593568,-4.453075,-5.870044,0.13465,0.140465,-0.053349,7.569763,-0.28017,-33.940277,
11.4,6.444822,-4.527148,-6.124138,0.262919,0.242803,-0.064592,7.920464,-0.3979,-33.793137,
11.5,6.735878,-4.147803,-6.184743,0.247442,0.303995,-0.13602,8.204376,-0.481979,-34.005684,
11.6,5.550107,-4.524604,-7.034266,0.759531,0.094823,-0.266949,8.838989,-0.919235,-33.776802,
11.7,4.618281,-4.267518,-8.057076,1.101883,-0.001772,-0.387767,9.957909,-2.012367,-33.727768,
11.8,1.448394,-3.671939,-3.688699,1.102499,0.332224,-0.601796,12.830345,-2.58416,-33.433487,
11.9,1.331523,-3.446576,-8.607013,1.651754,-0.029774,-0.46692,18.976032,-3.996826,-31.210075,
12.0,-0.224614,-4.25405,-7.937511,0.198107,0.082824,-0.35297,25.739632,-3.576389,-26.943085,
12.1,1.54656,-4.092884,-8.774015,-0.062989,-0.145403,-0.001474,29.614086,-3.542755,-23.771431,
12.2,1.551049,-4.339795,-8.56661,-0.147111,-0.004745,0.010089,29.664188,-2.920502,-23.983963,
