Time,aclx,acly,aclz,gyrx,gyry,gyrz,magr,magphi,magtheta,Is Positive Peak?
0.200000,-0.036296,,,,,,,,,0
2.000000,0.081848,,,,,,,,,1
3.300000,-0.106596,,,,,,,,,0
4.200000,0.115155,,,,,,,,,1
5.400000,-0.114970,,,,,,,,,0
6.700000,0.083975,,,,,,,,,1
7.800000,-0.104315,,,,,,,,,0
9.100000,0.068414,,,,,,,,,1
10.000000,-0.106729,,,,,,,,,0
11.200000,0.148863,,,,,,,,,1
12.200000,-0.090569,,,,,,,,,0
13.400000,0.071588,,,,,,,,,1
14.200000,-0.103258,,,,,,,,,0
15.400000,0.061733,,,,,,,,,1
16.300000,-0.108184,,,,,,,,,0
17.500000,0.104057,,,,,,,,,1
18.400000,-0.102209,,,,,,,,,0
19.600000,0.086003,,,,,,,,,1
20.700000,-0.097127,,,,,,,,,0
21.700000,0.118047,,,,,,,,,1
22.700000,-0.027442,,,,,,,,,0
0.100000,,-0.045240,,,,,,,,1
1.500000,,-0.075798,,,,,,,,1
1.600000,,-0.100848,,,,,,,,0
3.200000,,0.023475,,,,,,,,1
4.000000,,-0.179853,,,,,,,,0
5.400000,,0.083160,,,,,,,,1
6.600000,,0.016980,,,,,,,,0
7.500000,,0.102468,,,,,,,,1
9.000000,,-0.055187,,,,,,,,0
10.000000,,0.040594,,,,,,,,1
10.500000,,-0.164530,,,,,,,,0
11.000000,,-0.159411,,,,,,,,0
12.300000,,0.040197,,,,,,,,1
13.300000,,-0.048032,,,,,,,,0
14.200000,,0.075095,,,,,,,,1
15.400000,,-0.002292,,,,,,,,0
16.300000,,0.094371,,,,,,,,1
17.200000,,-0.102234,,,,,,,,0
18.400000,,0.106295,,,,,,,,1
19.900000,,-0.017508,,,,,,,,0
20.900000,,0.121050,,,,,,,,1
21.700000,,-0.010723,,,,,,,,0
21.800000,,0.045012,,,,,,,,1
22.700000,,0.003434,,,,,,,,0
0.000000,,,-0.048411,,,,,,,0
1.700000,,,0.129727,,,,,,,1
3.500000,,,-0.117099,,,,,,,0
4.300000,,,0.082069,,,,,,,1
5.300000,,,-0.115450,,,,,,,0
6.400000,,,0.115338,,,,,,,1
7.700000,,,-0.117313,,,,,,,0
8.900000,,,0.099311,,,,,,,1
10.100000,,,-0.101387,,,,,,,0
11.200000,,,0.104282,,,,,,,1
12.300000,,,-0.057152,,,,,,,0
13.000000,,,0.106796,,,,,,,1
14.300000,,,-0.085504,,,,,,,0
15.300000,,,0.070380,,,,,,,1
16.400000,,,-0.094071,,,,,,,0
17.700000,,,0.074842,,,,,,,1
18.500000,,,-0.095107,,,,,,,0
19.500000,,,0.112322,,,,,,,1
20.500000,,,-0.111242,,,,,,,0
21.700000,,,0.099191,,,,,,,1
22.700000,,,-0.050988,,,,,,,0
0.300000,,,,-0.019950,,,,,,0
1.300000,,,,0.083558,,,,,,1
2.200000,,,,-0.080864,,,,,,0
