Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.092105,,0.011570,,,,,,,,,-0.015035,,,,,,,,,0.073030,,,,,,,,,0.065543,,,,,,,,,-0.027460,,,,,,,,,0.036610,,,,,,,,,0.000000,,,,,,,,,0.041656,,,,,,,,,0.001343,,,,,,,,
0.105263,,0.013391,,,,,,,,,-0.004607,,,,,,,,,0.040514,,,,,,,,,0.066874,,,,,,,,,-0.062151,,,,,,,,,0.024867,,,,,,,,,0.000000,,,,,,,,,0.034055,,,,,,,,,-0.005942,,,,,,,,
0.118421,,0.023539,,,,,,,,,0.005869,,,,,,,,,0.002184,,,,,,,,,0.057854,,,,,,,,,-0.059637,,,,,,,,,0.005928,,,,,,,,,0.000000,,,,,,,,,0.028664,,,,,,,,,-0.015973,,,,,,,,
0.131579,,0.030190,,,,,,,,,0.014175,,,,,,,,,-0.022625,,,,,,,,,0.046764,,,,,,,,,-0.040281,,,,,,,,,-0.017178,,,,,,,,,0.000000,,,,,,,,,0.020348,,,,,,,,,-0.025684,,,,,,,,
0.144737,,0.036695,,,,,,,,,0.021287,,,,,,,,,-0.038990,,,,,,,,,0.034934,,,,,,,,,-0.020170,,,,,,,,,-0.035359,,,,,,,,,0.000000,,,,,,,,,0.014714,,,,,,,,,-0.034386,,,,,,,,
0.157895,,0.041777,,,,,,,,,0.025798,,,,,,,,,-0.041085,,,,,,,,,0.024583,,,,,,,,,0.001952,,,,,,,,,-0.045965,,,,,,,,,0.000000,,,,,,,,,0.012484,,,,,,,,,-0.041254,,,,,,,,
0.171053,,0.038744,,,,,,,,,0.033355,,,,,,,,,-0.041482,,,,,,,,,0.014972,,,,,,,,,0.001700,,,,,,,,,-0.031193,,,,,,,,,0.000000,,,,,,,,,0.006283,,,,,,,,,-0.046173,,,,,,,,
0.184211,,0.042581,,,,,,,,,0.037267,,,,,,,,,-0.020816,,,,,,,,,0.007726,,,,,,,,,-0.017656,,,,,,,,,-0.011117,,,,,,,,,0.000000,,,,,,,,,0.002644,,,,,,,,,-0.051481,,,,,,,,
0.197368,,0.049500,,,,,,,,,0.038465,,,,,,,,,-0.003449,,,,,,,,,0.005804,,,,,,,,,-0.000059,,,,,,,,,0.008958,,,,,,,,,0.000000,,,,,,,,,0.003128,,,,,,,,,-0.056751,,,,,,,,
0.210526,,0.051525,,,,,,,,,0.040337,,,,,,,,,0.009719,,,,,,,,,0.006839,,,,,,,,,0.038905,,,,,,,,,0.019943,,,,,,,,,0.000000,,,,,,,,,0.000591,,,,,,,,,-0.058139,,,,,,,,
