Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.300000,,0.782414,,,,,,1.051210,,,,,,-1.524553,,,,,,-0.865594,,,,,,0.924670,,,,,,0.454068,,,,,,0.000000,,,,,,-0.496740,,,,,,-0.858172,,,,,
0.400000,,0.686492,,,,,,0.874618,,,,,,-1.173937,,,,,,-1.107672,,,,,,0.383178,,,,,,0.290883,,,,,,0.000000,,,,,,-0.334774,,,,,,-0.677757,,,,,
0.500000,,0.645268,,,,,,0.634906,,,,,,-0.661995,,,,,,-1.372047,,,,,,0.323614,,,,,,0.323520,,,,,,0.000000,,,,,,-0.055394,,,,,,-0.543161,,,,,
0.600000,,0.588154,,,,,,0.309703,,,,,,-0.309880,,,,,,-1.668274,,,,,,0.502306,,,,,,0.299042,,,,,,0.000000,,,,,,0.205363,,,,,,-0.355903,,,,,
0.700000,,0.482033,,,,,,-0.047875,,,,,,-0.063887,,,,,,-1.897611,,,,,,1.374109,,,,,,-0.321063,,,,,,0.000000,,,,,,0.489043,,,,,,-0.144476,,,,,
0.800000,,0.275203,,,,,,-0.442112,,,,,,0.111782,,,,,,-1.919908,,,,,,1.514897,,,,,,-0.557682,,,,,,0.000000,,,,,,0.752361,,,,,,0.097921,,,,,
0.900000,,0.112042,,,,,,-0.846268,,,,,,0.531680,,,,,,-1.881685,,,,,,0.897596,,,,,,-0.614797,,,,,,0.000000,,,,,,0.973165,,,,,,0.330785,,,,,
1.000000,,0.079923,,,,,,-1.214561,,,,,,0.809617,,,,,,-1.728793,,,,,,0.626850,,,,,,-0.370019,,,,,,0.000000,,,,,,1.203587,,,,,,0.529487,,,,,
1.100000,,0.112492,,,,,,-1.520113,,,,,,0.521290,,,,,,-1.614125,,,,,,0.865106,,,,,,-0.231311,,,,,,0.000000,,,,,,1.406548,,,,,,0.708219,,,,,
1.200000,,-0.001809,,,,,,-1.835144,,,,,,0.001256,,,,,,-1.531309,,,,,,1.200831,,,,,,-0.133400,,,,,,0.000000,,,,,,1.583667,,,,,,0.905224,,,,,
1.300000,,-0.093255,,,,,,-2.113543,,,,,,-0.543315,,,,,,-1.333824,,,,,,1.032969,,,,,,-0.182356,,,,,,0.000000,,,,,,1.703998,,,,,,1.129636,,,,,
1.400000,,-0.156905,,,,,,-2.319281,,,,,,-0.820688,,,,,,-1.002559,,,,,,1.011309,,,,,,-0.345541,,,,,,0.000000,,,,,,1.814369,,,,,,1.281239,,,,,
1.500000,,-0.237316,,,,,,-2.476829,,,,,,-0.950010,,,,,,-0.626701,,,,,,0.865106,,,,,,-0.174196,,,,,,0.000000,,,,,,1.868024,,,,,,1.405962,,,,,
1.600000,,-0.214140,,,,,,-2.580003,,,,,,-0.853430,,,,,,-0.193509,,,,,,0.188241,,,,,,0.046104,,,,,,0.000000,,,,,,1.938924,,,,,,1.493064,,,,,
1.700000,,-0.207395,,,,,,-2.542071,,,,,,-0.690388,,,,,,0.303388,,,,,,0.107017,,,,,,0.111378,,,,,,0.000000,,,,,,1.947591,,,,,,1.513620,,,,,
1.800000,,-0.197292,,,,,,-2.421451,,,,,,-0.574181,,,,,,0.768432,,,,,,-0.586093,,,,,,0.160334,,,,,,0.000000,,,,,,1.907995,,,,,,1.476184,,,,,
1.900000,,-0.187195,,,,,,-2.249031,,,,,,-0.203300,,,,,,1.204810,,,,,,-1.078851,,,,,,-0.011011,,,,,,0.000000,,,,,,1.808253,,,,,,1.357301,,,,,
2.000000,,-0.102072,,,,,,-2.006842,,,,,,0.129097,,,,,,1.618890,,,,,,-1.614929,,,,,,-0.011011,,,,,,0.000000,,,,,,1.704206,,,,,,1.174547,,,,,
2.100000,,0.090643,,,,,,-1.687780,,,,,,0.241380,,,,,,1.953340,,,,,,-1.901920,,,,,,-0.092604,,,,,,0.000000,,,,,,1.614218,,,,,,0.916275,,,,,
2.200000,,0.306899,,,,,,-1.307829,,,,,,0.270652,,,,,,2.173122,,,,,,-1.847771,,,,,,-0.190515,,,,,,0.000000,,,,,,1.485426,,,,,,0.636769,,,,,
2.300000,,0.467118,,,,,,-0.886855,,,,,,0.028985,,,,,,2.297346,,,,,,-2.042708,,,,,,-0.296585,,,,,,0.000000,,,,,,1.290286,,,,,,0.333837,,,,,
2.400000,,0.607918,,,,,,-0.458297,,,,,,-0.331804,,,,,,2.220900,,,,,,-1.864015,,,,,,-0.418975,,,,,,0.000000,,,,,,1.053508,,,,,,0.003413,,,,,
2.500000,,0.788197,,,,,,-0.057527,,,,,,-1.022408,,,,,,1.972452,,,,,,-1.712398,,,,,,-0.484249,,,,,,0.000000,,,,,,0.842632,,,,,,-0.346100,,,,,
2.600000,,0.967032,,,,,,0.283017,,,,,,-1.520021,,,,,,1.555186,,,,,,-1.181735,,,,,,-0.476090,,,,,,0.000000,,,,,,0.663319,,,,,,-0.659249,,,,,
2.700000,,1.179720,,,,,,0.548823,,,,,,-1.629993,,,,,,1.112438,,,,,,-0.813520,,,,,,-0.231311,,,,,,0.000000,,,,,,0.523033,,,,,,-0.905028,,,,,
0.000000,,,1.201486,,,,,,0.984413,,,,,,-1.442826,,,,,,-0.371883,,,,,,0.892181,,,,,,0.445909,,,,,,0.000000,,,,,,0.051847,,,,,,-1.068823,,,,
0.100000,,,1.041520,,,,,,0.914325,,,,,,-1.059331,,,,,,-0.655369,,,,,,1.276640,,,,,,0.135856,,,,,,0.000000,,,,,,0.046924,,,,,,-0.931520,,,,
0.200000,,,0.774758,,,,,,0.797496,,,,,,-0.913250,,,,,,-0.954781,,,,,,1.650270,,,,,,-0.304745,,,,,,0.000000,,,,,,0.054194,,,,,,-0.740477,,,,
0.300000,,,0.452446,,,,,,0.611289,,,,,,-0.732164,,,,,,-1.200044,,,,,,1.596121,,,,,,-0.663753,,,,,,0.000000,,,,,,0.049159,,,,,,-0.528134,,,,
0.400000,,,0.180597,,,,,,0.340104,,,,,,-0.136476,,,,,,-1.435752,,,,,,1.828963,,,,,,-1.006443,,,,,,0.000000,,,,,,0.132482,,,,,,-0.302089,,,,
0.500000,,,-0.131980,,,,,,0.014446,,,,,,0.220137,,,,,,-1.633236,,,,,,1.791058,,,,,,-1.153310,,,,,,0.000000,,,,,,0.273597,,,,,,-0.048117,,,,
0.600000,,,-0.413134,,,,,,-0.302063,,,,,,0.526627,,,,,,-1.824350,,,,,,1.552802,,,,,,-1.047239,,,,,,0.000000,,,,,,0.420346,,,,,,0.175003,,,,
0.700000,,,-0.689568,,,,,,-0.656729,,,,,,1.014751,,,,,,-1.856203,,,,,,1.498652,,,,,,-0.973806,,,,,,0.000000,,,,,,0.558518,,,,,,0.421700,,,,
