time,x,y,z
11:08:42:4,0.09,-0.01,0.93
11:08:42:4,0.10,0.00,0.95
11:08:42:4,0.11,0.02,0.94
11:08:42:4,0.15,0.03,0.88
11:08:42:4,0.14,0.03,0.89
11:08:42:4,0.11,0.03,0.90
11:08:42:4,0.09,0.03,0.91
11:08:42:4,0.07,0.04,0.92
11:08:42:4,0.06,0.03,0.92
11:08:42:4,0.04,0.02,0.93
11:08:42:5,0.03,0.01,0.92
11:08:42:5,0.02,-0.00,0.92
11:08:42:5,0.02,-0.00,0.91
11:08:42:5,0.02,-0.01,0.90
11:08:42:5,0.02,-0.02,0.90
11:08:42:5,0.02,-0.02,0.89
11:08:42:5,0.03,-0.02,0.90
11:08:42:5,0.03,-0.02,0.91
11:08:42:5,0.03,-0.02,0.91
11:08:42:5,0.03,-0.01,0.91
11:08:42:5,0.04,-0.01,0.92
11:08:42:5,0.03,-0.00,0.91
11:08:42:5,0.04,0.00,0.91
11:08:42:5,0.03,0.01,0.90
11:08:42:5,0.04,0.01,0.90
11:08:42:5,0.04,0.01,0.91
11:08:42:5,0.04,0.01,0.91
11:08:42:5,0.03,0.02,0.91
11:08:42:5,0.03,0.01,0.91
11:08:42:5,0.03,0.01,0.91
11:08:42:5,0.03,0.01,0.91
11:08:42:5,0.03,0.00,0.91
11:08:42:5,0.03,-0.00,0.91
11:08:42:6,0.04,-0.01,0.92
11:08:42:6,0.04,-0.00,0.92
11:08:42:6,0.03,-0.00,0.92
11:08:42:6,0.03,-0.01,0.92
11:08:42:6,0.03,-0.00,0.92
11:08:42:6,0.03,-0.01,0.93
11:08:42:6,0.02,-0.00,0.93
11:08:42:6,0.02,0.00,0.92
11:08:42:6,0.02,0.00,0.92
11:08:42:6,0.02,0.00,0.92
11:08:42:6,0.02,0.00,0.92
11:08:42:6,0.02,0.00,0.92
11:08:42:6,0.02,-0.00,0.92
11:08:42:6,0.02,0.00,0.93
11:08:42:6,0.02,0.00,0.93
11:08:42:6,0.03,-0.00,0.92
11:08:42:6,0.03,-0.00,0.92
11:08:42:6,0.04,-0.00,0.92
11:08:42:7,0.03,-0.01,0.93
11:08:42:7,0.04,0.00,0.93
11:08:42:7,0.04,0.00,0.93
11:08:42:7,0.04,0.00,0.93
11:08:42:7,0.03,0.00,0.93
11:08:42:7,0.03,0.00,0.93
11:08:42:7,0.03,-0.00,0.93
11:08:42:7,0.03,0.00,0.92
11:08:42:7,0.03,-0.00,0.93
11:08:42:7,0.03,-0.00,0.93
11:08:42:7,0.03,-0.01,0.93
11:08:42:7,0.03,-0.01,0.93
11:08:42:7,0.03,-0.01,0.92
11:08:42:7,0.03,-0.01,0.92
11:08:42:7,0.03,-0.01,0.93
11:08:42:7,0.03,-0.01,0.94
11:08:42:7,0.03,-0.01,0.93
11:08:42:8,0.04,-0.01,0.93
11:08:42:8,0.04,-0.01,0.93
11:08:42:8,0.04,-0.01,0.93
11:08:42:8,0.03,-0.01,0.92
11:08:42:8,0.03,-0.00,0.93
11:08:42:8,0.04,-0.01,0.92
