Time,Column,Value,Is Positive Peak
40127.400000,acly,-0.011075,0
40127.400000,aclz,-0.008654,1
40127.400000,gyrx,0.000580,1
40127.400000,magphi,-0.084306,1
40127.500000,aclx,-0.067289,1
40127.500000,gyrz,0.006044,1
40127.500000,magr,-0.002722,0
40127.500000,magphi,-0.084336,0
40127.500000,magtheta,0.063440,0
40127.600000,aclx,-0.067298,0
40127.600000,acly,-0.010984,1
40127.700000,aclz,-0.009311,0
40127.700000,gyrx,-0.000254,0
40127.800000,aclx,-0.066684,1
40127.800000,aclz,-0.008754,1
40127.800000,gyrx,-0.000210,1
40127.800000,gyry,0.003004,1
40127.900000,aclz,-0.008818,0
40127.900000,gyrx,-0.000459,0
40128.000000,aclz,-0.008503,1
40128.000000,gyry,0.001100,0
40128.100000,gyrx,0.000380,1
40128.100000,gyry,0.001123,1
40128.200000,aclx,-0.067998,0
40128.300000,gyrx,0.000209,0
40128.400000,aclx,-0.067714,1
40128.400000,gyry,-0.000997,0
40128.400000,gyrz,-0.012383,0
40128.400000,magtheta,0.064951,1
40128.500000,aclx,-0.068010,0
40128.500000,acly,-0.014760,0
40128.500000,gyrx,0.000620,1
40128.500000,gyry,-0.000354,1
40128.500000,magphi,-0.081089,1
40128.600000,aclz,-0.015741,0
40128.600000,gyrz,-0.007883,1
40128.600000,magr,0.004511,1
40128.700000,magphi,-0.082121,0
40128.900000,gyrx,-0.001754,0
40128.900000,gyry,-0.004862,0
40129.000000,gyry,-0.003403,1
40129.100000,acly,-0.010815,1
40129.100000,aclz,-0.008008,1
40129.200000,aclz,-0.009132,0
40129.200000,gyrx,0.000341,1
40129.200000,gyry,-0.005780,0
40129.500000,magr,-0.002221,0
40129.600000,gyrx,-0.005519,0
40129.600000,gyry,-0.000443,1
40129.700000,aclz,-0.004238,1
40129.700000,gyrz,-0.073794,0
40129.900000,aclz,-0.005268,0
40130.000000,gyry,-0.002071,0
40130.100000,aclz,-0.004206,1
40130.200000,gyrx,-0.001358,1
40130.300000,aclz,-0.004713,0
40130.300000,gyry,-0.000786,1
40130.400000,aclz,-0.003066,1
40130.400000,gyry,-0.001901,0
40130.400000,gyrz,-0.055533,1
40130.500000,aclz,-0.003594,0
40130.500000,gyry,-0.001159,1
40130.500000,gyrz,-0.057620,0
40130.500000,magr,-0.001395,1
40130.600000,gyry,-0.001266,0
40130.600000,magr,-0.004403,0
40130.700000,gyrx,-0.003284,0
40130.800000,gyry,-0.000251,1
40131.000000,gyrx,-0.003084,1
40131.100000,aclz,-0.000380,1
40131.100000,gyrx,-0.003119,0
40131.100000,gyry,-0.000797,0
40131.200000,aclz,-0.000772,0
40131.200000,gyry,-0.000629,1
40131.400000,gyry,-0.001670,0
40131.600000,acly,-0.037959,0
40131.600000,magr,-0.002765,1
40131.700000,gyry,0.000560,1
40131.700000,magr,-0.005711,0
40132.000000,aclz,0.018720,1
40132.000000,gyry,-0.009955,0
40132.000000,gyrz,-0.009915,1
40132.000000,magr,-0.004967,1
40132.100000,magr,-0.007813,0
40132.200000,gyry,-0.004236,1
40132.200000,magphi,0.017805,1
40132.300000,magr,-0.007119,1
40132.400000,gyrx,0.015481,1
40132.400000,gyry,-0.012934,0
40132.400000,magr,-0.009867,0
40132.500000,gyrz,-0.018515,0
40132.600000,aclz,0.004749,0
40132.800000,aclz,0.005724,1
40132.800000,magphi,0.013822,0
40132.900000,aclz,0.005488,0
40132.900000,gyry,-0.005456,1
40132.900000,magphi,0.013835,1
40133.000000,gyrx,0.010536,0
40133.000000,gyry,-0.005484,0
40133.000000,magr,-0.007464,1
40133.100000,aclz,0.009954,1
40133.100000,magr,-0.010196,0
40133.400000,gyrx,0.014301,1
40133.400000,magr,-0.008868,1
40133.500000,magr,-0.011536,0
40133.600000,gyrz,-0.001681,1
40133.700000,aclx,0.008449,1
40133.700000,aclz,-0.007611,0
40133.800000,aclz,-0.007126,1
40133.800000,magr,-0.010033,1
40133.800000,magphi,-0.000687,0
40133.800000,magtheta,-0.011162,0
40133.900000,aclx,0.007091,0
40133.900000,acly,0.009523,1
40133.900000,aclz,-0.008082,0
40133.900000,gyry,0.006540,1
40133.900000,magr,-0.012649,0
40134.000000,gyry,0.004393,0
40134.000000,gyrz,-0.003745,0
40134.100000,aclx,0.008147,1
40134.100000,magr,-0.011525,1
40134.200000,aclx,0.007802,0
40134.200000,gyry,0.009992,1
40134.200000,magr,-0.014073,0
40134.300000,aclx,0.008405,1
40134.300000,gyry,0.009086,0
40134.300000,gyrz,-0.002098,1
40134.300000,magr,-0.007290,1
40134.400000,magr,-0.010030,0
40134.600000,gyry,0.015092,1
40134.700000,gyrx,-0.015547,0
40134.700000,gyrz,-0.005541,0
40134.900000,gyry,0.010650,0
40135.000000,gyry,0.013384,1
40135.000000,magr,-0.007587,1
40135.100000,acly,-0.018280,0
40135.100000,aclz,0.027349,1
40135.100000,magr,-0.010314,0
40135.100000,magphi,0.021621,1
40135.200000,magtheta,0.006155,1
40135.300000,gyrz,0.011128,1
40135.500000,aclx,-0.003556,0
40135.500000,gyrx,0.010813,1
40135.600000,gyrz,0.005838,0
40135.700000,aclz,0.007783,0
40135.700000,magr,-0.002205,1
40135.800000,gyry,-0.007580,0
40135.800000,magr,-0.005176,0
40135.900000,aclz,0.008478,1
40135.900000,gyry,-0.006930,1
40136.000000,aclz,0.008271,0
40136.000000,gyry,-0.006950,0
40136.100000,aclz,0.009793,1
40136.100000,gyrz,0.007848,1
40136.100000,magr,0.001641,1
40136.200000,aclz,0.009398,0
40136.200000,gyry,-0.005840,1
40136.200000,gyrz,0.006319,0
40136.200000,magphi,0.010677,0
40136.300000,gyrx,0.006054,0
40136.300000,gyry,-0.007599,0
40136.300000,gyrz,0.006432,1
40136.300000,magphi,0.010677,1
40136.400000,gyry,-0.004734,1
40136.400000,gyrz,0.006049,0
40136.500000,aclz,0.010260,1
40136.500000,gyry,-0.005844,0
40136.500000,magr,-0.001709,0
40136.700000,magr,-0.001557,1
40136.800000,gyrx,0.010027,1
40136.800000,magr,-0.004558,0
40136.900000,aclx,0.017321,1
40136.900000,gyrz,0.015624,1
40136.900000,magr,-0.004351,1
40137.000000,aclz,-0.003699,0
