Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,
0.000000,-0.184350,,,,,,,-0.200783,,,,,,,0.139411,,,,,,,-0.001756,,,,,,,0.014421,,,,,,,-0.015791,,,,,,,0.000000,,,,,,,0.197228,,,,,,,0.186008,,,,,,,
0.041667,-0.179635,,,,,,,-0.201362,,,,,,,0.160742,,,,,,,-0.014285,,,,,,,0.003788,,,,,,,0.002906,,,,,,,0.000000,,,,,,,0.197053,,,,,,,0.184992,,,,,,,
0.083333,-0.166211,,,,,,,-0.206082,,,,,,,0.198592,,,,,,,0.002884,,,,,,,-0.013048,,,,,,,0.045837,,,,,,,0.000000,,,,,,,0.199930,,,,,,,0.177018,,,,,,,
0.125000,-0.160671,,,,,,,-0.202955,,,,,,,0.216432,,,,,,,0.058105,,,,,,,-0.036972,,,,,,,0.073535,,,,,,,0.000000,,,,,,,0.198042,,,,,,,0.166162,,,,,,,
0.166667,-0.146845,,,,,,,-0.189999,,,,,,,0.219829,,,,,,,0.122606,,,,,,,-0.080833,,,,,,,0.110235,,,,,,,0.000000,,,,,,,0.188041,,,,,,,0.155461,,,,,,,
0.180556,-0.131039,,,,,,,-0.168722,,,,,,,0.191789,,,,,,,0.182003,,,,,,,-0.102099,,,,,,,0.137240,,,,,,,0.000000,,,,,,,0.172534,,,,,,,0.132117,,,,,,,
0.194444,-0.106851,,,,,,,-0.130040,,,,,,,0.142519,,,,,,,0.223767,,,,,,,-0.128681,,,,,,,0.174633,,,,,,,0.000000,,,,,,,0.139311,,,,,,,0.100131,,,,,,,
0.208333,-0.067126,,,,,,,-0.085530,,,,,,,0.079931,,,,,,,0.231656,,,,,,,-0.164568,,,,,,,0.221027,,,,,,,0.000000,,,,,,,0.097117,,,,,,,0.057878,,,,,,,
0.222222,-0.006863,,,,,,,-0.042862,,,,,,,0.020601,,,,,,,0.220983,,,,,,,-0.178745,,,,,,,0.261881,,,,,,,0.000000,,,,,,,0.047812,,,,,,,0.006184,,,,,,,
0.236111,0.044836,,,,,,,-0.005801,,,,,,,-0.058299,,,,,,,0.199173,,,,,,,-0.247859,,,,,,,0.265343,,,,,,,0.000000,,,,,,,0.002959,,,,,,,-0.044901,,,,,,,
