Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.000000,0.020613,,,,,,,,,-0.041850,,,,,,,,,0.026721,,,,,,,,,-0.001829,,,,,,,,,-0.001860,,,,,,,,,0.002333,,,,,,,,,0.000000,,,,,,,,,0.064896,,,,,,,,,0.010147,,,,,,,,,
0.100000,0.021787,,,,,,,,,-0.040839,,,,,,,,,0.026925,,,,,,,,,-0.003471,,,,,,,,,0.002443,,,,,,,,,0.006845,,,,,,,,,0.000000,,,,,,,,,0.064933,,,,,,,,,0.008973,,,,,,,,,
0.200000,0.020526,,,,,,,,,-0.040206,,,,,,,,,0.031985,,,,,,,,,-0.000186,,,,,,,,,0.004272,,,,,,,,,0.010792,,,,,,,,,0.000000,,,,,,,,,0.064085,,,,,,,,,0.010290,,,,,,,,,
0.300000,0.018274,,,,,,,,,-0.038821,,,,,,,,,0.027875,,,,,,,,,-0.002767,,,,,,,,,-0.004119,,,,,,,,,0.012672,,,,,,,,,0.000000,,,,,,,,,0.062679,,,,,,,,,0.010371,,,,,,,,,
0.400000,0.019872,,,,,,,,,-0.038900,,,,,,,,,0.031621,,,,,,,,,-0.004293,,,,,,,,,-0.009820,,,,,,,,,0.010416,,,,,,,,,0.000000,,,,,,,,,0.062787,,,,,,,,,0.011728,,,,,,,,,
0.500000,0.019710,,,,,,,,,-0.038970,,,,,,,,,0.030463,,,,,,,,,-0.002415,,,,,,,,,-0.011864,,,,,,,,,0.012860,,,,,,,,,0.000000,,,,,,,,,0.062276,,,,,,,,,0.010219,,,,,,,,,
0.600000,0.020233,,,,,,,,,-0.037718,,,,,,,,,0.027175,,,,,,,,,-0.002767,,,,,,,,,-0.015198,,,,,,,,,0.010980,,,,,,,,,0.000000,,,,,,,,,0.061123,,,,,,,,,0.009669,,,,,,,,,
0.700000,0.019620,,,,,,,,,-0.036856,,,,,,,,,0.023973,,,,,,,,,-0.002063,,,,,,,,,-0.017887,,,,,,,,,0.010040,,,,,,,,,0.000000,,,,,,,,,0.059033,,,,,,,,,0.007701,,,,,,,,,
0.800000,0.021506,,,,,,,,,-0.035251,,,,,,,,,0.020220,,,,,,,,,-0.004997,,,,,,,,,-0.019071,,,,,,,,,0.012860,,,,,,,,,0.000000,,,,,,,,,0.057249,,,,,,,,,0.004590,,,,,,,,,
0.900000,0.020655,,,,,,,,,-0.036145,,,,,,,,,0.013511,,,,,,,,,-0.008752,,,,,,,,,-0.021652,,,,,,,,,0.014176,,,,,,,,,0.000000,,,,,,,,,0.055558,,,,,,,,,0.004277,,,,,,,,,
