Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.000000,-0.677176,,,,,,,,,,-0.979814,,,,,,,,,,-1.110108,,,,,,,,,,-0.045445,,,,,,,,,,0.065452,,,,,,,,,,-0.138706,,,,,,,,,,0.000000,,,,,,,,,,0.071856,,,,,,,,,,1.121350,,,,,,,,,,
0.100000,-0.874823,,,,,,,,,,-0.815068,,,,,,,,,,-0.762270,,,,,,,,,,-0.048971,,,,,,,,,,0.003766,,,,,,,,,,-0.138706,,,,,,,,,,0.000000,,,,,,,,,,-0.360268,,,,,,,,,,0.822357,,,,,,,,,,
0.200000,-0.989109,,,,,,,,,,-0.667457,,,,,,,,,,-0.496588,,,,,,,,,,0.154930,,,,,,,,,,-0.206193,,,,,,,,,,-0.049434,,,,,,,,,,0.000000,,,,,,,,,,-0.648769,,,,,,,,,,0.602603,,,,,,,,,,
0.300000,-1.021177,,,,,,,,,,-0.499964,,,,,,,,,,-0.269975,,,,,,,,,,0.367749,,,,,,,,,,-0.345411,,,,,,,,,,0.034428,,,,,,,,,,0.000000,,,,,,,,,,-0.904218,,,,,,,,,,0.377571,,,,,,,,,,
0.400000,-1.081597,,,,,,,,,,-0.372156,,,,,,,,,,-0.059208,,,,,,,,,,0.574346,,,,,,,,,,-0.467651,,,,,,,,,,0.110174,,,,,,,,,,0.000000,,,,,,,,,,-1.146109,,,,,,,,,,0.191842,,,,,,,,,,
0.500000,-1.086023,,,,,,,,,,-0.185237,,,,,,,,,,0.170366,,,,,,,,,,0.777210,,,,,,,,,,-0.572913,,,,,,,,,,0.180510,,,,,,,,,,0.000000,,,,,,,,,,-0.988463,,,,,,,,,,-0.043219,,,,,,,,,,
0.700000,-1.102054,,,,,,,,,,0.012884,,,,,,,,,,0.397845,,,,,,,,,,0.992519,,,,,,,,,,-0.732505,,,,,,,,,,0.267078,,,,,,,,,,0.000000,,,,,,,,,,-0.832243,,,,,,,,,,-0.273113,,,,,,,,,,
0.800000,-1.117746,,,,,,,,,,0.147736,,,,,,,,,,0.596763,,,,,,,,,,1.189159,,,,,,,,,,-0.813998,,,,,,,,,,0.334708,,,,,,,,,,0.000000,,,,,,,,,,-1.238071,,,,,,,,,,-0.511938,,,,,,,,,,
0.900000,-1.179859,,,,,,,,,,0.293769,,,,,,,,,,0.818318,,,,,,,,,,1.383311,,,,,,,,,,-0.878514,,,,,,,,,,0.407749,,,,,,,,,,0.000000,,,,,,,,,,-1.486228,,,,,,,,,,-0.720356,,,,,,,,,,
1.000000,-1.056489,,,,,,,,,,0.542097,,,,,,,,,,1.065245,,,,,,,,,,1.596131,,,,,,,,,,-1.031314,,,,,,,,,,0.491611,,,,,,,,,,0.000000,,,,,,,,,,-1.331419,,,,,,,,,,-0.972998,,,,,,,,,,
