time,x,y,z
14:27:40:4,0.08,-0.01,0.91
14:27:40:4,0.09,-0.00,0.92
14:27:40:4,0.10,0.01,0.93
14:27:40:4,0.12,0.02,0.92
14:27:40:4,0.13,0.03,0.92
14:27:40:4,0.14,0.03,0.89
14:27:40:4,0.15,0.04,0.87
14:27:40:4,0.18,0.05,0.76
14:27:40:4,0.19,0.06,0.76
14:27:40:4,0.19,0.07,0.77
14:27:40:4,0.18,0.09,0.81
14:27:40:4,0.17,0.09,0.85
14:27:40:4,0.17,0.09,0.89
14:27:40:4,0.15,0.08,0.92
14:27:40:4,0.14,0.07,0.93
14:27:40:4,0.12,0.05,0.94
14:27:40:4,0.10,0.02,0.93
14:27:40:4,0.09,0.00,0.91
14:27:40:5,0.07,-0.02,0.89
14:27:40:5,0.06,-0.04,0.88
14:27:40:5,0.05,-0.05,0.88
14:27:40:5,0.05,-0.06,0.89
14:27:40:5,0.05,-0.06,0.91
14:27:40:5,0.05,-0.06,0.93
14:27:40:5,0.05,-0.06,0.94
14:27:40:5,0.05,-0.06,0.97
14:27:40:5,0.05,-0.05,0.97
14:27:40:5,0.06,-0.05,0.97
14:27:40:5,0.06,-0.05,0.96
14:27:40:5,0.07,-0.05,0.95
14:27:40:5,0.08,-0.05,0.93
14:27:40:5,0.08,-0.04,0.92
14:27:40:5,0.09,-0.03,0.91
14:27:40:5,0.10,-0.03,0.92
14:27:40:5,0.10,-0.03,0.92
14:27:40:5,0.11,-0.02,0.93
14:27:40:5,0.11,-0.02,0.93
14:27:40:5,0.11,-0.01,0.94
14:27:40:6,0.11,-0.01,0.94
14:27:40:6,0.11,-0.00,0.94
14:27:40:6,0.11,0.00,0.93
14:27:40:6,0.10,0.00,0.92
14:27:40:6,0.10,0.01,0.91
14:27:40:6,0.10,0.01,0.90
14:27:40:6,0.09,0.01,0.90
14:27:40:6,0.09,0.01,0.88
14:27:40:6,0.09,0.01,0.88
14:27:40:6,0.09,0.01,0.88
14:27:40:6,0.09,0.01,0.86
14:27:40:6,0.09,0.00,0.87
14:27:40:6,0.09,-0.00,0.88
14:27:40:6,0.09,-0.01,0.88
14:27:40:6,0.09,-0.01,0.89
14:27:40:6,0.09,-0.01,0.89
14:27:40:6,0.10,-0.01,0.90
14:27:40:6,0.10,-0.02,0.90
14:27:40:6,0.10,-0.02,0.89
14:27:40:6,0.11,-0.02,0.90
14:27:40:7,0.11,-0.02,0.89
14:27:40:7,0.11,-0.01,0.89
14:27:40:7,0.11,-0.01,0.88
14:27:40:7,0.12,-0.01,0.87
14:27:40:7,0.12,-0.01,0.87
14:27:40:7,0.12,-0.02,0.87
14:27:40:7,0.13,-0.02,0.87
14:27:40:7,0.13,-0.02,0.87
14:27:40:7,0.13,-0.03,0.86
14:27:40:7,0.13,-0.03,0.86
14:27:40:7,0.13,-0.04,0.84
14:27:40:7,0.13,-0.05,0.84
14:27:40:7,0.13,-0.05,0.83
14:27:40:7,0.12,-0.06,0.82
14:27:40:7,0.13,-0.07,0.81
14:27:40:7,0.13,-0.07,0.80
14:27:40:7,0.13,-0.08,0.80
14:27:40:7,0.13,-0.08,0.81
14:27:40:7,0.13,-0.08,0.80
14:27:40:7,0.13,-0.07,0.82
14:27:40:7,0.13,-0.06,0.82
14:27:40:8,0.13,-0.04,0.83
14:27:40:8,0.13,-0.03,0.85
14:27:40:8,0.12,-0.01,0.84
14:27:40:8,0.12,-0.00,0.83
14:27:40:8,0.12,0.01,0.81
14:27:40:8,0.12,0.03,0.81
14:27:40:8,0.11,0.04,0.81
14:27:40:8,0.11,0.04,0.80
14:27:40:8,0.11,0.04,0.79
14:27:40:8,0.11,0.04,0.80
14:27:40:8,0.11,0.03,0.80
14:27:40:8,0.12,0.02,0.81
14:27:40:8,0.11,0.00,0.81
14:27:40:8,0.11,-0.01,0.81
14:27:40:8,0.11,-0.03,0.82
14:27:40:8,0.10,-0.05,0.83
14:27:40:8,0.09,-0.07,0.84
14:27:40:8,0.10,-0.08,0.85
14:27:40:8,0.09,-0.09,0.86
14:27:40:8,0.10,-0.09,0.86
14:27:40:9,0.10,-0.09,0.87
14:27:40:9,0.10,-0.09,0.86
14:27:40:9,0.11,-0.08,0.85
14:27:40:9,0.11,-0.08,0.85
14:27:40:9,0.11,-0.06,0.84
14:27:40:9,0.11,-0.05,0.83
14:27:40:9,0.12,-0.04,0.83
14:27:40:9,0.11,-0.03,0.81
14:27:40:9,0.11,-0.03,0.81
