Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,
0.309524,1.656396,,,,,,,,,,,,,,0.095406,,,,,,,,,,,,,,-1.403616,,,,,,,,,,,,,,-0.448824,,,,,,,,,,,,,,-0.208175,,,,,,,,,,,,,,1.298492,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.086084,,,,,,,,,,,,,,-1.663735,,,,,,,,,,,,,,
0.333333,1.661139,,,,,,,,,,,,,,-0.011138,,,,,,,,,,,,,,-1.480303,,,,,,,,,,,,,,-0.032105,,,,,,,,,,,,,,0.183420,,,,,,,,,,,,,,0.696241,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.005352,,,,,,,,,,,,,,-1.645839,,,,,,,,,,,,,,
0.357143,1.326441,,,,,,,,,,,,,,0.054077,,,,,,,,,,,,,,-1.543878,,,,,,,,,,,,,,0.660239,,,,,,,,,,,,,,1.492917,,,,,,,,,,,,,,0.294741,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.071354,,,,,,,,,,,,,,-1.465573,,,,,,,,,,,,,,
0.380952,0.947778,,,,,,,,,,,,,,0.243668,,,,,,,,,,,,,,-1.224251,,,,,,,,,,,,,,1.339458,,,,,,,,,,,,,,1.687148,,,,,,,,,,,,,,-0.224272,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.049747,,,,,,,,,,,,,,-1.115234,,,,,,,,,,,,,,
0.404762,0.464661,,,,,,,,,,,,,,0.495097,,,,,,,,,,,,,,-1.168092,,,,,,,,,,,,,,1.562583,,,,,,,,,,,,,,1.492917,,,,,,,,,,,,,,-0.248754,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.102895,,,,,,,,,,,,,,-0.635927,,,,,,,,,,,,,,
0.428571,0.131089,,,,,,,,,,,,,,0.773198,,,,,,,,,,,,,,-0.942285,,,,,,,,,,,,,,1.601958,,,,,,,,,,,,,,1.326880,,,,,,,,,,,,,,-0.273235,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.349683,,,,,,,,,,,,,,-0.261457,,,,,,,,,,,,,,
0.452381,-0.213435,,,,,,,,,,,,,,1.082720,,,,,,,,,,,,,,-0.791684,,,,,,,,,,,,,,1.582271,,,,,,,,,,,,,,1.430262,,,,,,,,,,,,,,-0.478882,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.649385,,,,,,,,,,,,,,0.078717,,,,,,,,,,,,,,
0.476190,-0.571648,,,,,,,,,,,,,,1.386774,,,,,,,,,,,,,,-0.693211,,,,,,,,,,,,,,1.198364,,,,,,,,,,,,,,0.888293,,,,,,,,,,,,,,-0.518053,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.928887,,,,,,,,,,,,,,0.392321,,,,,,,,,,,,,,
0.500000,-0.753436,,,,,,,,,,,,,,1.619070,,,,,,,,,,,,,,-0.506890,,,,,,,,,,,,,,0.486333,,,,,,,,,,,,,,0.418378,,,,,,,,,,,,,,-0.537638,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.161315,,,,,,,,,,,,,,0.594506,,,,,,,,,,,,,,
0.523810,-0.868338,,,,,,,,,,,,,,1.733456,,,,,,,,,,,,,,-0.054901,,,,,,,,,,,,,,-0.268355,,,,,,,,,,,,,,-0.336619,,,,,,,,,,,,,,-0.077381,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.295056,,,,,,,,,,,,,,0.718937,,,,,,,,,,,,,,
0.547619,-0.671033,,,,,,,,,,,,,,1.615814,,,,,,,,,,,,,,0.085752,,,,,,,,,,,,,,-1.055855,,,,,,,,,,,,,,-2.159889,,,,,,,,,,,,,,0.245777,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.282948,,,,,,,,,,,,,,0.639926,,,,,,,,,,,,,,
0.571429,-0.313390,,,,,,,,,,,,,,1.293413,,,,,,,,,,,,,,-0.041515,,,,,,,,,,,,,,-1.698980,,,,,,,,,,,,,,-1.414291,,,,,,,,,,,,,,0.872510,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.110736,,,,,,,,,,,,,,0.257187,,,,,,,,,,,,,,
0.589286,-0.051093,,,,,,,,,,,,,,0.974260,,,,,,,,,,,,,,-0.119340,,,,,,,,,,,,,,-1.446324,,,,,,,,,,,,,,-1.386096,,,,,,,,,,,,,,0.745205,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.892103,,,,,,,,,,,,,,-0.054981,,,,,,,,,,,,,,
0.607143,0.189456,,,,,,,,,,,,,,0.739197,,,,,,,,,,,,,,-0.310650,,,,,,,,,,,,,,-1.032886,,,,,,,,,,,,,,-1.461282,,,,,,,,,,,,,,0.657071,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.723200,,,,,,,,,,,,,,-0.340289,,,,,,,,,,,,,,
0.625000,0.513691,,,,,,,,,,,,,,0.595552,,,,,,,,,,,,,,-0.483793,,,,,,,,,,,,,,-0.596480,,,,,,,,,,,,,,-1.423689,,,,,,,,,,,,,,0.475906,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.664248,,,,,,,,,,,,,,-0.641585,,,,,,,,,,,,,,
0.642857,0.861033,,,,,,,,,,,,,,0.556366,,,,,,,,,,,,,,-0.695744,,,,,,,,,,,,,,-0.146949,,,,,,,,,,,,,,-1.201262,,,,,,,,,,,,,,0.191918,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.749711,,,,,,,,,,,,,,-0.920790,,,,,,,,,,,,,,
0.660714,1.204998,,,,,,,,,,,,,,0.587788,,,,,,,,,,,,,,-0.845429,,,,,,,,,,,,,,0.135239,,,,,,,,,,,,,,-0.891119,,,,,,,,,,,,,,-0.214479,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.899866,,,,,,,,,,,,,,-1.105783,,,,,,,,,,,,,,
0.678571,1.354224,,,,,,,,,,,,,,0.647143,,,,,,,,,,,,,,-0.962810,,,,,,,,,,,,,,0.302583,,,,,,,,,,,,,,-0.201910,,,,,,,,,,,,,,-0.615980,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.978693,,,,,,,,,,,,,,-1.204446,,,,,,,,,,,,,,
0.696429,1.411295,,,,,,,,,,,,,,0.742264,,,,,,,,,,,,,,-0.806122,,,,,,,,,,,,,,0.364927,,,,,,,,,,,,,,0.484166,,,,,,,,,,,,,,-1.037066,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.113651,,,,,,,,,,,,,,-1.234518,,,,,,,,,,,,,,
0.714286,1.325005,,,,,,,,,,,,,,0.896134,,,,,,,,,,,,,,-0.793239,,,,,,,,,,,,,,0.420708,,,,,,,,,,,,,,0.286802,,,,,,,,,,,,,,-1.453255,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.245958,,,,,,,,,,,,,,-1.141159,,,,,,,,,,,,,,
0.738095,1.294957,,,,,,,,,,,,,,1.038459,,,,,,,,,,,,,,-0.781113,,,,,,,,,,,,,,-0.074761,,,,,,,,,,,,,,0.518626,,,,,,,,,,,,,,-1.472840,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.409804,,,,,,,,,,,,,,-1.076441,,,,,,,,,,,,,,
0.761905,1.216669,,,,,,,,,,,,,,1.085645,,,,,,,,,,,,,,-0.616885,,,,,,,,,,,,,,-0.553824,,,,,,,,,,,,,,0.784912,,,,,,,,,,,,,,-1.614834,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.488180,,,,,,,,,,,,,,-0.985762,,,,,,,,,,,,,,
0.785714,0.984445,,,,,,,,,,,,,,1.017719,,,,,,,,,,,,,,-0.457326,,,,,,,,,,,,,,-0.954136,,,,,,,,,,,,,,0.954081,,,,,,,,,,,,,,-1.614834,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.412085,,,,,,,,,,,,,,-0.800445,,,,,,,,,,,,,,
0.809524,0.646008,,,,,,,,,,,,,,0.819751,,,,,,,,,,,,,,-0.089390,,,,,,,,,,,,,,-1.357730,,,,,,,,,,,,,,1.019869,,,,,,,,,,,,,,-1.560975,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-1.146851,,,,,,,,,,,,,,-0.512272,,,,,,,,,,,,,,
0.833333,0.319795,,,,,,,,,,,,,,0.526042,,,,,,,,,,,,,,0.154192,,,,,,,,,,,,,,-1.561168,,,,,,,,,,,,,,1.057462,,,,,,,,,,,,,,-1.453255,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.763799,,,,,,,,,,,,,,-0.331018,,,,,,,,,,,,,,
