Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,acly 1,acly 2,acly 3,acly 4,aclz 1,aclz 2,aclz 3,aclz 4,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyry 1,gyry 2,gyry 3,gyry 4,gyrz 1,gyrz 2,gyrz 3,gyrz 4,magr 1,magr 2,magr 3,magr 4,magphi 1,magphi 2,magphi 3,magphi 4,magtheta 1,magtheta 2,magtheta 3,magtheta 4,
0.000000,-0.002322,,,,-0.061453,,,,0.033786,,,,-0.087490,,,,-0.044067,,,,0.162885,,,,0.000000,,,,-0.008944,,,,0.036356,,,,
0.090909,0.000481,,,,-0.081790,,,,0.002439,,,,-0.099216,,,,-0.034831,,,,0.140178,,,,0.000000,,,,-0.004702,,,,0.055382,,,,
0.181818,0.001690,,,,-0.099858,,,,-0.020349,,,,-0.113772,,,,-0.035858,,,,0.096979,,,,0.000000,,,,-0.000844,,,,0.072689,,,,
0.272727,0.003587,,,,-0.116647,,,,-0.039610,,,,-0.100429,,,,-0.032984,,,,0.021105,,,,0.000000,,,,0.004666,,,,0.090471,,,,
0.363636,0.004469,,,,-0.131568,,,,-0.066797,,,,-0.063228,,,,-0.043862,,,,-0.056431,,,,0.000000,,,,0.012418,,,,0.111885,,,,
0.454545,0.008697,,,,-0.137240,,,,-0.088793,,,,-0.030071,,,,-0.052687,,,,-0.113475,,,,0.000000,,,,0.020692,,,,0.115697,,,,
0.545455,0.015819,,,,-0.142307,,,,-0.114492,,,,0.010768,,,,-0.051455,,,,-0.143382,,,,0.000000,,,,0.033436,,,,0.115639,,,,
0.636364,0.025661,,,,-0.130562,,,,-0.132231,,,,0.056864,,,,-0.030727,,,,-0.155566,,,,0.000000,,,,0.044144,,,,0.106380,,,,
0.727273,0.026844,,,,-0.114578,,,,-0.142725,,,,0.082743,,,,-0.006714,,,,-0.155566,,,,0.000000,,,,0.045163,,,,0.093861,,,,
0.818182,0.030293,,,,-0.093593,,,,-0.126067,,,,0.100534,,,,-0.020670,,,,-0.129536,,,,0.000000,,,,0.043269,,,,0.074298,,,,
0.909091,0.038004,,,,-0.074155,,,,-0.112293,,,,0.117921,,,,-0.025391,,,,-0.089661,,,,0.000000,,,,0.044029,,,,0.051498,,,,
1.000000,0.044839,,,,-0.056286,,,,-0.096911,,,,0.111452,,,,-0.011845,,,,-0.038709,,,,0.000000,,,,0.042837,,,,0.025305,,,,
0.000000,,-0.047956,,,,0.000255,,,,0.079196,,,,-0.074550,,,,0.023250,,,,0.075380,,,,0.000000,,,,-0.050448,,,,0.010442,,,
0.142857,,-0.053016,,,,-0.010854,,,,0.043545,,,,-0.084659,,,,0.016888,,,,0.080918,,,,0.000000,,,,-0.048500,,,,0.030213,,,
0.285714,,-0.057708,,,,-0.025315,,,,0.013793,,,,-0.104877,,,,-0.001789,,,,0.065965,,,,0.000000,,,,-0.048365,,,,0.053035,,,
0.428571,,-0.058779,,,,-0.046021,,,,-0.005494,,,,-0.119029,,,,-0.012050,,,,0.047135,,,,0.000000,,,,-0.044125,,,,0.079200,,,
0.571429,,-0.058081,,,,-0.066824,,,,-0.018399,,,,-0.115794,,,,-0.014308,,,,0.017228,,,,0.000000,,,,-0.036412,,,,0.099252,,,
0.714286,,-0.058412,,,,-0.086218,,,,-0.040105,,,,-0.090320,,,,-0.026211,,,,-0.017663,,,,0.000000,,,,-0.028776,,,,0.121055,,,
0.857143,,-0.056537,,,,-0.101275,,,,-0.062102,,,,-0.064846,,,,-0.033395,,,,-0.042032,,,,0.000000,,,,-0.020025,,,,0.134684,,,
1.000000,,-0.051469,,,,-0.114200,,,,-0.093432,,,,-0.035732,,,,-0.050224,,,,-0.068615,,,,0.000000,,,,-0.008289,,,,0.147007,,,
0.000000,,,0.048787,,,,0.010127,,,,-0.013936,,,,0.066973,,,,0.072712,,,,0.001721,,,,0.000000,,,,0.032748,,,,-0.035582,,
0.250000,,,0.036366,,,,0.032032,,,,-0.005584,,,,0.065356,,,,0.094672,,,,-0.009910,,,,0.000000,,,,0.015201,,,,-0.033113,,
0.500000,,,0.022309,,,,0.052734,,,,0.012023,,,,0.056056,,,,0.103292,,,,-0.019878,,,,0.000000,,,,-0.003682,,,,-0.029261,,
0.750000,,,0.007928,,,,0.071130,,,,0.024935,,,,0.048777,,,,0.114990,,,,-0.048124,,,,0.000000,,,,-0.022372,,,,-0.022203,,
1.000000,,,-0.009090,,,,0.085490,,,,0.026924,,,,0.026942,,,,0.113553,,,,-0.076923,,,,0.000000,,,,-0.039893,,,,-0.011133,,
0.000000,,,,0.025400,,,,0.014803,,,,-0.040136,,,,0.009959,,,,0.087899,,,,0.069842,,,,0.000000,,,,0.046657,,,,-0.013816,
0.250000,,,,0.007961,,,,0.019798,,,,-0.034468,,,,0.018855,,,,0.118684,,,,0.073718,,,,0.000000,,,,0.027947,,,,-0.003410,
0.500000,,,,-0.014884,,,,0.028959,,,,-0.028354,,,,0.024516,,,,0.119095,,,,0.075934,,,,0.000000,,,,0.005355,,,,0.011936,
0.750000,,,,-0.033821,,,,0.041613,,,,-0.015654,,,,0.019259,,,,0.091593,,,,0.071503,,,,0.000000,,,,-0.018590,,,,0.025045,
1.000000,,,,-0.050659,,,,0.050130,,,,-0.007834,,,,-0.005810,,,,0.081126,,,,0.067072,,,,0.000000,,,,-0.036396,,,,0.031813,
