Time,Column,Value,Is Positive Peak
40299.800000,aclz,-0.021728,0
40299.800000,gyrx,-0.000187,0
40299.900000,aclx,0.002018,1
40299.900000,aclz,-0.021567,1
40299.900000,gyrz,-0.006965,0
40299.900000,magr,-0.009881,1
40300.000000,magphi,0.004907,1
40300.000000,magtheta,0.029313,0
40300.100000,aclz,-0.026892,0
40300.100000,magr,-0.015681,0
40300.100000,magtheta,0.029702,1
40300.200000,aclz,-0.026146,1
40300.200000,gyry,0.003651,1
40300.200000,magtheta,0.028901,0
40300.300000,aclx,-0.000543,0
40300.300000,magtheta,0.029199,1
40300.400000,aclx,-0.000443,1
40300.400000,gyry,0.000929,0
40300.400000,gyrz,0.004211,1
40300.400000,magtheta,0.028662,0
40300.600000,aclz,-0.032556,0
40300.600000,gyry,0.013832,1
40300.700000,gyrx,0.019134,1
40300.700000,magtheta,0.030201,1
40300.800000,gyry,0.009024,0
40301.000000,gyry,0.012190,1
40301.100000,gyry,0.010436,0
40301.200000,gyrz,-0.011895,0
40301.200000,magtheta,0.024527,0
40301.300000,acly,0.003265,1
40301.300000,gyry,0.012291,1
40301.400000,gyrx,-0.001063,0
40301.400000,gyry,0.010082,0
40301.400000,magr,-0.008565,1
40301.500000,gyrx,-0.000644,1
40301.500000,gyry,0.010526,1
40301.600000,gyrx,-0.001930,0
40301.600000,gyry,0.009499,0
40301.700000,aclz,-0.002344,1
40301.700000,gyry,0.009569,1
40301.700000,magr,-0.017240,0
40301.800000,aclz,-0.002483,0
40301.800000,gyrx,-0.001672,1
40301.900000,magr,-0.008876,1
40302.000000,gyrx,-0.002353,0
40302.100000,magr,-0.014765,0
40302.100000,magtheta,0.026993,1
40302.200000,gyrx,-0.000419,1
40302.200000,magtheta,0.026627,0
40302.300000,magr,-0.013453,1
40302.400000,aclx,-0.032207,0
40302.400000,gyrz,0.004336,1
40302.400000,magr,-0.016258,0
40302.400000,magphi,-0.031851,0
40302.400000,magtheta,0.027395,1
40302.500000,aclx,-0.031690,1
40302.500000,aclz,0.008625,1
40302.500000,gyry,-0.002228,0
40302.500000,gyrz,0.004326,0
40302.500000,magtheta,0.027244,0
40302.600000,gyry,-0.002175,1
40302.700000,aclx,-0.032292,0
40302.700000,gyrz,0.005761,1
40303.000000,gyrx,-0.015412,0
40303.200000,magtheta,0.046047,1
40303.300000,gyry,-0.015128,0
40303.300000,gyrz,-0.003751,0
40303.400000,gyry,-0.013838,1
40303.500000,gyry,-0.014008,0
40303.600000,gyry,-0.013971,1
40303.700000,acly,-0.029500,0
40303.700000,aclz,-0.023647,0
40303.700000,gyrx,0.005634,1
40303.700000,gyry,-0.014485,0
40303.700000,magr,0.001863,1
40303.800000,acly,-0.029430,1
40303.800000,gyrz,0.001612,1
40303.900000,acly,-0.029794,0
40304.000000,acly,-0.029015,1
40304.000000,aclz,-0.021929,1
40304.100000,aclz,-0.022231,0
40304.100000,gyrx,0.002358,0
40304.100000,magr,-0.001870,0
40304.200000,aclz,-0.021327,1
40304.300000,acly,-0.031032,0
40304.400000,aclz,-0.022113,0
40304.500000,gyrz,-0.004882,0
40304.600000,aclz,-0.021131,1
40304.600000,magphi,0.010590,1
40304.800000,aclx,0.010255,1
40304.800000,gyry,0.002227,1
40304.900000,aclz,-0.022581,0
40304.900000,gyry,0.001226,0
40304.900000,gyrz,-0.001537,1
40305.000000,magr,-0.001230,1
40305.100000,aclz,-0.020116,1
40305.100000,magr,-0.004591,0
40305.100000,magtheta,0.011744,0
40305.200000,aclz,-0.020270,0
40305.200000,gyrx,0.017410,1
40305.200000,magtheta,0.012683,1
40305.400000,gyry,0.012122,1
40305.500000,magtheta,0.011494,0
40305.600000,gyrz,-0.015839,0
40305.600000,magtheta,0.011824,1
40305.700000,magtheta,0.011608,0
40306.000000,acly,0.008964,1
40306.000000,gyrx,-0.003194,0
40306.100000,acly,0.008605,0
40306.100000,aclz,0.004312,1
40306.100000,gyry,0.008460,0
40306.200000,aclz,0.003899,0
40306.200000,gyry,0.008578,1
40306.300000,gyrx,-0.002248,1
40306.400000,acly,0.009243,1
40306.600000,gyrx,-0.004624,0
40306.700000,magr,-0.002181,1
40306.800000,acly,0.006558,0
40306.800000,aclz,0.017839,1
40306.800000,gyrz,0.000858,1
40306.800000,magr,-0.005498,0
40306.900000,acly,0.006684,1
40307.000000,aclx,-0.022372,0
40307.000000,magr,-0.005010,1
40307.000000,magphi,-0.028900,0
40307.100000,gyrx,-0.001809,1
40307.100000,magr,-0.008199,0
40307.200000,gyrx,-0.001825,0
40307.200000,magtheta,0.019082,1
40307.400000,acly,0.004157,0
40307.500000,gyrz,-0.013368,0
40307.700000,gyrx,0.005403,1
40307.700000,gyry,-0.016888,0
40307.800000,magr,-0.005920,1
40307.900000,acly,0.007669,1
40307.900000,gyry,-0.014602,1
40308.000000,gyry,-0.015138,0
40308.000000,magr,-0.012072,0
40308.200000,magr,-0.010999,1
40308.300000,aclz,-0.004064,0
40308.300000,magr,-0.013916,0
40308.400000,aclz,-0.003344,1
40308.400000,gyrx,-0.002982,0
40308.400000,gyrz,0.003039,1
40308.500000,magtheta,-0.010395,0
40308.600000,gyrz,-0.000549,0
40308.600000,magtheta,-0.010344,1
40308.700000,acly,-0.005498,0
40308.700000,magr,-0.011553,1
40308.800000,magr,-0.014445,0
40308.900000,aclx,0.024470,1
40308.900000,aclz,-0.012937,0
40308.900000,gyrx,0.006505,1
40308.900000,magphi,0.021309,1
40309.000000,gyrx,0.006393,0
40309.100000,aclx,0.023937,0
40309.100000,gyrz,0.005417,1
40309.200000,aclx,0.024160,1
40309.200000,gyrx,0.011508,1
40309.300000,magtheta,-0.016270,0
40309.400000,gyrx,0.010197,0
40309.400000,magr,0.002429,1
40309.500000,aclz,0.000460,1
40309.500000,gyrx,0.010292,1
40309.600000,magr,-0.004465,0
40309.700000,gyry,0.023380,1
40309.700000,magr,-0.004262,1
40309.800000,aclz,-0.003874,0
40309.800000,gyrz,-0.018565,0
40309.900000,acly,0.025460,1
40309.900000,gyry,0.016599,0
