Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,
0.000000,0.069899,,,,,,,,-0.037500,,,,,,,,-0.052604,,,,,,,,-0.006250,,,,,,,,0.016019,,,,,,,,-0.003647,,,,,,,,0.000000,,,,,,,,0.004675,,,,,,,,0.015419,,,,,,,,
0.016667,0.059110,,,,,,,,-0.037846,,,,,,,,-0.047351,,,,,,,,0.008654,,,,,,,,-0.001456,,,,,,,,0.008701,,,,,,,,0.000000,,,,,,,,-0.007489,,,,,,,,0.017114,,,,,,,,
0.033333,0.039258,,,,,,,,-0.037465,,,,,,,,-0.039397,,,,,,,,0.023160,,,,,,,,-0.014090,,,,,,,,0.022848,,,,,,,,0.000000,,,,,,,,-0.018681,,,,,,,,0.014019,,,,,,,,
0.050000,0.024244,,,,,,,,-0.038440,,,,,,,,-0.034039,,,,,,,,0.038752,,,,,,,,-0.022933,,,,,,,,0.038282,,,,,,,,0.000000,,,,,,,,-0.029794,,,,,,,,0.015953,,,,,,,,
0.066667,0.011605,,,,,,,,-0.038699,,,,,,,,-0.027658,,,,,,,,0.044729,,,,,,,,-0.030793,,,,,,,,0.044621,,,,,,,,0.000000,,,,,,,,-0.040732,,,,,,,,0.017484,,,,,,,,
0.100000,-0.003582,,,,,,,,-0.039455,,,,,,,,-0.020935,,,,,,,,0.047228,,,,,,,,-0.043005,,,,,,,,0.047468,,,,,,,,0.000000,,,,,,,,-0.051537,,,,,,,,0.018643,,,,,,,,
0.116667,-0.017725,,,,,,,,-0.035687,,,,,,,,-0.009636,,,,,,,,0.062929,,,,,,,,-0.049041,,,,,,,,0.062351,,,,,,,,0.000000,,,,,,,,-0.043980,,,,,,,,0.010730,,,,,,,,
0.133333,-0.029388,,,,,,,,-0.036282,,,,,,,,-0.002305,,,,,,,,0.079662,,,,,,,,-0.054656,,,,,,,,0.077325,,,,,,,,0.000000,,,,,,,,-0.054680,,,,,,,,0.011295,,,,,,,,
0.150000,-0.041806,,,,,,,,-0.036569,,,,,,,,0.004708,,,,,,,,0.096558,,,,,,,,-0.060551,,,,,,,,0.092482,,,,,,,,0.000000,,,,,,,,-0.065536,,,,,,,,0.011151,,,,,,,,
0.166667,-0.057046,,,,,,,,-0.027244,,,,,,,,0.018100,,,,,,,,0.119350,,,,,,,,-0.069032,,,,,,,,0.113321,,,,,,,,0.000000,,,,,,,,-0.046057,,,,,,,,-0.003334,,,,,,,,
0.183333,-0.074718,,,,,,,,-0.015109,,,,,,,,0.035761,,,,,,,,0.130460,,,,,,,,-0.077536,,,,,,,,0.123074,,,,,,,,0.000000,,,,,,,,-0.043253,,,,,,,,-0.012864,,,,,,,,
0.200000,-0.066262,,,,,,,,-0.003350,,,,,,,,0.041058,,,,,,,,0.115302,,,,,,,,-0.066727,,,,,,,,0.107824,,,,,,,,0.000000,,,,,,,,-0.023666,,,,,,,,-0.022795,,,,,,,,
0.216667,-0.048999,,,,,,,,0.007636,,,,,,,,0.043901,,,,,,,,0.101068,,,,,,,,-0.055358,,,,,,,,0.093585,,,,,,,,0.000000,,,,,,,,-0.005049,,,,,,,,-0.027549,,,,,,,,
0.233333,-0.038737,,,,,,,,0.019986,,,,,,,,0.049374,,,,,,,,0.085149,,,,,,,,-0.048760,,,,,,,,0.077417,,,,,,,,0.000000,,,,,,,,0.013471,,,,,,,,-0.037098,,,,,,,,
0.266667,-0.029382,,,,,,,,0.031622,,,,,,,,0.053436,,,,,,,,0.079390,,,,,,,,-0.043426,,,,,,,,0.071262,,,,,,,,0.000000,,,,,,,,0.031793,,,,,,,,-0.045995,,,,,,,,
0.283333,-0.019462,,,,,,,,0.043614,,,,,,,,0.057783,,,,,,,,0.077109,,,,,,,,-0.035706,,,,,,,,0.068506,,,,,,,,0.000000,,,,,,,,0.050030,,,,,,,,-0.054295,,,,,,,,
0.300000,-0.008917,,,,,,,,0.051295,,,,,,,,0.057621,,,,,,,,0.061571,,,,,,,,-0.028688,,,,,,,,0.053531,,,,,,,,0.000000,,,,,,,,0.049848,,,,,,,,-0.053558,,,,,,,,
0.316667,0.001456,,,,,,,,0.063162,,,,,,,,0.061795,,,,,,,,0.045109,,,,,,,,-0.022231,,,,,,,,0.038282,,,,,,,,0.000000,,,,,,,,0.068043,,,,,,,,-0.061619,,,,,,,,
0.333333,0.013631,,,,,,,,0.075911,,,,,,,,0.066071,,,,,,,,0.025872,,,,,,,,-0.017049,,,,,,,,0.019763,,,,,,,,0.000000,,,,,,,,0.086263,,,,,,,,-0.069516,,,,,,,,
