Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,
0.000000,0.027648,,,,,,,,-0.035123,,,,,,,,-0.043940,,,,,,,,-0.002538,,,,,,,,0.001211,,,,,,,,-0.007192,,,,,,,,0.000000,,,,,,,,0.004534,,,,,,,,0.027208,,,,,,,,
0.100000,0.026750,,,,,,,,-0.034972,,,,,,,,-0.044161,,,,,,,,0.016908,,,,,,,,-0.016148,,,,,,,,0.019763,,,,,,,,0.000000,,,,,,,,0.004378,,,,,,,,0.026842,,,,,,,,
0.200000,0.011591,,,,,,,,-0.031174,,,,,,,,-0.037300,,,,,,,,0.032233,,,,,,,,-0.027144,,,,,,,,0.039292,,,,,,,,0.000000,,,,,,,,-0.007045,,,,,,,,0.023019,,,,,,,,
0.300000,-0.001847,,,,,,,,-0.029661,,,,,,,,-0.031457,,,,,,,,0.043588,,,,,,,,-0.045953,,,,,,,,0.048663,,,,,,,,0.000000,,,,,,,,-0.018071,,,,,,,,0.021399,,,,,,,,
0.400000,-0.015376,,,,,,,,-0.028004,,,,,,,,-0.026017,,,,,,,,0.057116,,,,,,,,-0.055498,,,,,,,,0.065841,,,,,,,,0.000000,,,,,,,,-0.029059,,,,,,,,0.020427,,,,,,,,
0.500000,-0.028182,,,,,,,,-0.022306,,,,,,,,-0.016534,,,,,,,,0.070861,,,,,,,,-0.065604,,,,,,,,0.082469,,,,,,,,0.000000,,,,,,,,-0.021345,,,,,,,,0.012312,,,,,,,,
0.700000,-0.042835,,,,,,,,-0.019589,,,,,,,,-0.009948,,,,,,,,0.084497,,,,,,,,-0.079922,,,,,,,,0.097811,,,,,,,,0.000000,,,,,,,,-0.032489,,,,,,,,0.010734,,,,,,,,
0.800000,-0.053021,,,,,,,,-0.013150,,,,,,,,-0.000420,,,,,,,,0.098134,,,,,,,,-0.095643,,,,,,,,0.112325,,,,,,,,0.000000,,,,,,,,-0.025036,,,,,,,,0.001695,,,,,,,,
0.900000,-0.067546,,,,,,,,-0.010117,,,,,,,,0.006335,,,,,,,,0.111716,,,,,,,,-0.111926,,,,,,,,0.126565,,,,,,,,0.000000,,,,,,,,-0.036286,,,,,,,,-0.001600,,,,,,,,
1.000000,-0.077528,,,,,,,,-0.003536,,,,,,,,0.015920,,,,,,,,0.125244,,,,,,,,-0.128489,,,,,,,,0.140253,,,,,,,,0.000000,,,,,,,,-0.028809,,,,,,,,-0.010760,,,,,,,,
1.100000,-0.097270,,,,,,,,-0.002067,,,,,,,,0.023237,,,,,,,,0.139071,,,,,,,,-0.146491,,,,,,,,0.152141,,,,,,,,0.000000,,,,,,,,-0.046580,,,,,,,,-0.013394,,,,,,,,
1.200000,-0.110104,,,,,,,,0.011755,,,,,,,,0.039196,,,,,,,,0.131329,,,,,,,,-0.141964,,,,,,,,0.136762,,,,,,,,0.000000,,,,,,,,-0.043617,,,,,,,,-0.024812,,,,,,,,
1.300000,-0.095958,,,,,,,,0.018881,,,,,,,,0.042092,,,,,,,,0.117475,,,,,,,,-0.133121,,,,,,,,0.119858,,,,,,,,0.000000,,,,,,,,-0.024750,,,,,,,,-0.029283,,,,,,,,
1.400000,-0.083387,,,,,,,,0.028316,,,,,,,,0.046098,,,,,,,,0.105903,,,,,,,,-0.116979,,,,,,,,0.110672,,,,,,,,0.000000,,,,,,,,-0.006246,,,,,,,,-0.036280,,,,,,,,
1.500000,-0.070877,,,,,,,,0.037641,,,,,,,,0.050725,,,,,,,,0.092266,,,,,,,,-0.105188,,,,,,,,0.092942,,,,,,,,0.000000,,,,,,,,0.012209,,,,,,,,-0.043809,,,,,,,,
1.700000,-0.059410,,,,,,,,0.042982,,,,,,,,0.051155,,,,,,,,0.079173,,,,,,,,-0.095082,,,,,,,,0.075855,,,,,,,,0.000000,,,,,,,,0.011973,,,,,,,,-0.044107,,,,,,,,
1.800000,-0.046050,,,,,,,,0.051231,,,,,,,,0.054364,,,,,,,,0.066134,,,,,,,,-0.080904,,,,,,,,0.059962,,,,,,,,0.000000,,,,,,,,0.030612,,,,,,,,-0.050423,,,,,,,,
1.900000,-0.037038,,,,,,,,0.055610,,,,,,,,0.054702,,,,,,,,0.052769,,,,,,,,-0.063218,,,,,,,,0.044988,,,,,,,,0.000000,,,,,,,,0.030637,,,,,,,,-0.049995,,,,,,,,
2.000000,-0.023936,,,,,,,,0.063450,,,,,,,,0.057778,,,,,,,,0.039404,,,,,,,,-0.044549,,,,,,,,0.030106,,,,,,,,0.000000,,,,,,,,0.049337,,,,,,,,-0.055308,,,,,,,,
2.100000,-0.013635,,,,,,,,0.069423,,,,,,,,0.058349,,,,,,,,0.024627,,,,,,,,-0.027600,,,,,,,,0.013616,,,,,,,,0.000000,,,,,,,,0.052365,,,,,,,,-0.055612,,,,,,,,
2.200000,0.014559,,,,,,,,0.082867,,,,,,,,0.062085,,,,,,,,-0.006884,,,,,,,,0.006264,,,,,,,,-0.015184,,,,,,,,0.000000,,,,,,,,0.067098,,,,,,,,-0.064767,,,,,,,,
2.300000,0.019467,,,,,,,,0.081066,,,,,,,,0.060754,,,,,,,,-0.016663,,,,,,,,0.018335,,,,,,,,-0.027494,,,,,,,,0.000000,,,,,,,,0.067315,,,,,,,,-0.065590,,,,,,,,
2.400000,0.020580,,,,,,,,0.076909,,,,,,,,0.057730,,,,,,,,-0.027583,,,,,,,,0.030688,,,,,,,,-0.042101,,,,,,,,0.000000,,,,,,,,0.048436,,,,,,,,-0.063746,,,,,,,,
2.500000,0.024521,,,,,,,,0.075412,,,,,,,,0.056374,,,,,,,,-0.034809,,,,,,,,0.039250,,,,,,,,-0.046969,,,,,,,,0.000000,,,,,,,,0.048564,,,,,,,,-0.064164,,,,,,,,
2.700000,0.026598,,,,,,,,0.069619,,,,,,,,0.052056,,,,,,,,-0.041763,,,,,,,,0.040794,,,,,,,,-0.050093,,,,,,,,0.000000,,,,,,,,0.030386,,,,,,,,-0.058031,,,,,,,,
